window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate
1,10000,6644,0,0,0,1.9998,0,262.9,0,0,4.77,1.0,6644.0,384,1.0,254,384,130,1605,0.00135,0.0081,452.8302
2,10000,6082,0,0,0,1.9994,0,358.7,11,6072,4.46,0.9702,6270.0,10,1.0,220,9,43,1509,0.001927,0.0138,20.202
3,10000,6031,0,0,0,1.9928,0,460.4,7,6024,4.41,0.9806,6150.5,7,1.0,187,7,40,1356,0.002327,0.0156,15.9453
4,10000,6182,2,5,1,1.985,1,543.5,6160,0,4.5,1.0031,6163.1,22,1.0,107,17,97,1279,0.00255,0.0243,63.7681
5,10000,6179,0,0,3,1.9884,1,591.3,6169,0,4.46,1.0017,6168.4,10,1.0,76,10,41,927,0.003783,0.0255,33.3333
6,10000,6188,2,5,1,1.9501,1,642.8,6174,0,4.49,1.0023,6174.0,14,1.0,52,3,27,698,0.005343,0.0714,64.6766
7,10000,6145,0,0,3,1.9406,1,683.2,8,6132,4.47,0.9965,6166.8,13,1.0,43,13,22,521,0.007114,0.0533,84.9673
8,9996,6196,0,0,3,1.9463,1,691.5,6196,0,4.51,1.0037,6173.3,0,1.0,32,0,11,433,0.00928,0.0948,0.0
9,9989,6060,1,5,3,1.9689,1,735.3,4,6051,4.4,0.9853,6150.6,9,1.0,28,5,9,363,0.011823,0.0952,90.0
10,9982,6148,2,5,1,1.9574,1,744.1,7,6136,4.46,0.9997,6150.1,12,1.0,23,6,11,387,0.010689,0.0833,122.449
11,9971,6053,0,0,1,1.9261,2,772.3,3,6050,4.45,0.9868,6133.9,3,1.0,17,0,6,271,0.017727,0.1447,41.0959
12,9962,6195,1,5,1,1.8875,1,778.6,6184,0,4.49,1.0084,6143.3,11,1.0,18,7,6,296,0.014787,0.101,112.3596
13,9948,6026,0,0,1,1.922,1,791.1,0,6026,4.44,0.9836,6126.6,0,1.0,11,0,7,229,0.02027,0.1509,0.0
14,9942,6066,1,4,1,1.9855,1,796.7,0,6066,4.43,0.9914,6118.5,0,1.0,9,1,3,196,0.024314,0.25,0.0
15,9931,6007,0,0,1,1.9737,1,801.1,12,5990,4.43,0.984,6104.6,17,1.0,20,17,6,269,0.015374,0.093,226.6667
16,9928,6151,1,5,1,1.7733,1,813.4,6146,0,4.48,1.0067,6110.0,5,1.0,17,1,4,288,0.015377,0.1688,67.5676
17,9921,5924,1,3,3,1.9424,1,814.3,5,5919,4.38,0.9728,6089.4,5,1.0,16,4,5,311,0.014621,0.1023,49.3827
18,9911,6088,1,5,1,1.9745,2,811.4,0,6078,4.46,0.9998,6089.2,10,1.0,14,6,8,285,0.01507,0.1231,172.4138
19,9898,6130,1,3,3,1.9456,2,816.1,6125,0,4.45,1.006,6093.3,5,1.0,13,4,5,265,0.017617,0.131,66.6667
20,9869,6017,1,3,3,1.9587,2,836.3,0,6012,4.42,0.9887,6086.0,5,1.0,10,4,7,247,0.018428,0.1159,81.9672
21,9848,6033,2,5,3,1.9539,2,822.6,0,6028,4.45,0.9921,6081.0,5,1.0,9,2,3,233,0.021988,0.1695,89.2857
22,9826,5968,1,3,3,1.9787,2,837.9,0,5968,4.46,0.9832,6070.2,0,1.0,9,1,1,217,0.024853,0.1719,0.0
23,9814,6160,0,0,3,1.9827,2,835.5,6155,0,4.5,1.0134,6078.8,5,1.0,11,5,3,222,0.022169,0.1587,70.1754
24,9808,6005,1,5,1,1.9934,1,796.0,7,5983,4.47,0.989,6071.7,22,1.0,20,18,9,328,0.01148,0.1026,205.8824
25,9801,6168,0,0,3,1.9631,1,732.1,6159,0,4.5,1.0143,6080.9,9,1.0,19,9,10,327,0.013749,0.1209,96.3855
26,9785,6088,2,3,3,1.913,1,738.0,6082,0,4.49,1.0011,6081.6,6,1.0,16,6,9,333,0.01332,0.099,47.0588
27,9767,6046,2,4,3,1.9201,1,726.6,4,6032,4.49,0.9947,6078.2,14,1.0,19,11,8,341,0.012243,0.09,160.9195
28,9745,5953,1,5,1,1.8944,2,725.7,5,5938,4.45,0.9813,6066.3,15,1.0,18,11,12,341,0.013222,0.0813,140.1869
29,9729,5855,0,0,1,1.9941,2,735.1,4,5841,4.37,0.9684,6046.2,14,1.0,23,14,9,349,0.012767,0.0865,152.1739
30,9713,6071,2,5,1,1.9732,1,734.1,6061,0,4.55,1.0037,6048.5,10,1.0,13,2,12,371,0.01376,0.1262,116.2791
