window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
1,5000,6150,13,6,0,1.9994,0,16.5,0,0,6.62,1.0,6150.0,560,1.0,350,531,181,1972,0.001008,0.0067,400.0,0,0.0,0.0,0.0012,0,0,0,0
2,5000,3722,4,5,0,1.9994,0,17.5,447,3281,5.23,0.8247,4553.3,441,1.0,286,8,72,2024,0.001257,0.0081,199.5124,1,1.0,0.0081,0.0012,1,0,0,0
3,5000,3308,2,5,0,1.9993,0,19.1,235,3082,4.89,0.8456,3944.2,226,1.0,243,8,51,1866,0.00152,0.0155,211.5907,2,1.9,0.0116,0.0021,1,0,0,0
4,5000,3228,1,3,0,1.9993,0,21.6,55,3191,4.61,0.8857,3664.9,37,1.0,181,7,69,1682,0.001821,0.0201,58.1583,3,2.8,0.0151,0.0025,0,0,0,0
5,5000,3062,2,5,0,1.9993,0,22.8,1,3056,4.45,0.884,3463.9,6,1.0,122,3,62,1338,0.002551,0.0339,12.7551,4,3.7,0.0196,0.0041,1,0,0,0
6,5000,3012,1,4,0,1.9992,2,24.9,6,3001,4.44,0.9032,3334.8,11,1.0,93,9,38,1094,0.003226,0.0241,32.9341,5,4.4,0.0187,0.0045,0,0,0,0
7,5000,3158,2,5,0,1.995,2,26.9,8,3141,4.5,0.9597,3290.6,17,1.0,72,6,27,904,0.003946,0.0385,65.6371,6,5.0,0.0238,0.0068,2,0,0,0
8,5000,3125,2,5,0,1.9923,2,28.8,5,3112,4.49,0.9604,3253.8,13,1.0,57,4,19,776,0.005074,0.041,54.5455,7,5.6,0.0287,0.0082,2,0,0,0
9,5000,2992,0,0,1,1.9862,2,30.0,1,2991,4.31,0.9346,3201.4,1,1.0,42,1,16,625,0.006789,0.0541,0.0,8,6.6,0.0394,0.0121,0,0,0,0
10,5000,3046,2,4,0,1.9849,1,31.3,7,3039,4.34,0.9599,3173.2,7,1.0,34,2,10,542,0.008216,0.0738,50.0,9,6.8,0.0431,0.0177,0,0,0,0
11,5000,3151,2,3,1,1.9964,1,33.6,4,3147,4.55,0.9942,3169.5,4,1.0,28,2,8,491,0.008946,0.0798,26.1438,10,7.0,0.0386,0.0159,0,0,0,0
12,5000,3095,2,5,0,1.9772,2,33.1,12,3083,4.51,0.98,3158.0,12,1.0,25,2,5,479,0.010033,0.0993,85.7143,11,7.0,0.0426,0.0183,1,1,0,0
13,5000,3145,1,5,1,1.9288,2,34.4,13,3132,4.48,0.9965,3156.2,13,1.0,19,1,7,439,0.011177,0.0815,105.6911,12,7.2,0.0546,0.0158,1,0,0,0
14,5000,2991,0,0,3,1.8025,2,35.5,9,2982,4.4,0.9543,3134.1,9,1.0,18,4,5,355,0.014219,0.1181,76.2712,13,7.4,0.072,0.029,0,1,0,0
15,5000,2893,1,4,3,1.9153,1,36.0,12,2881,4.37,0.932,3104.0,12,1.0,15,1,4,320,0.014765,0.1379,148.1481,14,6.8,0.0657,0.0311,0,0,0,0
16,5000,3188,2,3,3,1.8463,1,37.5,3173,0,4.55,1.0238,3113.9,15,1.0,19,9,5,354,0.012009,0.0973,123.8095,15,5.7,0.0634,0.0194,0,1,0,0
17,5000,3112,0,0,3,1.9025,2,37.5,5,3107,4.46,0.9995,3113.7,5,1.0,17,0,2,311,0.016106,0.1031,53.7634,16,7.2,0.0601,0.0197,0,0,0,0
18,5000,3018,0,0,3,1.9412,1,39.6,0,3018,4.47,0.9724,3103.6,0,1.0,15,0,2,292,0.01755,0.122,0.0,17,7.7,0.0711,0.0301,0,0,0,0
19,5000,3091,1,3,3,1.9591,1,39.9,0,3087,4.51,0.9963,3102.3,4,1.0,16,3,2,297,0.016191,0.087,44.4444,18,7.9,0.0707,0.0162,0,0,0,0
20,5000,3106,0,0,3,1.9266,1,40.4,3106,0,4.46,1.0011,3102.7,0,1.0,15,0,1,287,0.015847,0.1081,0.0,19,9.0,0.0757,0.0179,0,1,0,0
21,5000,3091,1,5,3,1.948,1,39.5,0,3081,4.46,0.9966,3101.6,10,1.0,16,6,5,294,0.014336,0.1368,117.6471,20,7.1,0.0684,0.0271,1,0,0,0
22,5000,3035,2,5,3,1.9243,1,40.7,0,3017,4.44,0.9805,3095.2,18,1.0,17,8,7,315,0.013749,0.101,191.0112,21,6.8,0.0577,0.0222,1,0,0,0
23,5000,3043,2,5,3,1.9798,2,40.8,5,3028,4.5,0.9847,3090.3,15,1.0,19,5,3,344,0.0132,0.1186,140.1869,22,6.6,0.0689,0.0267,1,0,0,0
24,5000,3106,1,5,3,1.9846,2,41.5,3092,0,4.54,1.0049,3091.9,15,1.0,13,1,7,345,0.013395,0.124,142.8571,23,7.9,0.0764,0.0237,1,1,0,0
25,5000,3059,1,4,1,1.9322,2,43.0,4,3050,4.46,0.9904,3088.7,9,1.0,11,1,3,276,0.019199,0.1343,142.8571,24,9.6,0.0959,0.029,0,1,0,0
26,5000,3114,2,5,3,1.8903,2,42.7,3093,0,4.58,1.0074,3091.1,21,1.0,18,10,3,307,0.014873,0.1048,177.9661,25,6.5,0.0615,0.0261,1,0,0,0
27,5000,3032,2,4,3,1.9817,2,42.8,11,3021,4.41,0.9827,3085.5,11,1.0,16,2,4,344,0.014422,0.1101,107.8431,26,7.8,0.0655,0.022,0,1,0,0
28,4999,3109,1,5,3,1.9473,2,43.8,3095,0,4.48,1.0069,3087.7,14,1.0,17,3,2,343,0.014381,0.1171,123.8095,27,8.2,0.0687,0.0251,1,0,0,0
29,4999,3172,2,5,3,1.9988,2,45.1,3160,0,4.56,1.0252,3096.0,14,1.0,20,6,3,387,0.011662,0.1053,119.2661,28,7.8,0.0556,0.0228,1,0,0,0
30,4997,3035,1,3,1,1.959,2,44.6,3,3027,4.41,0.9822,3090.1,8,1.0,18,2,4,381,0.012072,0.0965,78.4314,29,7.9,0.0482,0.0214,0,1,0,0
31,4996,2978,0,0,3,1.9781,2,43.7,3,2970,4.37,0.967,3079.5,8,1.0,19,3,2,349,0.014308,0.1048,81.6327,30,8.4,0.0607,0.0234,0,0,0,0
32,4996,3074,2,5,1,1.9937,1,43.5,2,3068,4.48,0.9984,3078.9,6,1.0,16,2,5,354,0.013964,0.098,63.1579,31,8.4,0.0711,0.0221,1,1,0,0
33,4993,3008,0,0,1,1.9966,1,44.3,4,3004,4.38,0.9791,3072.2,4,1.0,16,4,4,336,0.014558,0.114,28.5714,32,9.1,0.0724,0.0256,0,0,0,0
34,4990,2997,0,0,0,1.9819,1,44.6,0,2997,4.49,0.9778,3065.0,0,1.0,15,0,1,297,0.016121,0.1364,0.0,33,10.7,0.0767,0.0273,0,0,0,0
35,4984,3057,0,0,0,1.9797,1,44.4,0,3057,4.41,0.9976,3064.3,0,1.0,13,0,2,293,0.018169,0.1316,0.0,34,13.0,0.0674,0.0251,0,0,0,0
36,4981,3057,1,5,1,1.9859,1,44.2,6,3051,4.4,0.9979,3063.6,6,1.0,12,2,3,309,0.016076,0.1236,59.5238,35,14.3,0.0857,0.0225,1,1,0,0
37,4979,3105,2,5,1,1.9735,1,44.9,3096,0,4.47,1.0122,3067.5,9,1.0,12,3,3,314,0.016029,0.125,83.3333,36,13.3,0.0865,0.024,1,0,0,0
38,4976,3076,1,4,3,1.9646,2,44.9,3067,0,4.51,1.0025,3068.3,9,1.0,11,2,3,304,0.017901,0.1538,97.561,37,13.6,0.0769,0.0367,0,2,0,0
39,4973,3085,3,5,1,1.9573,2,46.1,3067,0,4.54,1.0049,3069.9,18,1.0,12,3,2,302,0.01661,0.1064,204.5455,38,10.0,0.0904,0.0196,1,2,0,0
40,4971,3071,0,0,1,1.9795,2,46.3,3064,0,4.4,1.0003,3070.0,7,1.0,11,0,1,254,0.021145,0.141,93.3333,39,11.8,0.094,0.0243,0,0,0,0
41,4969,3031,0,0,0,1.9893,1,46.0,4,3027,4.47,0.9885,3066.3,4,1.0,9,1,3,230,0.022141,0.1791,46.875,40,13.7,0.1144,0.0375,0,0,0,0
42,4968,3021,0,0,3,1.9952,1,45.1,3,3019,4.51,0.9869,3062.1,2,1.0,9,0,0,201,0.025839,0.1961,40.0,41,14.7,0.1046,0.0489,0,0,0,0
43,4967,3142,0,0,3,1.9819,1,45.3,3143,0,4.56,1.0238,3069.8,0,1.0,9,0,0,200,0.027175,0.1967,0.0,42,15.7,0.1093,0.0377,0,0,0,0
44,4966,3090,2,5,3,1.9315,1,46.4,3078,0,4.44,1.006,3071.7,12,1.0,13,6,2,266,0.019429,0.1294,134.1463,43,11.5,0.0874,0.0264,1,0,0,0
45,4966,2964,1,5,3,1.7537,1,46.1,5,2954,4.3,0.9682,3061.5,10,1.0,10,1,4,267,0.019754,0.1368,113.6364,44,14.7,0.0934,0.0297,1,0,0,0
46,4965,3141,2,5,3,1.7512,2,46.8,3124,0,4.57,1.024,3069.2,19,1.0,11,2,1,277,0.018355,0.1538,218.3908,45,10.4,0.0879,0.0296,1,1,0,0
47,4963,2944,2,5,3,1.9142,2,44.4,4,2926,4.37,0.9629,3057.3,18,1.0,13,2,0,306,0.018132,0.1134,187.5,46,9.6,0.0825,0.0179,2,0,0,0
48,4962,2941,1,5,3,1.9395,2,44.9,8,2923,4.43,0.9655,3046.2,18,1.0,14,5,4,348,0.014249,0.0952,155.1724,47,8.1,0.0722,0.0177,1,1,0,0
49,4961,3033,0,0,3,1.9349,2,46.2,8,3025,4.4,0.9961,3045.0,8,1.0,14,0,0,306,0.018537,0.1304,88.8889,48,9.1,0.0739,0.02,0,0,0,0
50,4959,2999,2,5,1,1.9543,1,42.5,8,2981,4.44,0.9863,3040.6,18,1.0,16,4,2,351,0.014405,0.1,157.8947,49,8.9,0.0636,0.0176,1,0,0,0
51,4956,3085,0,0,1,1.9566,1,41.0,3080,0,4.45,1.0132,3044.8,5,1.0,13,0,3,346,0.015131,0.0935,51.5464,50,10.7,0.0696,0.0196,0,2,0,0
52,4956,3106,1,5,0,1.9116,1,41.4,3098,0,4.44,1.0181,3050.6,8,1.0,12,1,2,310,0.018147,0.1605,102.5641,16,6.2,0.0905,0.0379,1,1,0,0
53,4954,3076,2,4,1,1.8553,1,40.1,3073,0,4.44,1.0075,3053.1,3,1.0,11,2,3,297,0.018219,0.1711,42.8571,17,5.7,0.0996,0.0324,0,2,0,0
54,4951,3107,1,3,3,1.8376,2,41.0,3102,0,4.55,1.016,3058.2,5,1.0,12,4,3,263,0.018152,0.1494,60.9756,18,5.5,0.0862,0.0246,0,1,0,0
55,4946,3028,0,0,3,1.7139,2,39.9,0,3023,4.41,0.9911,3055.3,5,1.0,11,0,1,233,0.02457,0.1765,60.6061,19,7.0,0.098,0.0376,0,0,0,0
56,4943,2977,0,0,3,1.6347,1,40.5,0,2972,4.36,0.9768,3047.9,5,1.0,10,0,1,228,0.023763,0.1803,67.7966,20,8.5,0.1202,0.044,0,0,0,0
57,4937,3087,2,5,3,1.5636,1,40.9,3076,0,4.5,1.0116,3051.6,11,1.0,11,3,2,270,0.01895,0.1549,147.0588,21,8.0,0.0951,0.0349,2,0,0,0
58,4932,3112,3,5,1,1.732,1,40.4,3099,0,4.48,1.0179,3057.3,13,1.0,15,7,3,305,0.016508,0.1284,128.7129,22,5.7,0.0768,0.0278,1,1,0,0
59,4931,2972,1,3,1,1.7842,2,41.2,0,2972,4.38,0.9747,3049.2,0,1.0,14,1,2,294,0.017065,0.125,0.0,23,7.1,0.0807,0.0271,0,0,0,0
60,4926,3097,1,5,3,1.8787,2,40.5,3087,0,4.54,1.0142,3053.8,10,1.0,15,6,5,299,0.015638,0.1205,131.5789,24,5.8,0.0663,0.0297,1,1,0,0
61,4921,3087,1,3,3,1.9269,2,41.5,3071,0,4.51,1.0098,3056.9,16,1.0,17,5,3,295,0.015167,0.131,200.0,25,4.9,0.0685,0.0236,0,0,0,0
62,4918,3019,2,4,1,1.9622,2,40.5,10,3000,4.48,0.9888,3053.3,19,1.0,16,4,5,325,0.013578,0.119,144.0678,26,6.1,0.0704,0.0252,0,0,0,0
63,4917,3009,0,0,3,1.9486,2,40.8,8,3001,4.39,0.9868,3049.1,8,1.0,13,0,3,292,0.016474,0.099,86.0215,27,7.9,0.073,0.0164,0,0,0,0
64,4914,3014,0,0,3,1.9569,1,40.6,8,3006,4.5,0.9896,3045.8,8,1.0,11,0,2,261,0.020171,0.1279,100.0,28,9.4,0.0814,0.0258,0,2,0,0
65,4913,3073,2,5,3,1.962,1,40.1,3055,0,4.54,1.0081,3048.3,18,1.0,12,5,4,263,0.016636,0.1154,187.5,29,7.3,0.0712,0.0253,1,2,0,0
