window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
1,5000,6061,10,4,0,1.9983,0,18.0,0,0,6.57,1.0,6061.0,618,1.0,387,598,211,2113,0.000959,0.0076,407.4074,0,0.0,0.0,0.0011,0,0,0,0,0.039047,0.015625,64,0.5998,0.039,0.2371
2,5000,3760,3,5,0,1.9983,0,17.0,484,3261,5.22,0.8331,4544.3,499,1.0,362,15,40,2177,0.001075,0.0078,389.1934,1,1.0,0.0075,0.0011,2,0,0,0,0.035224,0.015625,64,0.5564,0.0707,0.2395
3,5000,3407,5,5,0,1.9983,0,21.9,294,3118,4.92,0.8604,3987.7,289,1.0,302,5,65,2139,0.001035,0.0097,296.4103,2,1.9,0.007,0.0015,4,0,0,0,0.035599,0.015625,64,0.5611,0.1022,0.2449
4,5000,3086,2,3,0,1.9983,0,16.7,73,3048,4.56,0.8588,3644.6,38,1.0,206,7,103,1890,0.001286,0.0191,55.5556,3,2.8,0.01,0.0024,0,0,0,0,0.043312,0.015625,64,0.6392,0.1374,0.2493
5,5000,3139,1,4,0,1.9983,0,16.6,3,3126,4.55,0.903,3476.1,13,1.0,133,5,78,1520,0.001606,0.021,29.0179,4,3.7,0.0118,0.0034,0,0,0,0,0.04771,0.015625,61,0.6725,0.1813,0.261
6,5000,3143,4,5,0,1.9984,2,16.6,10,3121,4.52,0.9296,3380.9,22,1.0,100,9,42,1183,0.002167,0.0328,61.2813,5,4.3,0.0159,0.0048,1,0,0,0,0.073232,0.015625,53,0.7866,0.2546,0.2838
7,5000,3106,1,4,0,1.9948,2,16.8,0,3101,4.54,0.9378,3312.2,5,1.0,79,3,24,953,0.002821,0.0344,17.1821,6,4.9,0.0179,0.0068,0,0,0,0,0.05625,0.015625,50,0.7222,0.3077,0.3025
8,5000,3086,1,5,0,1.9955,2,16.6,5,3076,4.39,0.9461,3261.9,10,1.0,58,1,22,813,0.003285,0.0342,47.1698,7,5.6,0.0214,0.0077,1,0,0,0,0.076923,0.015625,45,0.7969,0.3633,0.3221
9,5000,3043,1,3,0,1.9905,2,16.5,0,3034,4.38,0.9456,3218.1,9,1.0,47,3,14,709,0.003647,0.058,48.6486,8,6.2,0.0266,0.0104,0,0,0,0,0.077295,0.015625,42,0.7979,0.4201,0.3409
10,5000,3104,2,4,0,1.9946,2,16.5,6,3098,4.47,0.9708,3197.4,6,1.0,42,3,8,615,0.004342,0.0462,36.3636,9,6.9,0.0318,0.0097,0,0,0,0,0.098266,0.015625,32,0.841,0.5184,0.3672
11,5000,3121,0,0,3,1.9709,2,16.4,1,3115,4.5,0.98,3184.7,6,1.0,36,6,12,604,0.004767,0.0575,30.8642,10,7.2,0.0352,0.0138,0,0,0,0,0.109195,0.015625,31,0.8569,0.5643,0.3839
12,5000,3032,3,4,1,1.9416,1,16.5,13,3019,4.39,0.9591,3161.2,13,1.0,33,4,7,578,0.005025,0.0556,80.5369,11,7.0,0.0353,0.0115,0,1,0,0,0.098765,0.015625,30,0.8418,0.6014,0.3889
13,5000,3143,1,4,1,1.9336,1,16.5,5,3138,4.52,0.9951,3158.6,5,1.0,31,2,4,537,0.005699,0.0625,25.974,12,8.0,0.0402,0.0148,0,0,0,0,0.09375,0.015625,28,0.8333,0.6201,0.3997
14,5000,3237,0,0,3,1.8855,2,16.5,3233,0,4.6,1.0214,3169.0,4,1.0,29,0,2,507,0.005684,0.0859,25.1572,13,9.1,0.0482,0.0201,0,0,0,0,0.141104,0.015625,26,0.8893,0.6499,0.4177
15,5000,3110,2,5,3,1.8848,1,18.2,12,3098,4.53,0.9837,3161.7,12,1.0,29,2,2,508,0.005269,0.106,81.0811,14,9.7,0.0389,0.0182,1,0,0,0,0.10596,0.015625,25,0.8525,0.736,0.4335
16,5000,3134,2,5,3,1.9205,1,18.8,5,3124,4.5,0.9923,3158.4,10,1.0,27,2,4,498,0.00608,0.0774,64.9351,15,9.3,0.0465,0.0145,2,0,0,0,0.077419,0.015625,23,0.7982,0.7811,0.4401
17,5000,3089,1,3,3,1.9543,2,18.0,5,3080,4.47,0.9804,3150.7,9,1.0,26,3,4,523,0.005541,0.0789,48.6111,16,9.5,0.057,0.0195,0,1,0,0,0.157895,0.015625,24,0.901,0.9294,0.4514
18,5000,3038,1,8,3,1.932,2,17.4,9,3026,4.39,0.9679,3138.8,12,1.0,27,1,0,508,0.006004,0.1014,81.0811,17,10.1,0.0495,0.0206,0,0,0,0,0.101351,0.015625,23,0.8458,1.024,0.4567
