window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
1,5000,5998,15,5,0,1.999,0,21.6,0,0,6.51,1.0,5998.0,611,1.0,376,580,204,2091,0.000939,0.0068,410.498,0,0.0,0.0065,0.0011,2,0,0,0,0.032778,0.015625,64,0.5233,0.0328,0.2688
2,5000,3632,2,5,0,1.999,0,23.7,446,3171,5.17,0.8253,4444.7,461,1.0,349,7,34,2110,0.001096,0.0114,383.3333,1,1.0,0.007,0.0013,1,0,0,0,0.029766,0.015625,64,0.4751,0.0597,0.2486
3,5000,3281,0,0,1,1.999,0,27.2,245,3059,4.7,0.8535,3876.8,222,1.0,283,6,72,2001,0.001122,0.0081,247.4916,2,1.9,0.006,0.0015,0,0,0,0,0.035167,0.015625,64,0.5557,0.0949,0.2583
4,5000,3230,3,5,0,1.999,0,32.1,36,3197,4.58,0.895,3623.3,33,1.0,250,3,36,1764,0.001334,0.0226,51.0046,3,2.9,0.0139,0.0028,2,0,0,0,0.042433,0.015625,63,0.6318,0.1325,0.2629
5,5000,3124,0,0,1,1.999,0,37.5,0,3119,4.55,0.9037,3456.9,5,1.0,217,0,33,1654,0.001408,0.0177,8.6356,4,3.9,0.0097,0.0028,0,0,0,0,0.043548,0.015625,61,0.6412,0.1761,0.2712
6,5000,3103,0,0,3,1.9989,1,43.6,0,3098,4.47,0.9247,3355.8,5,1.0,196,0,21,1563,0.001443,0.0217,9.5238,5,4.9,0.013,0.0032,0,0,0,0,0.048913,0.015625,60,0.6806,0.2159,0.2778
7,5000,3081,2,3,0,1.9951,1,51.6,4,3074,4.48,0.9373,3287.1,7,1.0,178,7,25,1470,0.001439,0.0227,12.1951,6,5.7,0.011,0.0033,0,0,0,0,0.058712,0.015625,61,0.7339,0.2746,0.2876
8,5000,3139,0,0,1,1.9929,1,51.7,11,3128,4.47,0.9646,3254.2,11,1.0,164,7,21,1396,0.001451,0.0175,22.6337,7,6.6,0.0117,0.0034,0,0,0,0,0.044834,0.015625,61,0.6515,0.3195,0.2916
9,5000,3125,0,0,0,1.9937,1,55.5,13,3112,4.5,0.968,3228.3,13,1.0,147,2,19,1301,0.001518,0.0193,28.9532,8,7.5,0.0116,0.0038,0,0,0,0,0.055675,0.015625,60,0.7194,0.3687,0.2927
10,5000,3105,0,0,3,1.9982,1,60.5,7,3098,4.5,0.9685,3205.9,7,1.0,136,2,13,1238,0.00161,0.0254,14.218,9,8.5,0.0115,0.0043,0,0,0,0,0.046189,0.015625,60,0.6617,0.4149,0.2951
11,5000,3020,1,5,3,1.9901,1,67.7,5,3015,4.38,0.9512,3174.9,5,1.0,129,1,8,1210,0.001637,0.027,13.9665,10,9.5,0.0198,0.005,1,0,0,0,0.048518,0.015625,59,0.678,0.4473,0.2968
12,5000,3127,1,4,0,1.9787,1,66.2,4,3123,4.48,0.9872,3167.6,4,1.0,121,1,9,1151,0.001608,0.0308,11.6618,11,10.5,0.0196,0.0049,0,0,0,0,0.05042,0.015625,59,0.6901,0.4977,0.3013
13,5000,3040,1,5,0,1.9646,2,68.0,9,3031,4.49,0.9653,3149.3,9,1.0,106,1,16,1039,0.001918,0.0374,26.5487,12,11.4,0.0222,0.0067,1,0,0,0,0.051724,0.015625,57,0.6979,0.5437,0.3035
14,5000,3164,0,0,3,1.9508,2,70.9,3156,0,4.52,1.004,3151.3,8,1.0,103,4,7,1013,0.001838,0.0316,23.6686,13,12.1,0.0168,0.0061,0,0,0,0,0.051724,0.015625,55,0.6979,0.5954,0.304
15,5000,3098,1,5,3,1.9727,1,70.5,8,3085,4.51,0.9852,3144.6,13,1.0,99,1,5,994,0.001816,0.0374,42.2078,14,12.9,0.0202,0.0063,1,0,0,0,0.05296,0.015625,53,0.705,0.6265,0.3015
16,5000,3065,1,3,3,1.97,1,74.3,9,3051,4.53,0.9776,3135.3,14,1.0,98,9,10,1000,0.001936,0.0392,40.7524,15,13.0,0.0237,0.0068,0,0,0,0,0.057229,0.015625,54,0.727,0.6657,0.3002
17,5000,3123,0,0,3,1.9539,2,78.0,0,3118,4.49,0.9965,3133.9,5,1.0,90,0,8,937,0.002027,0.0341,16.1812,16,14.1,0.0244,0.0067,0,0,0,0,0.049536,0.015625,52,0.6846,0.6998,0.3018
18,5000,3099,2,5,3,1.9345,1,79.8,0,3094,4.5,0.99,3130.2,5,1.0,85,2,7,923,0.002015,0.0487,16.835,17,15.2,0.0278,0.008,1,0,0,0,0.058442,0.015625,50,0.7326,0.7517,0.3053
19,5000,3028,2,5,3,1.9082,1,81.2,5,3013,4.42,0.9705,3120.0,15,1.0,86,10,9,944,0.001969,0.0306,44.3038,18,14.9,0.0208,0.0068,1,0,0,0,0.061162,0.015625,50,0.7445,0.7792,0.3061
20,5000,3112,1,5,3,1.9465,2,81.7,5,3097,4.46,0.9977,3119.2,15,1.0,78,1,9,878,0.002299,0.0623,57.4713,19,15.8,0.0256,0.0095,1,0,0,0,0.087912,0.015625,48,0.8223,0.8342,0.3101
21,5000,3112,0,0,3,1.9243,2,82.5,5,3102,4.47,0.9979,3118.5,10,1.0,75,0,3,864,0.002413,0.0524,38.3142,20,17.1,0.03,0.0101,0,0,0,0,0.067416,0.015625,47,0.7682,0.8716,0.3126
22,5000,3067,1,5,3,1.967,1,84.0,5,3053,4.42,0.985,3113.6,14,1.0,70,5,10,836,0.00231,0.0504,56.4516,21,17.4,0.0258,0.0091,1,0,0,0,0.062016,0.015625,46,0.748,0.9143,0.3151
