window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
1,5000,5899,12,7,0,1.9996,0,34.2,0,0,6.37,1.0,5899.0,495,1.0,312,464,152,1807,0.001165,0.0143,413.8796,0,0.0,0.0,0.0015,0,0,0,0,0.038287,0.015625,64,0.5919,0.0383,0.2726
2,5000,3603,2,4,0,1.9996,0,36.1,366,3212,5.03,0.8266,4380.3,391,1.0,296,11,27,1848,0.001266,0.0095,406.8678,1,1.0,0.0,0.0014,0,0,0,0,0.030903,0.015625,64,0.4944,0.0685,0.2574
3,5000,3270,2,3,0,1.9996,0,43.1,226,3053,4.74,0.8581,3836.2,217,1.0,249,4,51,1792,0.00129,0.0141,269.9005,2,1.9,0.0,0.0017,0,0,0,0,0.040161,0.015625,64,0.6109,0.1087,0.2609
4,5000,3253,0,0,1,1.9996,0,51.4,36,3222,4.64,0.9052,3608.1,31,1.0,224,3,28,1601,0.0015,0.0168,56.7766,3,2.9,0.0,0.0028,0,0,0,0,0.048822,0.015625,64,0.68,0.1508,0.2704
5,5000,3038,4,5,0,1.9996,1,75.4,2,3028,4.53,0.8888,3418.1,10,1.0,195,5,34,1537,0.001542,0.0214,18.4049,4,3.8,0.0214,0.0032,1,0,0,0,0.046602,0.015625,63,0.6647,0.1857,0.287
6,5000,3043,2,5,0,1.9996,1,98.2,0,3028,4.46,0.9191,3310.9,15,1.0,177,5,23,1472,0.001597,0.0293,28.9575,5,4.7,0.0219,0.0038,1,0,0,0,0.062157,0.015625,61,0.7486,0.2412,0.3022
7,5000,3081,0,0,1,1.9972,2,103.6,0,3066,4.43,0.947,3253.4,15,1.0,161,0,16,1406,0.001592,0.0214,33.1858,6,5.7,0.0193,0.004,0,0,0,0,0.038544,0.015625,60,0.5946,0.2754,0.307
8,5000,3091,1,5,0,1.995,1,119.5,0,3081,4.55,0.9607,3217.3,10,1.0,142,1,20,1290,0.001791,0.0408,25.0,7,6.7,0.0288,0.0051,1,0,0,0,0.055156,0.015625,57,0.7167,0.321,0.3121
9,5000,3091,2,5,0,1.9657,1,126.3,0,3081,4.43,0.9683,3192.1,10,1.0,136,4,10,1283,0.001708,0.0272,25.974,8,7.5,0.0167,0.0052,1,0,0,0,0.059406,0.015625,53,0.737,0.3581,0.3203
10,5000,3130,0,0,1,1.9404,2,133.9,0,3125,4.56,0.984,3180.8,5,1.0,125,0,11,1221,0.001739,0.028,13.2626,9,8.5,0.0172,0.0048,0,0,0,0,0.053435,0.015625,50,0.7076,0.3937,0.3289
11,5000,3080,0,0,0,1.9589,1,141.7,0,3072,4.48,0.9735,3164.0,8,1.0,113,3,15,1117,0.001848,0.0339,19.0217,10,9.3,0.0131,0.0055,0,0,0,0,0.05483,0.015625,46,0.715,0.4329,0.3384
12,5000,3027,0,0,3,1.9786,1,148.2,1,3026,4.39,0.9631,3142.9,1,1.0,103,1,11,1038,0.001817,0.0261,0.0,11,10.3,0.0163,0.0054,0,0,0,0,0.062092,0.015625,45,0.7484,0.4819,0.3491
13,5000,3134,1,5,3,1.9871,1,155.2,6,3128,4.47,0.9976,3141.6,6,1.0,95,2,10,992,0.002018,0.0381,21.3523,12,11.2,0.027,0.0072,1,0,0,0,0.055363,0.015625,46,0.7178,0.5304,0.3578
14,5000,3086,0,0,3,1.9822,1,166.8,7,3079,4.55,0.9846,3134.2,7,1.0,88,2,9,939,0.002151,0.0344,24.5614,13,11.9,0.0213,0.007,0,0,0,0,0.061856,0.015625,44,0.7474,0.5647,0.3643
15,5000,3092,0,0,3,1.9555,1,172.7,7,3085,4.46,0.9882,3128.9,7,1.0,83,2,7,911,0.002232,0.0498,21.978,14,12.7,0.0313,0.0078,0,0,0,0,0.081851,0.015625,43,0.8091,0.5933,0.3707
16,5000,3153,0,0,3,1.9687,1,172.7,3153,0,4.5,1.0068,3131.8,0,1.0,82,0,1,901,0.001984,0.0395,0.0,15,13.7,0.0245,0.0071,0,0,0,0,0.071146,0.015625,42,0.7804,0.6644,0.3798
17,5000,3066,2,5,1,1.9942,1,177.2,6,3055,4.33,0.9813,3124.5,11,1.0,77,4,9,898,0.002253,0.0361,40.9836,16,14.1,0.0288,0.0079,1,0,0,0,0.060241,0.015625,44,0.7406,0.705,0.3854
18,5000,3077,1,5,2,1.9822,1,181.1,0,3072,4.43,0.9864,3119.5,5,1.0,76,1,2,901,0.002289,0.0512,20.3252,17,15.1,0.027,0.009,1,0,0,0,0.07874,0.015625,43,0.8016,0.768,0.3898
19,5000,3046,1,4,1,1.9269,2,187.7,7,3034,4.44,0.9788,3112.1,12,1.0,74,4,6,904,0.002192,0.0504,46.875,18,15.5,0.0238,0.0093,0,0,0,0,0.077519,0.015625,43,0.7984,0.8455,0.3955
20,5000,3077,1,3,3,1.8881,2,183.3,9,3063,4.45,0.9898,3108.8,14,1.0,73,4,5,883,0.002325,0.0438,56.9106,19,15.7,0.0279,0.0083,0,0,0,0,0.087649,0.015625,42,0.8217,0.9331,0.4011
21,5000,3139,1,5,3,1.8069,2,190.9,3127,0,4.46,1.0088,3111.7,12,1.0,69,1,5,867,0.002354,0.0436,44.6097,20,16.7,0.025,0.009,1,0,0,0,0.069091,0.015625,40,0.7738,1.0022,0.4052
22,5000,3012,1,5,3,1.906,2,186.3,6,3001,4.4,0.9709,3102.2,11,1.0,64,3,8,844,0.002477,0.0615,45.8333,21,17.6,0.0291,0.0105,1,0,0,0,0.07377,0.015625,40,0.7882,1.0514,0.4057
23,5000,2982,0,0,3,1.8194,2,191.8,0,2977,4.35,0.9648,3090.7,5,1.0,58,0,6,778,0.002439,0.0457,23.8095,22,18.3,0.0269,0.0094,0,0,0,0,0.068493,0.015625,38,0.7719,1.0925,0.4077
24,5000,3120,1,5,3,1.9198,1,199.4,3111,0,4.55,1.0086,3093.5,9,1.0,56,1,3,781,0.002621,0.058,44.5545,23,19.1,0.028,0.0116,1,0,0,0,0.067633,0.015625,37,0.769,1.1601,0.4096
25,5000,3063,1,5,1,1.9528,1,194.1,4,3059,4.44,0.9911,3090.6,4,1.0,54,1,3,762,0.002538,0.0542,20.202,24,19.5,0.0331,0.011,1,0,0,0,0.064039,0.015625,36,0.756,1.2242,0.4129
26,5000,3174,1,3,3,1.9201,2,201.3,3175,0,4.55,1.0246,3098.6,0,1.0,52,1,3,745,0.002535,0.037,0.0,25,20.0,0.0261,0.0092,0,0,0,0,0.069444,0.015625,37,0.775,1.2751,0.4149
27,5000,3057,0,0,3,1.8876,2,197.7,0,3057,4.48,0.9878,3094.7,0,1.0,50,0,2,732,0.002586,0.0648,0.0,26,21.2,0.0316,0.0118,0,0,0,0,0.078704,0.015625,37,0.8015,1.3214,0.4174
28,5000,2978,1,5,3,1.8045,1,198.9,2,2966,4.4,0.9658,3083.6,12,1.0,51,8,7,744,0.002698,0.0443,56.4103,27,19.7,0.0275,0.0106,1,0,0,0,0.08867,0.015625,37,0.8238,1.3657,0.4183
29,5000,3148,0,0,3,1.8598,1,201.4,3143,0,4.46,1.0189,3089.7,5,1.0,47,0,4,705,0.003046,0.0619,26.455,28,20.0,0.0288,0.0118,0,0,0,0,0.072165,0.015625,34,0.7835,1.4224,0.4219
