window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
1,5000,6092,14,5,0,1.9993,0,34.2,0,0,6.58,1.0,6092.0,530,1.0,325,501,176,1894,0.001085,0.0086,386.1314,0,0.0,0.0052,0.0012,1,0,0,0,0.034423,0.015625,64,0.5461,0.0344,0.2962
2,5000,3750,3,5,0,1.9993,0,37.3,412,3334,5.24,0.8303,4548.0,416,1.0,261,28,92,1973,0.001289,0.0084,171.1526,1,0.9,0.0084,0.0012,1,0,0,0,0.034434,0.015625,64,0.5462,0.0671,0.2815
3,5000,3333,4,5,0,1.9994,0,42.8,276,3076,4.84,0.8505,3956.5,257,1.0,227,10,44,1783,0.001622,0.0121,307.971,2,1.8,0.0094,0.002,1,0,0,0,0.037261,0.015625,63,0.5807,0.0933,0.2715
4,5000,3279,1,3,0,1.9994,0,62.7,66,3229,4.66,0.8932,3693.5,50,1.0,168,5,64,1616,0.001954,0.0156,85.2575,3,2.7,0.014,0.0025,0,0,0,0,0.053042,0.015625,61,0.7054,0.14,0.2849
5,5000,3124,0,0,1,1.9994,0,76.0,5,3120,4.49,0.8918,3504.0,4,1.0,113,0,55,1271,0.002755,0.0282,10.5541,4,3.8,0.0282,0.0043,0,1,0,0,0.06338,0.015625,57,0.7535,0.201,0.2982
6,5000,3019,0,0,3,1.9991,1,95.4,0,3019,4.4,0.8971,3365.4,0,1.0,82,0,31,985,0.003768,0.0324,0.0,5,4.7,0.0227,0.0053,0,0,0,0,0.064725,0.015625,51,0.7586,0.2657,0.3164
7,5000,3066,2,5,0,1.9982,1,105.8,0,3056,4.43,0.9318,3290.6,10,1.0,63,2,21,773,0.005128,0.0522,43.1034,6,5.5,0.0311,0.0089,2,0,0,0,0.060241,0.015625,45,0.7406,0.3136,0.3266
8,5000,3059,2,5,0,1.9973,1,116.0,5,3050,4.47,0.9446,3239.3,9,1.0,51,4,16,676,0.006081,0.0543,38.2775,7,6.1,0.0407,0.01,1,0,0,0,0.090498,0.015625,38,0.8273,0.4041,0.3372
9,5000,3010,1,4,0,1.9998,2,129.7,4,3006,4.4,0.9425,3193.5,4,1.0,42,1,10,582,0.006921,0.0556,23.1214,8,6.8,0.0389,0.0104,0,1,0,0,0.088889,0.015625,33,0.8242,0.493,0.3556
10,5000,3103,2,5,0,1.9962,2,134.6,0,3096,4.4,0.9767,3177.0,7,1.0,36,4,10,546,0.007948,0.0654,41.6667,9,6.9,0.0444,0.0146,1,0,0,0,0.091503,0.015625,30,0.8292,0.5584,0.3728
11,5000,3105,0,0,3,1.9892,2,144.4,0,3105,4.45,0.981,3165.0,0,1.0,32,0,4,478,0.009121,0.0662,0.0,10,8.0,0.05,0.0149,0,0,0,0,0.139706,0.015625,29,0.8882,0.6539,0.4
12,5000,3033,0,0,3,1.9958,1,147.0,1,3032,4.4,0.9645,3144.7,1,1.0,26,1,7,437,0.010198,0.0672,0.0,11,8.9,0.0571,0.0165,0,0,0,0,0.117647,0.015625,25,0.8672,0.738,0.421
13,5000,3034,0,0,3,1.9964,1,154.4,0,3029,4.33,0.9697,3128.9,5,1.0,25,5,6,383,0.011253,0.0909,48.0769,12,8.8,0.0582,0.0168,0,0,0,0,0.1,0.015625,23,0.8438,0.8016,0.44
14,5000,2946,2,5,1,1.9852,1,159.2,9,2932,4.37,0.9489,3104.5,14,1.0,18,2,9,389,0.011578,0.0776,142.8571,13,7.5,0.0603,0.0143,1,0,0,0,0.094828,0.015625,22,0.8352,0.8792,0.4593
15,5000,3074,1,3,1,1.953,1,162.1,0,3074,4.42,0.9914,3100.7,0,1.0,17,1,2,313,0.015402,0.0909,0.0,14,7.4,0.0572,0.0172,0,0,0,0,0.151515,0.015625,17,0.8969,0.96,0.4761
16,5000,3145,0,0,3,1.9632,2,170.3,3145,0,4.47,1.0126,3105.9,0,1.0,14,0,3,305,0.016738,0.117,0.0,15,8.7,0.0727,0.0268,0,0,0,0,0.117021,0.015625,16,0.8665,1.0664,0.4929
17,5000,3152,0,0,3,1.9465,1,166.9,3152,0,4.53,1.0132,3111.0,0,1.0,9,0,5,273,0.018408,0.1642,0.0,16,10.6,0.1015,0.0345,0,1,0,0,0.164179,0.015625,14,0.9048,1.1709,0.509
18,5000,2997,1,5,3,1.9727,1,181.3,0,2992,4.33,0.9671,3099.0,5,1.0,9,1,1,219,0.021661,0.1667,86.2069,17,10.4,0.0967,0.0315,1,1,0,0,0.166667,0.015625,10,0.9062,1.3042,0.5164
19,5000,3097,1,5,3,1.9987,1,184.7,0,3092,4.47,0.9994,3098.8,5,1.0,9,1,1,221,0.023283,0.1719,80.6452,18,9.7,0.1172,0.0393,1,0,0,0,0.171875,0.015625,10,0.9091,1.3667,0.5195
20,5000,3151,1,5,3,1.9742,2,190.5,3146,0,4.49,1.0152,3103.8,5,1.0,9,1,1,226,0.023829,0.1864,89.2857,19,10.1,0.1138,0.0366,1,0,0,0,0.186441,0.015625,10,0.9162,1.4345,0.5232
21,5000,3142,0,0,3,1.9671,2,186.4,3137,0,4.44,1.0111,3107.4,5,1.0,8,0,1,211,0.027213,0.1579,90.9091,20,11.0,0.1228,0.0223,0,0,0,0,0.157895,0.015625,9,0.901,1.5398,0.5327
22,5000,2999,0,0,3,1.9689,1,194.3,0,2994,4.48,0.9683,3097.1,5,1.0,7,0,1,191,0.029021,0.2188,81.9672,21,10.9,0.1354,0.0448,0,1,0,0,0.21875,0.015625,8,0.9286,1.6335,0.5435
23,5000,3087,1,5,3,1.9701,1,197.9,0,3082,4.48,0.997,3096.1,5,1.0,6,1,2,191,0.028265,0.2456,96.1538,22,10.8,0.1649,0.0513,1,2,0,0,0.245614,0.015625,8,0.9364,1.7388,0.5489
24,5000,3087,0,0,3,1.9785,1,197.8,4,3083,4.42,0.9973,3095.3,4,1.0,9,4,1,162,0.02676,0.24,85.1064,23,7.9,0.112,0.0551,0,0,0,0,0.26,0.015625,8,0.9399,1.8388,0.5515
25,5000,3012,0,0,3,1.9037,1,202.7,4,3008,4.37,0.9756,3087.3,4,1.0,9,0,0,162,0.028914,0.1944,121.2121,24,8.9,0.1444,0.054,0,0,0,0,0.194444,0.015625,8,0.9196,1.9777,0.5608
26,5000,3061,1,5,3,1.8413,1,202.0,9,3052,4.4,0.9923,3084.8,9,1.0,9,1,1,187,0.025331,0.1897,169.8113,25,9.6,0.1241,0.0472,1,1,0,0,0.224138,0.015625,9,0.9303,2.1648,0.565
27,5000,3018,0,0,3,1.9328,1,202.3,5,3013,4.48,0.9804,3078.5,5,1.0,6,0,3,152,0.035821,0.2391,113.6364,26,14.3,0.1696,0.0598,0,0,0,0,0.23913,0.015625,7,0.9347,2.294,0.5724
28,5000,3058,0,0,3,1.8512,1,201.8,5,3048,4.45,0.994,3076.5,10,1.0,8,5,3,168,0.02844,0.1633,217.3913,27,11.5,0.1184,0.0345,0,0,0,0,0.163265,0.015625,9,0.9043,2.4165,0.5775
29,4999,3047,3,5,3,1.899,1,199.8,9,3023,4.46,0.9913,3073.7,24,1.0,10,4,2,242,0.022567,0.1951,294.8718,26,7.2,0.1063,0.0483,2,0,0,0,0.195122,0.015625,12,0.9199,2.4652,0.5704
30,4999,3125,0,0,3,1.9197,1,203.3,3125,0,4.53,1.0151,3078.6,0,1.0,7,0,3,212,0.026123,0.2,0.0,27,7.9,0.1308,0.0417,0,1,0,0,0.2,0.015625,10,0.9219,2.6037,0.5696
31,4998,2997,0,0,3,1.9561,1,207.7,0,2992,4.47,0.976,3070.8,5,1.0,7,2,2,171,0.024299,0.1707,151.5152,12,4.6,0.128,0.0338,0,2,0,0,0.170732,0.015625,9,0.9085,2.6525,0.5677
