window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
1,5000,6171,13,5,0,1.9967,0,18.0,0,0,6.72,1.0,6171.0,656,1.0,412,631,219,2145,0.000883,0.0083,393.8665,0,0.0,0.0083,0.001,1,0,0,0,0.038016,0.015625,64,0.589,0.038,0.2222,0.003
2,5000,3695,3,5,0,1.9969,0,16.8,509,3213,5.24,0.8236,4561.7,482,1.0,383,15,44,2196,0.00099,0.0071,373.9333,1,1.0,0.0062,0.0011,1,0,0,0,0.035056,0.015625,64,0.5543,0.0731,0.2206,0.003
3,5000,3402,1,3,0,1.9969,0,16.5,246,3171,4.84,0.8578,3993.8,231,1.0,312,2,73,2131,0.001042,0.0088,232.3944,2,1.9,0.0084,0.0014,0,0,0,0,0.038554,0.015625,63,0.5947,0.1116,0.2323,0.003
4,5000,3201,5,5,0,1.9969,0,16.5,63,3141,4.6,0.8745,3685.5,60,1.0,272,10,50,1892,0.001221,0.0172,86.2069,3,2.9,0.0136,0.0024,2,0,0,0,0.039735,0.015625,63,0.6068,0.1514,0.23,0.003
5,5000,3038,0,0,1,1.997,0,16.5,6,3023,4.41,0.8758,3470.0,15,1.0,238,0,34,1753,0.001287,0.0196,25.7732,4,3.8,0.0139,0.0028,0,0,0,0,0.037643,0.015625,63,0.5849,0.1841,0.2354,0.003
6,5000,3097,2,4,0,1.9966,0,16.5,12,3072,4.51,0.9208,3363.4,25,1.0,223,13,28,1745,0.001251,0.0193,40.747,5,4.6,0.0088,0.0028,0,0,0,0,0.046549,0.015625,63,0.6643,0.2034,0.2389,0.003
7,5000,3138,1,5,0,1.995,1,16.4,9,3125,4.5,0.9489,3307.1,13,1.0,196,3,30,1612,0.001351,0.0169,23.7624,6,5.6,0.015,0.0032,1,0,0,0,0.048689,0.015625,60,0.6791,0.2277,0.2412,0.003
8,5000,3177,3,4,0,1.9942,2,16.3,13,3164,4.54,0.9691,3278.2,13,1.0,177,5,24,1567,0.001447,0.018,27.3109,7,6.4,0.014,0.0034,0,0,0,0,0.046092,0.015625,60,0.661,0.2517,0.2383,0.003
9,5000,3100,1,3,0,1.9899,2,16.4,7,3088,4.55,0.956,3242.5,12,1.0,162,4,19,1484,0.001448,0.0218,27.2727,8,7.3,0.0118,0.0038,0,0,0,0,0.048035,0.015625,60,0.6747,0.2942,0.2415,0.003
10,5000,3066,1,3,0,1.9956,2,17.4,3,3058,4.39,0.955,3210.4,8,1.0,150,1,13,1417,0.00152,0.0217,18.1406,9,8.2,0.0183,0.0042,0,0,0,0,0.047826,0.015625,59,0.6733,0.3333,0.2431,0.003
11,5000,3065,0,0,3,1.9877,2,16.7,7,3058,4.38,0.962,3186.2,7,1.0,143,4,11,1359,0.001486,0.0185,16.9903,10,9.0,0.012,0.004,0,0,0,0,0.04388,0.015625,58,0.6439,0.3656,0.2495,0.003
12,5000,3105,2,5,1,1.9488,1,16.6,9,3091,4.47,0.9784,3173.7,14,1.0,128,2,17,1271,0.001594,0.0248,36.0825,11,9.9,0.0157,0.0045,1,0,0,0,0.044554,0.015625,57,0.6493,0.4102,0.2525,0.003
13,5000,3011,1,5,1,1.9308,1,16.6,4,3002,4.38,0.9557,3150.5,9,1.0,119,2,11,1206,0.001765,0.034,26.8657,12,10.7,0.0243,0.006,1,0,0,0,0.062323,0.015625,55,0.7493,0.4725,0.2588,0.003
14,5000,3020,0,0,3,1.9314,2,16.6,2,3018,4.44,0.9639,3133.1,2,1.0,105,2,16,1124,0.001909,0.0449,0.0,13,11.6,0.0241,0.0063,0,0,0,0,0.053371,0.015625,51,0.7072,0.509,0.2616,0.003
15,5000,3052,2,5,1,1.9526,1,16.6,10,3042,4.45,0.9773,3122.9,10,1.0,94,3,14,1064,0.001977,0.0365,28.2132,14,12.3,0.0209,0.0063,1,0,0,0,0.06079,0.015625,49,0.743,0.5546,0.2703,0.003
16,5000,3058,0,0,1,1.9629,1,16.5,0,3058,4.46,0.9816,3115.3,0,1.0,91,0,3,1021,0.001803,0.0382,0.0,15,13.3,0.0178,0.0063,0,0,0,0,0.065972,0.015625,48,0.7632,0.5998,0.2775,0.003
17,5000,3040,3,5,1,1.9215,1,16.5,3,3022,4.37,0.9785,3106.9,18,1.0,94,6,3,1078,0.001882,0.0312,52.6316,16,13.5,0.0196,0.0062,3,0,0,0,0.051136,0.015625,46,0.6944,0.6424,0.2842,0.003
18,5000,3205,0,0,3,1.9673,1,16.8,3213,0,4.61,1.0356,3120.0,18,1.0,92,0,2,1064,0.002035,0.0377,54.3807,17,14.5,0.0216,0.0073,0,0,0,0,0.066667,0.015625,45,0.7656,0.6771,0.2945,0.003
19,5000,3052,1,5,3,1.9875,1,16.3,0,3032,4.38,0.9803,3113.2,20,1.0,92,6,6,1071,0.001845,0.0314,64.7249,18,14.5,0.0223,0.0065,1,0,0,0,0.075472,0.015625,44,0.793,0.7086,0.3035,0.003
20,5000,3084,1,3,3,1.9884,1,16.3,4,3067,4.38,0.9915,3110.4,17,1.0,93,7,6,1085,0.001872,0.0335,53.4591,19,14.7,0.0213,0.0069,0,0,0,0,0.079268,0.015625,44,0.8029,0.7421,0.3103,0.003
21,5000,3031,0,0,3,1.9877,2,16.4,4,3027,4.35,0.9768,3102.8,4,1.0,88,0,5,1052,0.001826,0.028,12.8205,20,15.7,0.0179,0.0064,0,0,0,0,0.074534,0.015625,43,0.7904,0.7949,0.3178,0.003
22,5000,3172,1,5,1,1.9597,1,16.4,3163,0,4.57,1.0201,3109.4,9,1.0,81,1,8,1022,0.001867,0.0351,32.6087,21,16.6,0.0229,0.0075,1,0,0,0,0.080702,0.015625,41,0.8064,0.8561,0.325,0.003
23,5000,3026,1,5,1,1.9975,1,16.5,0,3021,4.45,0.9757,3101.5,5,1.0,71,1,11,939,0.002069,0.0453,21.0084,22,17.6,0.0262,0.0095,1,0,0,0,0.065844,0.015625,38,0.7627,0.922,0.3319,0.003
24,5000,3087,0,0,3,1.9728,2,16.4,0,3087,4.43,0.9958,3100.1,0,1.0,66,0,5,898,0.002118,0.0448,0.0,23,19.0,0.0259,0.0102,0,0,0,0,0.121076,0.015625,36,0.8709,1.0431,0.3412,0.003
25,5000,3028,1,4,3,1.9737,1,16.4,1,3027,4.41,0.9789,3093.2,1,1.0,62,2,6,855,0.002125,0.0407,4.6296,24,19.3,0.021,0.0089,0,0,0,0,0.108597,0.015625,32,0.8561,1.1517,0.3517,0.003
26,4999,3080,1,4,3,1.9591,1,16.4,4,3076,4.42,0.9961,3092.0,4,1.0,60,1,3,846,0.00237,0.0474,17.6211,25,19.7,0.0265,0.0096,0,0,0,0,0.112069,0.015625,32,0.8606,1.2292,0.3612,0.003
27,4998,3152,1,5,3,1.9357,2,16.4,3143,0,4.51,1.0175,3097.7,9,1.0,58,1,3,848,0.002498,0.0542,37.6569,26,20.1,0.025,0.0114,1,0,0,0,0.095833,0.015625,32,0.837,1.3042,0.3692,0.003
28,4997,3032,1,4,3,1.9386,2,16.3,13,3019,4.44,0.9808,3091.4,13,1.0,53,1,6,810,0.00273,0.0476,63.1068,27,20.2,0.0273,0.0122,0,0,0,0,0.109524,0.015625,32,0.8573,1.3566,0.3744,0.003
29,4996,3128,1,4,3,1.871,2,22.0,3115,0,4.52,1.0107,3094.9,13,1.0,50,1,4,789,0.002623,0.0537,55.3191,28,20.2,0.0306,0.0123,0,0,0,0,0.07438,0.015625,32,0.7899,1.4145,0.3808,0.003
30,4996,3167,1,4,3,1.93,2,16.3,3156,0,4.6,1.021,3101.8,11,1.0,51,1,0,805,0.00242,0.0458,46.2185,29,20.8,0.0247,0.0099,0,0,0,0,0.091667,0.015625,33,0.8295,1.4936,0.3874,0.003
31,4996,3102,0,0,3,1.9547,2,16.4,3098,0,4.5,1.0001,3101.8,4,1.0,49,0,2,791,0.00239,0.0533,17.9372,30,21.5,0.0261,0.0109,0,0,0,0,0.088889,0.015625,33,0.8242,1.5825,0.3931,0.003
32,4996,3137,0,0,3,1.9535,1,16.4,3132,0,4.51,1.0103,3105.2,5,1.0,48,1,2,782,0.002241,0.0474,17.6991,31,22.7,0.0302,0.0109,0,1,0,0,0.103448,0.015625,33,0.849,1.686,0.3995,0.003
33,4996,3190,2,5,3,1.9535,1,16.3,3181,0,4.59,1.0252,3113.4,11,1.0,49,4,3,808,0.002496,0.044,44.7154,32,21.3,0.0255,0.0111,2,0,0,0,0.072,0.015625,32,0.783,1.734,0.4045,0.003
34,4995,3009,1,5,1,1.9569,1,16.4,0,3005,4.42,0.9696,3103.5,4,1.0,48,1,2,818,0.002753,0.0714,18.4332,33,22.4,0.0328,0.0132,1,0,0,0,0.102679,0.015625,31,0.8478,1.8367,0.4096,0.003
35,4995,3134,1,5,3,1.9362,2,16.4,3124,0,4.49,1.0089,3106.4,10,1.0,50,6,4,871,0.002492,0.0584,32.0,34,22.4,0.0281,0.012,1,0,0,0,0.077821,0.015625,35,0.7992,1.9145,0.4127,0.003
36,4994,3151,3,5,3,1.9661,2,16.4,3133,0,4.52,1.013,3110.6,18,1.0,55,8,3,918,0.002371,0.0433,61.4334,35,21.1,0.0235,0.0083,2,0,0,0,0.06,0.015625,38,0.7396,1.9745,0.4124,0.003
37,4992,3074,2,5,1,1.9661,2,16.5,10,3059,4.44,0.9893,3107.1,15,1.0,57,4,2,933,0.002345,0.0348,49.3421,36,20.7,0.0206,0.008,1,0,0,0,0.088608,0.015625,38,0.8237,2.0631,0.4119,0.003
38,4992,2999,0,0,1,1.9489,2,16.4,9,2990,4.39,0.9684,3096.8,9,1.0,55,0,2,924,0.002232,0.0465,36.5854,37,21.6,0.024,0.0093,0,0,0,0,0.069767,0.015625,38,0.776,2.129,0.4133,0.003
39,4992,3073,0,0,0,1.8824,1,16.5,5,3068,4.49,0.993,3094.6,5,1.0,52,0,3,902,0.002231,0.063,21.4592,38,23.7,0.0208,0.011,0,0,0,0,0.079832,0.015625,37,0.8043,2.2046,0.4156,0.003
40,4991,3035,1,3,1,1.8801,1,16.4,3,3032,4.47,0.9825,3088.9,3,1.0,50,2,4,881,0.002042,0.0422,13.3333,39,25.5,0.0247,0.0112,0,1,0,0,0.092827,0.015625,37,0.8317,2.2974,0.4186,0.003
41,4990,3005,4,4,1,1.8927,1,16.3,11,2990,4.4,0.9754,3080.9,15,1.0,53,6,3,903,0.002035,0.0432,54.5455,40,23.5,0.0219,0.0089,0,0,0,0,0.071942,0.015625,38,0.7828,2.3694,0.4184,0.003
42,4988,3157,0,0,1,1.9345,2,16.3,3153,0,4.5,1.0223,3088.2,4,1.0,52,0,1,903,0.002104,0.0401,15.0943,41,24.9,0.0245,0.0089,0,0,0,0,0.065693,0.015625,38,0.7622,2.4351,0.4175,0.003
43,4987,3180,0,0,0,1.9261,1,16.3,3176,0,4.54,1.0274,3097.1,6,1.0,51,2,3,903,0.00197,0.0564,23.4375,42,25.5,0.0218,0.0104,0,0,0,0,0.071429,0.015625,39,0.7812,2.4764,0.4173,0.003
44,4986,3086,3,5,3,1.9799,1,16.2,6,3067,4.45,0.9968,3096.0,19,1.0,54,6,3,969,0.002119,0.0483,64.7482,43,25.0,0.023,0.0103,2,0,0,0,0.058621,0.015625,41,0.7335,2.535,0.4174,0.003
45,4986,3001,0,0,3,1.9761,1,16.3,1,3000,4.47,0.9721,3087.0,1,1.0,49,1,6,932,0.002178,0.0463,0.0,44,26.5,0.0239,0.0095,0,0,0,0,0.07722,0.015625,39,0.7977,2.6007,0.4176,0.003
46,4986,3079,2,5,1,1.9257,1,16.2,4,3070,4.48,0.9977,3086.2,9,1.0,49,2,2,917,0.00204,0.0465,36.2903,45,27.2,0.0284,0.0106,1,2,0,0,0.081395,0.015625,37,0.808,2.6821,0.4178,0.003
47,4984,3152,2,4,3,1.9428,1,16.3,3144,0,4.58,1.0192,3092.5,8,1.0,50,4,3,911,0.002244,0.0526,30.7692,46,27.3,0.0235,0.0101,0,1,0,0,0.071429,0.015625,38,0.7812,2.7234,0.4167,0.003
48,4983,3172,2,5,3,1.985,2,16.2,3165,0,4.46,1.0235,3100.2,8,1.0,52,2,0,927,0.002062,0.0406,29.7398,47,27.2,0.0218,0.0081,1,0,0,0,0.066421,0.015625,38,0.7648,2.7751,0.4162,0.003
49,4983,3179,2,4,1,1.9931,2,16.2,3166,0,4.54,1.0232,3107.8,14,1.0,51,6,7,946,0.002069,0.0498,49.2424,48,27.5,0.0236,0.0094,0,0,0,0,0.067616,0.015625,37,0.7689,2.8285,0.4172,0.003
50,4981,3080,2,4,1,1.9952,2,16.2,13,3062,4.5,0.9919,3105.1,18,1.0,50,5,6,930,0.002178,0.043,67.4157,49,27.0,0.0232,0.0094,0,2,0,0,0.082437,0.015625,36,0.8105,2.8715,0.419,0.003
51,4981,3108,0,0,1,1.9747,2,16.2,3098,0,4.42,1.0008,3105.4,10,1.0,48,0,2,874,0.002103,0.0533,45.045,50,28.1,0.026,0.011,0,0,0,0,0.088889,0.015625,34,0.8242,2.9159,0.4211,0.003
