window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
1,5000,6009,16,3,0,1.9978,0,18.4,0,0,6.49,1.0,6009.0,620,1.0,389,593,204,2158,0.00092,0.0066,407.6266,0,0.0,0.0,0.0011,0,0,0,0,0.035008,0.015625,64,0.5537,0.035,0.261,0.003
2,5000,3772,1,3,0,1.9978,0,16.8,483,3298,5.25,0.8388,4544.3,474,1.0,375,13,27,2193,0.001031,0.0067,380.9524,1,1.0,0.0,0.0011,0,0,0,0,0.033109,0.015625,64,0.5281,0.0681,0.2498,0.003057
3,5000,3434,1,3,0,1.9978,0,16.6,273,3170,4.91,0.8641,4000.7,264,1.0,301,8,82,2132,0.001058,0.0088,270.7692,2,1.9,0.0,0.0014,0,0,0,0,0.036029,0.015625,64,0.5663,0.0985,0.2473,0.003113
4,5000,3128,2,5,0,1.9978,0,16.4,64,3077,4.56,0.8615,3662.4,51,1.0,262,3,42,1830,0.001276,0.0134,74.1279,3,2.9,0.0134,0.0023,1,0,0,0,0.037433,0.015625,63,0.5826,0.1325,0.2469,0.003169
5,5000,3090,1,5,0,1.9978,0,16.5,0,3080,4.47,0.8901,3471.6,10,1.0,229,1,34,1708,0.001406,0.0236,17.6056,4,3.9,0.0168,0.003,1,0,0,0,0.035354,0.015625,63,0.558,0.1594,0.24,0.003224
6,5000,3103,1,3,0,1.9981,0,16.5,4,3094,4.47,0.9218,3366.3,9,1.0,209,3,23,1616,0.001371,0.0206,17.6817,5,4.8,0.0131,0.0028,0,0,0,0,0.045028,0.015625,63,0.653,0.2044,0.2428,0.003278
7,5000,3097,1,3,0,1.9966,2,16.5,7,3090,4.51,0.9388,3299.0,7,1.0,177,1,33,1470,0.001462,0.0155,14.1129,6,5.8,0.0097,0.0033,0,0,0,0,0.046512,0.015625,63,0.6641,0.2374,0.2418,0.003331
8,5000,3087,0,0,1,1.9971,2,16.2,7,3080,4.47,0.9493,3251.9,7,1.0,161,0,16,1384,0.001536,0.022,16.129,7,6.7,0.0132,0.0037,0,0,0,0,0.043956,0.015625,61,0.6445,0.2791,0.2443,0.003383
9,5000,3102,1,5,0,1.996,1,16.3,7,3090,4.42,0.9628,3221.9,12,1.0,143,1,19,1287,0.001607,0.026,29.484,8,7.7,0.0213,0.0043,1,0,0,0,0.047281,0.015625,59,0.6695,0.3217,0.2515,0.003434
10,5000,3093,0,0,1,1.9889,1,16.5,3,3090,4.46,0.967,3198.5,3,1.0,132,0,11,1206,0.001596,0.0253,7.7121,9,8.7,0.016,0.0046,0,0,0,0,0.053165,0.015625,56,0.7061,0.3749,0.2599,0.003482
11,5000,3008,2,5,0,1.9915,1,16.3,6,2997,4.43,0.9499,3166.7,11,1.0,123,2,11,1148,0.00169,0.0214,34.375,10,9.5,0.0153,0.0045,1,0,0,0,0.061162,0.015625,55,0.7445,0.4177,0.2667,0.003529
12,5000,3111,1,5,1,1.9886,1,16.3,3,3103,4.47,0.9851,3158.1,8,1.0,118,1,6,1118,0.001676,0.0337,23.2558,11,10.3,0.0213,0.0055,1,0,0,0,0.075843,0.015625,56,0.794,0.4935,0.271,0.003574
13,5000,3156,2,5,0,1.9729,2,16.2,6,3145,4.49,0.9994,3157.8,11,1.0,108,2,12,1067,0.001788,0.028,31.8841,12,11.1,0.0191,0.0052,1,0,0,0,0.044818,0.015625,54,0.6514,0.5383,0.2745,0.003616
14,5000,3061,0,0,1,1.9562,2,20.3,6,3055,4.48,0.9733,3144.9,6,1.0,95,0,13,961,0.001901,0.0311,21.3523,13,12.0,0.0213,0.0063,0,0,0,0,0.051903,0.015625,50,0.699,0.5868,0.2803,0.003656
15,5000,3143,1,3,3,1.9178,1,16.7,7,3136,4.54,0.9995,3144.7,7,1.0,88,3,10,917,0.001998,0.0301,27.027,14,12.5,0.0175,0.0061,0,0,0,0,0.06015,0.015625,46,0.7402,0.6169,0.287,0.003693
16,5000,3052,0,0,3,1.9313,1,16.6,3,3049,4.45,0.9739,3133.8,3,1.0,83,0,5,881,0.001937,0.0266,11.6279,15,13.4,0.0177,0.006,0,0,0,0,0.076046,0.015625,46,0.7945,0.6359,0.2923,0.003728
17,5000,3057,0,0,3,1.916,1,16.6,3,3054,4.49,0.9782,3125.2,3,1.0,76,0,7,825,0.002164,0.0422,12.6582,16,14.2,0.0288,0.0084,0,0,0,0,0.059072,0.015625,44,0.7355,0.6443,0.3005,0.00376
18,5000,3035,2,5,3,1.932,1,16.6,6,3024,4.4,0.9741,3115.7,11,1.0,67,3,12,773,0.002575,0.0679,51.6432,17,14.7,0.0317,0.0103,1,0,0,0,0.085973,0.015625,42,0.8183,0.6534,0.3094,0.003789
19,5000,3159,0,0,3,1.9104,1,16.5,3159,0,4.51,1.0125,3120.1,0,1.0,64,0,3,735,0.002842,0.0537,0.0,18,15.6,0.039,0.011,0,0,0,0,0.095041,0.015625,40,0.8356,0.6777,0.3173,0.003814
20,5000,3087,0,0,0,1.956,1,16.5,2,3085,4.43,0.9904,3116.9,2,1.0,59,2,7,706,0.002673,0.0609,5.1813,19,16.1,0.0355,0.0109,0,0,0,0,0.116751,0.015625,40,0.8662,0.7768,0.3253,0.003837
21,5000,2994,1,3,3,1.924,1,16.5,4,2988,4.45,0.9642,3105.2,6,1.0,60,5,4,704,0.002724,0.0446,30.303,20,15.8,0.0347,0.011,0,0,0,0,0.089109,0.015625,38,0.8247,0.8659,0.3344,0.003856
22,5000,3149,1,4,3,1.904,1,16.6,3138,0,4.55,1.0127,3109.4,11,1.0,58,4,6,711,0.002449,0.0395,40.9091,21,16.3,0.0257,0.009,0,0,0,0,0.065789,0.015625,40,0.7625,0.9186,0.3389,0.003872
23,5000,3110,0,0,3,1.9178,2,16.5,3103,0,4.52,1.0002,3109.4,7,1.0,55,3,6,678,0.00287,0.0459,37.037,22,17.3,0.0299,0.0103,0,0,0,0,0.061224,0.015625,39,0.7448,0.9798,0.3431,0.003884
24,5000,3008,3,5,3,1.9362,1,16.6,7,2996,4.42,0.9704,3099.8,12,1.0,52,3,6,675,0.003126,0.066,59.4059,23,17.4,0.0348,0.0126,1,0,0,0,0.099057,0.015625,37,0.8423,1.0506,0.3495,0.003893
25,5000,3085,0,0,3,1.9045,1,17.7,7,3078,4.48,0.9957,3098.4,7,1.0,47,0,5,644,0.003365,0.081,34.6535,24,18.6,0.0274,0.0138,0,0,0,0,0.080952,0.015625,36,0.807,1.0982,0.3528,0.003898
26,5000,3026,3,5,3,1.9279,1,16.5,10,3009,4.44,0.9791,3091.6,17,1.0,47,6,6,650,0.003101,0.0485,75.3769,25,18.1,0.0358,0.0112,1,1,0,0,0.106796,0.015625,36,0.8537,1.205,0.3591,0.0039
27,5000,3078,1,4,3,1.9341,1,16.7,7,3066,4.47,0.996,3090.3,12,1.0,50,7,4,634,0.003297,0.0402,63.8298,26,16.5,0.027,0.0103,0,0,0,0,0.095477,0.015625,33,0.8363,1.3005,0.3626,0.003898
28,5000,3106,0,0,3,1.9109,2,16.7,3098,0,4.48,1.0046,3091.8,8,1.0,46,0,4,624,0.003068,0.071,45.4545,27,18.2,0.0362,0.0123,0,0,0,0,0.142077,0.015625,32,0.89,1.4425,0.3673,0.003893
29,5000,3209,2,5,3,1.9089,1,16.6,3208,0,4.59,1.0397,3104.8,20,1.0,46,5,5,647,0.00364,0.078,96.1538,28,17.9,0.0353,0.0149,2,0,0,0,0.110092,0.015625,34,0.8581,1.5526,0.3669,0.003884
30,5000,3084,0,0,3,1.8683,1,16.7,11,3073,4.44,0.9939,3102.8,11,1.0,43,5,8,645,0.003348,0.0629,61.3497,29,17.9,0.036,0.0139,0,0,0,0,0.102857,0.015625,35,0.8481,1.6555,0.3668,0.003872
31,5000,3095,0,0,3,1.8898,1,20.1,6,3089,4.5,0.9977,3102.0,6,1.0,38,0,5,571,0.003864,0.0563,38.7097,30,17.5,0.0369,0.0125,0,0,0,0,0.125,0.015625,31,0.875,1.7805,0.3687,0.003856
32,5000,3082,2,5,3,1.891,1,16.7,10,3067,4.5,0.9942,3100.1,15,1.0,39,3,2,602,0.00385,0.0635,83.7989,31,17.8,0.0385,0.0138,1,0,0,0,0.126984,0.015625,32,0.877,1.8493,0.3676,0.003837
33,5000,3021,0,0,3,1.9314,1,16.8,4,3017,4.4,0.9769,3092.6,4,1.0,38,1,2,604,0.003663,0.0577,20.2703,32,19.1,0.035,0.0136,0,0,0,0,0.083333,0.015625,32,0.8125,1.9262,0.3696,0.003814
34,5000,3045,0,0,3,1.9277,1,16.7,2,3043,4.46,0.9861,3088.1,2,1.0,34,2,6,585,0.003681,0.0683,0.0,33,20.4,0.0356,0.0127,0,0,0,0,0.142857,0.015625,31,0.8906,2.069,0.3717,0.003789
35,5000,3112,1,5,3,1.948,1,16.7,3107,0,4.42,1.007,3090.3,5,1.0,30,1,5,516,0.004034,0.0667,33.7838,34,20.5,0.0424,0.017,1,1,0,0,0.086667,0.015625,27,0.8197,2.1357,0.3746,0.00376
36,5000,3094,1,5,1,1.9464,1,16.7,3089,0,4.44,1.0011,3090.7,5,1.0,29,1,2,528,0.004059,0.1039,32.6797,35,20.8,0.0465,0.0222,1,0,0,0,0.103896,0.015625,27,0.8496,2.1941,0.3775,0.003728
37,5000,3068,0,0,1,1.9486,2,16.7,0,3063,4.46,0.9934,3088.5,5,1.0,27,0,2,493,0.004644,0.0859,31.4465,36,22.8,0.0547,0.0209,0,1,0,0,0.128834,0.015625,25,0.8787,2.323,0.3819,0.003693
38,5000,3150,3,5,1,1.8739,1,16.7,3129,0,4.61,1.018,3094.4,21,1.0,34,8,1,554,0.004313,0.0774,129.6296,37,18.9,0.0397,0.0167,1,0,0,0,0.077381,0.015625,28,0.7981,2.4004,0.3807,0.003656
39,4999,3151,1,5,3,1.9526,1,22.5,3138,0,4.47,1.0165,3099.8,13,1.0,34,1,1,572,0.004013,0.0649,71.8232,38,19.9,0.0407,0.0131,1,0,0,0,0.108108,0.015625,28,0.8555,2.4814,0.3847,0.003616
40,4999,3106,2,4,1,1.9733,2,24.5,3089,0,4.5,1.0018,3100.4,17,1.0,36,5,3,606,0.004233,0.0632,92.3913,39,18.6,0.0372,0.0156,0,0,0,0,0.089474,0.015625,30,0.8254,2.5499,0.3877,0.003574
41,4999,3103,1,5,3,1.9865,2,20.8,3084,0,4.44,1.0008,3100.6,19,1.0,39,7,4,651,0.003564,0.0545,98.4456,40,17.9,0.0354,0.0132,1,0,0,0,0.084158,0.015625,32,0.8143,2.6142,0.3903,0.003529
42,4999,3148,0,0,3,1.9837,2,16.4,3140,0,4.47,1.0138,3105.1,8,1.0,36,2,5,657,0.003183,0.0498,28.7081,41,20.4,0.032,0.0097,0,0,0,0,0.076923,0.015625,33,0.7969,2.6911,0.393,0.003482
43,4999,3145,0,0,3,1.9918,1,16.6,3142,0,4.58,1.0116,3108.9,3,1.0,36,0,0,621,0.003196,0.0612,15.3061,42,21.4,0.0357,0.0148,0,0,0,0,0.107143,0.015625,30,0.8542,2.7983,0.3971,0.003434
44,4999,3043,0,0,3,1.978,1,16.5,3,3040,4.36,0.9808,3102.6,3,1.0,35,0,1,613,0.003025,0.0667,18.5185,43,23.0,0.0377,0.0142,0,0,0,0,0.090909,0.015625,29,0.8281,2.871,0.4012,0.003383
45,4997,3122,1,5,1,1.9656,1,16.6,3114,0,4.52,1.0056,3104.5,8,1.0,35,1,1,621,0.003412,0.073,45.1977,44,22.9,0.0393,0.015,1,0,0,0,0.106742,0.015625,29,0.8536,2.9328,0.4034,0.003331
46,4996,3098,1,5,3,1.9777,1,16.5,3,3086,4.47,0.9981,3103.9,12,1.0,35,1,1,621,0.003171,0.0681,64.5161,45,23.7,0.0346,0.0152,1,1,0,0,0.08377,0.015625,29,0.8135,3.0061,0.4062,0.003278
47,4995,3038,1,5,3,1.9846,2,16.6,0,3028,4.42,0.9808,3097.6,10,1.0,34,1,2,634,0.003156,0.064,59.5238,46,24.9,0.0367,0.0143,1,0,0,0,0.075581,0.015625,29,0.7933,3.0701,0.4084,0.003224
48,4995,3179,2,4,3,1.9735,2,16.5,3166,0,4.53,1.0237,3105.4,13,1.0,35,2,1,643,0.003357,0.0676,64.6766,47,24.2,0.0317,0.0137,0,0,0,0,0.072464,0.015625,27,0.7844,3.128,0.4109,0.003169
49,4995,3086,0,0,3,1.9785,2,16.4,0,3086,4.49,0.9944,3103.5,0,1.0,35,0,0,643,0.003243,0.0615,0.0,48,25.2,0.0363,0.0149,0,0,0,0,0.111732,0.015625,27,0.8602,3.2118,0.4142,0.003113
50,4995,3077,0,0,3,1.933,1,18.6,4,3073,4.43,0.9923,3101.0,4,1.0,35,4,4,650,0.002811,0.0506,23.3918,49,25.7,0.032,0.0127,0,0,0,0,0.089888,0.015625,27,0.8262,3.2624,0.4171,0.003057
51,4995,3139,2,5,3,1.9153,1,22.7,3126,0,4.48,1.0111,3104.6,13,1.0,38,4,1,685,0.002745,0.0529,65.0,50,24.6,0.03,0.0129,1,0,0,0,0.091346,0.015625,29,0.8289,3.3537,0.4191,0.003
52,4995,3021,1,5,3,1.9446,1,16.4,4,3012,4.39,0.9756,3096.6,9,1.0,38,1,1,705,0.003425,0.0729,48.1283,51,25.5,0.0333,0.0147,1,0,0,0,0.072917,0.015625,30,0.7857,3.3954,0.4198,0.002943
53,4995,2999,3,5,3,1.8661,2,16.4,11,2979,4.41,0.9714,3087.3,20,1.0,43,7,2,771,0.003166,0.0476,98.0392,52,23.4,0.0278,0.0119,1,0,0,0,0.061905,0.015625,34,0.7476,3.4478,0.42,0.002887
54,4995,3074,1,4,1,1.8925,2,16.6,4,3067,4.48,0.9961,3086.1,7,1.0,39,1,5,752,0.002813,0.0576,37.8378,53,26.5,0.0265,0.0124,0,1,0,0,0.094241,0.015625,32,0.8342,3.4897,0.4213,0.002831
55,4995,3154,0,0,3,1.9021,2,16.5,3150,0,4.54,1.0199,3092.5,4,1.0,38,4,5,716,0.00256,0.0529,19.9005,54,26.9,0.03,0.01,0,2,0,0,0.105769,0.015625,31,0.8523,3.5281,0.4239,0.002776
56,4995,2962,0,0,3,1.97,1,16.4,4,2958,4.34,0.9617,3080.1,4,1.0,37,0,1,688,0.002807,0.0457,20.9424,55,28.4,0.0311,0.0107,0,1,0,0,0.106599,0.015625,29,0.8534,3.5484,0.4256,0.002722
57,4994,3041,0,0,3,1.9861,1,16.5,4,3037,4.46,0.9885,3076.4,4,1.0,36,0,1,664,0.002578,0.0552,22.4719,56,28.7,0.0309,0.0127,0,0,0,0,0.110497,0.015625,29,0.8586,3.6037,0.4284,0.002669
58,4994,3172,1,4,3,1.9774,1,16.5,3172,0,4.62,1.0292,3085.9,4,1.0,35,1,2,660,0.002634,0.0578,23.2558,57,28.7,0.0374,0.0136,0,0,0,0,0.086705,0.015625,29,0.8198,3.6557,0.4295,0.002617
59,4992,2992,1,5,3,1.9175,1,16.5,4,2983,4.42,0.9724,3076.9,9,1.0,36,1,0,682,0.00272,0.0674,46.875,58,28.9,0.0311,0.0124,1,0,0,0,0.098446,0.015625,30,0.8413,3.7231,0.4311,0.002566
60,4989,2989,1,5,3,1.9532,2,16.5,9,2980,4.35,0.9741,3068.6,9,1.0,37,1,0,702,0.002827,0.0667,50.5618,59,29.1,0.0314,0.0148,1,0,0,0,0.066667,0.015625,31,0.7656,3.7453,0.4313,0.002518
61,4988,3054,1,5,1,1.9476,2,16.7,9,3040,4.47,0.9957,3067.2,14,1.0,40,6,3,747,0.002701,0.0469,68.2927,60,27.6,0.023,0.0109,1,0,0,0,0.065728,0.015625,34,0.7623,3.7735,0.4302,0.002471
62,4988,3088,0,0,3,1.9347,2,16.5,3079,0,4.5,1.0061,3069.2,9,1.0,41,4,3,742,0.002604,0.0431,36.8852,61,27.8,0.0298,0.0089,0,0,0,0,0.062745,0.015625,34,0.751,3.8009,0.4298,0.002426
63,4985,3046,1,5,3,1.9668,1,16.5,10,3031,4.4,0.9932,3066.9,15,1.0,41,2,2,758,0.00252,0.0751,69.3069,62,28.6,0.0287,0.0139,1,0,0,0,0.093897,0.015625,34,0.8336,3.8385,0.4299,0.002384
64,4982,3099,1,5,3,1.9761,1,16.5,3085,0,4.44,1.0094,3070.0,14,1.0,42,6,5,746,0.00268,0.0588,67.3077,63,28.0,0.0298,0.0115,1,3,0,0,0.058824,0.015625,36,0.7344,3.8656,0.4289,0.002344
