window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
1,5000,6148,23,7,0,1.9994,0,14.1,0,0,6.59,1.0,6148.0,703,1.0,435,654,219,2334,0.000834,0.0077,411.2478,0,0.0,0.0057,0.0009,3,0,0,0,0.039402,0.015625,64,0.6034,0.0394,0.2683,0.003
2,5000,3743,4,5,0,1.9994,0,13.3,478,3250,5.27,0.8283,4576.7,493,1.0,394,15,56,2349,0.00097,0.0119,364.1064,1,1.0,0.0054,0.0012,1,0,0,0,0.04867,0.015625,64,0.679,0.0854,0.2567,0.003113
3,5000,3382,0,0,1,1.9994,0,13.1,272,3114,4.9,0.8532,3990.8,268,1.0,324,3,73,2235,0.000986,0.0113,250.4673,2,1.9,0.0094,0.0015,0,0,0,0,0.045865,0.015625,64,0.6593,0.1312,0.2503,0.003224
4,5000,3102,0,0,0,1.9994,0,13.0,60,3063,4.59,0.8585,3646.9,39,1.0,278,0,46,1943,0.001175,0.014,53.8674,3,2.9,0.0108,0.0022,0,0,0,0,0.038217,0.015625,63,0.5911,0.1669,0.258,0.003331
5,5000,3045,0,0,3,1.9994,0,12.9,5,3040,4.42,0.8836,3446.3,5,1.0,249,5,34,1857,0.001225,0.0145,6.1728,4,3.9,0.0087,0.0023,0,0,0,0,0.047688,0.015625,62,0.6723,0.1943,0.2613,0.003434
6,5000,3187,2,5,0,1.9995,1,12.9,3,3180,4.54,0.9453,3372.5,7,1.0,220,2,31,1753,0.001264,0.0171,11.5321,5,4.8,0.0121,0.0026,1,0,0,0,0.072981,0.015625,61,0.7859,0.255,0.2745,0.003529
7,5000,3177,2,4,0,1.9989,1,12.9,4,3164,4.61,0.9559,3323.6,13,1.0,202,4,22,1695,0.001313,0.0207,23.4234,6,5.8,0.0117,0.0031,0,0,0,0,0.053356,0.015625,60,0.7072,0.3049,0.2833,0.003616
8,5000,3037,1,3,0,1.998,2,12.9,1,3026,4.4,0.9316,3259.9,11,1.0,183,5,24,1590,0.001331,0.0191,20.284,7,6.6,0.0107,0.0033,0,0,0,0,0.061069,0.015625,60,0.7441,0.366,0.2882,0.003693
9,5000,3131,0,0,1,1.9964,2,13.0,0,3126,4.49,0.9681,3234.1,5,1.0,166,0,17,1495,0.001353,0.0231,11.0865,8,7.7,0.0126,0.0038,0,0,0,0,0.048218,0.015625,58,0.676,0.41,0.2947,0.00376
10,5000,3070,0,0,3,1.9992,1,12.9,0,3070,4.46,0.9581,3204.3,0,1.0,149,0,17,1375,0.001393,0.0252,0.0,9,8.7,0.0133,0.0038,0,0,0,0,0.057208,0.015625,58,0.7269,0.4672,0.2987,0.003814
