window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
1,5000,6148,23,7,0,1.9994,0,14.2,0,0,6.59,1.0,6148.0,703,1.0,435,654,219,2334,0.000834,0.0077,411.2478,0,0.0,0.0057,0.0009,3,0,0,0,0.039402,0.015625,64,0.6034,0.0394,0.2683,0.003
2,5000,3710,3,5,0,1.9994,0,13.3,461,3240,5.25,0.825,4554.0,470,1.0,395,8,48,2348,0.000982,0.0125,351.5333,1,1.0,0.0066,0.0012,1,0,0,0,0.042784,0.015625,64,0.6348,0.0795,0.2517,0.003
3,5000,3424,1,3,0,1.9994,0,13.1,260,3182,4.87,0.8624,4003.0,242,1.0,310,1,86,2239,0.001015,0.0092,231.1366,2,2.0,0.0086,0.0014,0,0,0,0,0.038197,0.015625,63,0.5909,0.1177,0.2388,0.003
4,5000,3091,1,3,1,1.9994,0,13.1,66,3046,4.53,0.8548,3649.8,45,1.0,274,1,37,1924,0.001203,0.0129,62.6741,3,3.0,0.0097,0.0023,0,0,0,0,0.03876,0.015625,62,0.5969,0.1564,0.2424,0.003
5,5000,3068,2,5,0,1.9994,0,13.0,0,3060,4.46,0.8878,3455.9,8,1.0,235,3,42,1822,0.001289,0.0163,12.5589,4,3.9,0.0101,0.0026,1,0,0,0,0.037092,0.015625,62,0.5787,0.192,0.2398,0.003
6,5000,3137,1,5,1,1.9993,0,13.0,2,3126,4.53,0.9323,3364.8,11,1.0,218,7,24,1747,0.001282,0.0177,18.7075,5,4.8,0.0132,0.0028,1,0,0,0,0.041935,0.015625,62,0.6274,0.234,0.2485,0.003
7,5000,3066,3,5,0,1.9985,2,13.0,8,3053,4.54,0.9319,3290.1,13,1.0,196,3,25,1705,0.001404,0.0255,23.4234,6,5.7,0.0134,0.0035,2,0,0,0,0.064516,0.015625,60,0.7578,0.273,0.2577,0.003
8,5000,3058,0,0,1,1.9986,2,12.9,5,3048,4.48,0.9443,3238.5,10,1.0,170,0,26,1571,0.001462,0.0287,21.4592,7,6.7,0.0133,0.004,0,0,0,0,0.055441,0.015625,58,0.7182,0.3285,0.2646,0.003
9,5000,3141,0,0,3,1.9988,1,13.0,5,3131,4.52,0.9758,3219.0,10,1.0,152,0,18,1423,0.001536,0.0262,22.5734,8,7.8,0.0165,0.0042,0,1,0,0,0.061135,0.015625,57,0.7444,0.3787,0.2719,0.003
10,5000,3054,0,0,3,1.9999,1,13.0,5,3044,4.44,0.9577,3189.0,10,1.0,141,0,11,1346,0.001498,0.0327,25.7069,9,8.7,0.0184,0.0049,0,0,0,0,0.060453,0.015625,56,0.7415,0.4114,0.2825,0.003
