window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp
1,5000,6142,13,5,0,1.9988,0,18.6,0,0,6.71,1.0,6142.0,564,1.0,349,539,190,1963,0.001041,0.0083,403.2951,0,0.0,0.0083,0.0012,1,0,0,0,0.044321,0.015625,64,0.6475,0.0443,0.2432,107,155,87,2145,1372,1493
2,5000,4152,5,5,0,1.9989,0,17.6,430,3698,5.56,0.8638,4827.3,454,1.0,335,21,35,2057,0.00109,0.0097,380.5532,1,0.9,0.0078,0.0014,2,0,0,0,0.033592,0.015625,64,0.5349,0.0779,0.2319,115,138,82,1382,1279,728
3,5000,3533,1,4,0,1.9989,0,17.3,293,3259,5.05,0.8511,4201.7,274,1.0,283,1,53,1977,0.001151,0.014,280.7377,2,1.9,0.0096,0.0017,0,0,0,0,0.04122,0.015625,64,0.6209,0.1191,0.2345,104,108,71,987,1255,628
4,5000,3460,0,0,1,1.9989,0,17.1,71,3395,4.87,0.887,3907.4,65,1.0,198,3,88,1769,0.001304,0.0138,96.0118,3,2.9,0.0109,0.0024,0,0,0,0,0.040151,0.015625,64,0.6108,0.1568,0.2467,87,66,45,958,1311,569
5,5000,3366,1,3,0,1.9989,0,17.0,13,3356,4.79,0.9047,3729.6,10,1.0,176,4,26,1401,0.001703,0.0221,19.4175,4,3.8,0.0135,0.0032,0,0,0,0,0.047794,0.015625,62,0.6731,0.2046,0.2566,84,57,35,897,1306,517
6,5000,3228,1,4,0,1.9992,1,16.8,11,3212,4.57,0.9001,3586.3,16,1.0,162,9,23,1345,0.001697,0.0174,34.2466,5,4.6,0.0152,0.0036,0,0,0,0,0.043478,0.015625,59,0.6406,0.248,0.2663,78,50,34,850,1271,506
7,5000,3301,0,0,1,1.9997,2,16.7,10,3286,4.73,0.9391,3515.0,15,1.0,148,0,14,1270,0.00171,0.0233,33.4821,6,5.6,0.0184,0.0042,0,0,0,0,0.050847,0.015625,59,0.6927,0.2989,0.2819,72,45,31,854,1292,523
8,5000,3225,1,5,0,1.9991,1,16.5,5,3215,4.71,0.9346,3450.5,10,1.0,136,1,13,1215,0.001849,0.0356,24.6914,7,6.7,0.0131,0.0046,1,0,0,0,0.064133,0.015625,58,0.7564,0.363,0.2937,67,41,28,798,1324,529
9,5000,3125,1,4,0,1.9917,1,16.6,5,3120,4.51,0.9231,3385.4,5,1.0,128,2,10,1174,0.001804,0.0288,9.8039,8,7.6,0.0102,0.0047,0,0,0,0,0.048077,0.015625,56,0.675,0.4087,0.3035,63,39,26,823,1232,486
10,5000,3163,2,5,0,1.979,2,16.6,5,3153,4.55,0.9456,3345.0,10,1.0,120,3,11,1138,0.00187,0.0281,26.2467,9,8.4,0.0209,0.0054,1,0,0,0,0.056122,0.015625,56,0.7216,0.4597,0.3132,60,35,25,829,1240,502
