window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral
1,5000,6145,11,5,0,1.9986,0,13.1,0,0,6.55,1.0,6145.0,628,1.0,386,602,216,2149,0.000911,0.0065,407.1429,0,0.0,0.0055,0.001,2,0,0,0,0.029633,0.015625,64,0.4727,0.0296,0.2078,0,0,0
2,5000,3660,0,0,1,1.9986,0,12.5,476,3175,5.2,0.8192,4513.0,485,1.0,369,8,25,2150,0.001069,0.0082,401.4901,1,1.0,0.0076,0.0012,0,0,0,0,0.027095,0.015625,64,0.4233,0.0532,0.187,0,0,0
3,5000,3356,2,5,0,1.9986,0,12.3,287,3070,4.84,0.857,3948.5,286,1.0,312,7,64,2099,0.001048,0.0117,284.8606,2,1.9,0.0081,0.0014,1,0,0,0,0.040657,0.015625,64,0.6157,0.093,0.1929,0,0,0
4,5000,3044,0,0,3,1.9986,0,12.2,57,3010,4.44,0.8536,3597.5,34,1.0,265,2,49,1816,0.001286,0.0179,54.4,3,2.9,0.0119,0.0024,0,0,0,0,0.032787,0.015625,63,0.5234,0.1168,0.1978,0,0,0
5,5000,3100,2,3,0,1.9985,0,12.3,4,3092,4.51,0.9034,3431.7,8,1.0,227,6,44,1682,0.00132,0.0146,13.8648,4,3.8,0.0103,0.0026,0,0,0,0,0.042276,0.015625,63,0.6304,0.1428,0.2032,0,0,0
6,5000,3084,0,0,1,1.9987,1,12.3,4,3080,4.45,0.9255,3332.3,4,1.0,203,0,24,1558,0.001399,0.0166,7.8278,5,4.8,0.0123,0.003,0,0,0,0,0.03321,0.015625,63,0.5295,0.1558,0.2046,0,0,0
7,5000,2965,0,0,3,1.9987,1,12.3,4,2961,4.38,0.915,3240.5,4,1.0,170,0,33,1396,0.00148,0.014,9.7324,6,5.8,0.0109,0.003,0,0,0,0,0.03972,0.015625,59,0.6066,0.1885,0.2194,0,0,0
8,5000,3055,0,0,0,1.9981,1,12.2,0,3050,4.46,0.9549,3199.3,5,1.0,146,5,29,1217,0.001644,0.0194,12.6582,7,6.6,0.0138,0.0035,0,0,0,0,0.043689,0.015625,57,0.6424,0.2092,0.229,0,0,0
9,5000,3049,0,0,3,1.9965,1,12.2,0,3044,4.38,0.9621,3169.2,5,1.0,134,0,12,1147,0.001683,0.0198,14.9254,8,7.6,0.0047,0.0038,0,0,0,0,0.036723,0.015625,56,0.5745,0.2431,0.2382,0,0,0
10,5000,3080,2,5,0,1.9941,1,12.8,0,3068,4.35,0.9768,3153.0,12,1.0,119,3,18,1070,0.001826,0.0231,35.8209,9,8.4,0.0137,0.0044,1,0,0,0,0.057803,0.015625,55,0.7297,0.2888,0.2503,0,0,0
11,5000,3048,4,5,0,1.9793,1,12.5,8,3030,4.46,0.9721,3135.5,18,1.0,113,4,10,1077,0.001956,0.0391,50.9915,10,9.1,0.0219,0.0056,3,0,0,0,0.044693,0.015625,53,0.6504,0.3283,0.2596,0,0,0
12,5000,3126,1,4,0,1.9709,2,12.5,3,3123,4.53,0.9974,3134.0,3,1.0,104,1,10,1033,0.002029,0.0286,8.9021,11,10.1,0.0204,0.0056,0,0,0,0,0.042857,0.015625,52,0.6354,0.3712,0.2687,0,0,0
13,5000,3050,1,3,3,1.9405,2,12.3,6,3044,4.43,0.9769,3122.0,6,1.0,98,1,7,975,0.002026,0.0316,21.4286,12,10.9,0.0145,0.0057,0,0,0,0,0.045614,0.015625,50,0.6575,0.4168,0.2755,0,0,0
14,5000,3129,0,0,1,1.896,2,12.6,3123,0,4.5,1.0019,3123.0,6,1.0,88,0,10,904,0.002096,0.0537,20.5479,13,11.8,0.0225,0.0075,0,0,0,0,0.053691,0.015625,50,0.709,0.4537,0.2795,0,0,0
15,5000,3060,1,5,3,1.915,1,12.7,6,3049,4.44,0.9823,3115.1,11,1.0,81,1,8,873,0.002384,0.0453,39.2857,14,12.7,0.0234,0.0084,1,1,0,0,0.052265,0.015625,51,0.701,0.5059,0.2809,0,0,0
16,5000,3075,1,5,3,1.9904,1,12.8,12,3063,4.49,0.9886,3110.4,12,1.0,78,2,5,835,0.002417,0.037,44.9438,15,13.3,0.0227,0.0086,1,0,0,0,0.066667,0.015625,49,0.7656,0.5504,0.2851,0,0,0
17,5000,3067,1,5,3,1.9907,2,13.3,6,3056,4.41,0.9876,3105.6,11,1.0,75,3,6,837,0.002443,0.0397,37.4532,16,13.8,0.0257,0.008,1,0,0,0,0.061372,0.015625,48,0.7454,0.5973,0.2912,0,0,0
18,5000,3098,0,0,3,1.985,2,12.7,3,3095,4.49,0.9978,3104.8,3,1.0,75,0,0,827,0.002426,0.0462,12.7119,17,14.8,0.0252,0.0087,0,0,0,0,0.067227,0.015625,48,0.7676,0.6351,0.2965,0,0,0
19,5000,3013,0,0,3,1.9955,1,12.4,0,3013,4.38,0.9733,3095.6,0,1.0,67,0,8,771,0.002304,0.0463,0.0,18,16.0,0.0249,0.0074,0,0,0,0,0.07722,0.015625,47,0.7977,0.6969,0.3039,0,0,0
20,5000,3049,0,0,3,1.9784,1,12.3,0,3049,4.42,0.9864,3091.1,0,1.0,60,0,7,689,0.002394,0.0543,0.0,19,16.9,0.0266,0.0103,0,0,0,0,0.092391,0.015625,43,0.8309,0.7404,0.3101,0,0,0
21,5000,3108,1,4,3,1.9597,1,12.4,3105,0,4.51,1.0049,3092.8,3,1.0,60,1,1,703,0.002396,0.0461,14.0187,20,17.7,0.0276,0.0095,0,0,0,0,0.059908,0.015625,43,0.7392,0.7588,0.3129,0,0,0
22,5000,3111,0,0,3,1.9698,1,12.8,3111,0,4.52,1.0053,3094.5,0,1.0,56,0,4,668,0.002687,0.0595,0.0,21,18.5,0.0324,0.0119,0,0,0,0,0.086486,0.015625,41,0.8193,0.8075,0.3206,0,0,0
23,5000,3161,1,5,3,1.9258,1,13.0,3157,0,4.51,1.0194,3100.8,4,1.0,54,1,3,662,0.002683,0.06,20.5128,22,19.0,0.0375,0.0123,1,0,0,0,0.085,0.015625,41,0.8162,0.8649,0.3242,0,0,0
24,5000,3156,0,0,3,1.9855,1,12.5,3156,0,4.55,1.0161,3106.1,0,1.0,52,0,2,648,0.00275,0.0526,0.0,23,19.9,0.0251,0.0118,0,0,0,0,0.070175,0.015625,40,0.7773,0.9226,0.3286,0,0,0
25,5000,3118,0,0,3,1.9772,1,12.3,3118,0,4.55,1.0035,3107.2,0,1.0,48,0,4,609,0.002866,0.0702,0.0,24,20.7,0.0383,0.0157,0,1,0,0,0.099415,0.015625,37,0.8428,0.9526,0.3355,0,0,0
