window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop
1,5000,5992,8,5,0,1.9996,0,18.4,0,0,6.62,1.0,5992.0,619,1.0,393,602,209,2107,0.000925,0.0061,410.2054,0,0.0,0.0046,0.0011,1,0,0,0,0.045086,0.015625,64,0.6534,0.0451,0.2188,108,184,101,2119,1386,1392,1.0,0.0,0,0
2,5000,4077,6,5,0,1.9996,0,17.4,439,3583,5.53,0.8663,4728.0,494,1.0,372,19,40,2187,0.001032,0.0088,381.2838,1,1.0,0.0067,0.0012,1,0,0,0,0.040864,0.015625,64,0.6176,0.086,0.2098,110,162,100,1314,1327,716,1.0,0.0,0,0
3,5000,3518,4,5,0,1.9996,0,17.0,253,3260,5.02,0.8569,4136.0,258,1.0,307,10,75,2106,0.001061,0.011,252.6934,2,1.9,0.0102,0.0016,2,0,0,0,0.036107,0.015625,64,0.5673,0.1166,0.211,109,110,88,1014,1193,639,1.0,0.0,0,0
4,5000,3397,0,0,1,1.9996,0,16.8,83,3319,4.78,0.8871,3846.4,78,1.0,211,3,99,1860,0.001206,0.0129,110.4816,3,2.9,0.0099,0.0022,0,0,0,0,0.035047,0.015625,63,0.5542,0.1458,0.2163,88,61,62,913,1324,541,1.0,0.0,0,0
5,5000,3236,2,4,0,1.9995,0,16.9,9,3219,4.56,0.8885,3643.3,17,1.0,186,5,30,1504,0.001562,0.016,28.5171,4,3.8,0.0111,0.003,0,0,0,0,0.042705,0.015625,62,0.6341,0.1733,0.2307,74,54,58,874,1206,524,1.0,0.0,0,0
6,5000,3328,0,0,1,1.9991,1,17.1,0,3328,4.74,0.9366,3553.2,0,1.0,165,0,21,1347,0.001678,0.0229,0.0,5,4.8,0.0114,0.0038,0,0,0,0,0.06237,0.015625,61,0.7495,0.212,0.2474,68,44,53,870,1291,551,1.0,0.0,0,0
7,5000,3260,1,4,0,1.9923,1,17.3,5,3255,4.64,0.9368,3479.9,5,1.0,159,3,9,1297,0.001624,0.0189,10.989,6,5.7,0.0154,0.0036,0,1,0,0,0.052521,0.015625,61,0.7025,0.2571,0.2581,65,39,55,838,1327,503,1.0,0.0,0,0
8,5000,3372,3,5,0,1.9939,1,17.0,5,3353,4.77,0.9757,3455.9,19,1.0,148,7,18,1259,0.001722,0.0247,41.1255,7,6.4,0.0139,0.004,1,0,0,0,0.045361,0.015625,58,0.6555,0.2839,0.2639,62,32,54,893,1308,526,1.0,0.0,0,0
9,5000,3292,4,5,0,1.9945,2,16.8,12,3265,4.62,0.9617,3423.1,27,1.0,134,5,19,1200,0.00187,0.0307,62.645,8,7.1,0.0193,0.0051,1,0,0,0,0.061404,0.015625,55,0.7455,0.3225,0.2744,56,30,48,874,1286,526,1.0,0.0,0,0
10,5000,3230,2,5,0,1.9929,2,16.8,5,3211,4.6,0.9534,3388.0,19,1.0,121,4,17,1133,0.002071,0.0342,46.0048,9,7.8,0.0217,0.0054,1,0,0,0,0.052511,0.015625,53,0.7024,0.3626,0.2822,52,26,43,801,1276,548,1.0,0.0,0,0
