window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
1,5000,5968,8,6,0,1.9983,0,18.3,0,0,6.53,1.0,5968.0,490,1.0,306,472,166,1706,0.001189,0.0082,398.8581,0,0.0,0.0,0.0014,0,0,0,0,0.05,0.015625,63,0.6875,0.05,0.2914,84,158,64,2058,1387,1384,1.0,0.0,0,0,0,0.002532,0.002532,1.0,1.0,1
2,5000,3973,8,5,0,1.9982,0,17.2,388,3560,5.45,0.8575,4644.7,413,1.0,296,24,34,1855,0.001294,0.0112,397.4976,1,0.9,0.0095,0.0016,3,0,0,0,0.04559,0.015625,64,0.6573,0.0919,0.2867,87,144,65,1269,1345,697,1.0,0.0,0,0,0,0.011211,0.008318,1.3478,1.0,1
3,5000,3502,0,0,1,1.9982,0,16.7,241,3270,4.95,0.8631,4085.3,232,1.0,243,9,62,1811,0.001293,0.0133,273.3728,2,1.9,0.0105,0.0019,0,0,0,0,0.053384,0.015625,63,0.7073,0.1281,0.2898,86,98,59,941,1273,609,1.0,0.0,0,0,0,0.035272,0.021795,1.6184,1.0,1
4,5000,3248,0,0,3,1.9982,0,16.6,73,3183,4.72,0.87,3759.6,65,1.0,171,2,74,1591,0.001543,0.0196,110.3327,3,2.9,0.0156,0.0027,0,0,0,0,0.060423,0.015625,63,0.7414,0.1879,0.2921,74,55,42,892,1223,544,1.0,0.0,0,0,0,0.069486,0.040871,1.7001,1.0,1
5,5000,3229,0,0,0,1.9983,0,16.5,2,3222,4.65,0.9013,3582.7,7,1.0,152,2,21,1308,0.001922,0.0214,15.7658,4,3.8,0.0171,0.004,0,0,0,0,0.066381,0.015625,61,0.7646,0.2543,0.2969,63,51,38,800,1326,501,1.0,0.0,0,0,0,0.006424,0.029389,0.2186,1.0,1
6,5000,3330,1,5,0,1.9982,1,16.7,9,3321,4.75,0.9486,3510.5,9,1.0,138,5,19,1256,0.001938,0.0279,17.8971,5,4.8,0.0225,0.0048,1,0,0,0,0.053648,0.015625,61,0.7087,0.3079,0.298,56,50,32,852,1350,533,1.0,0.0,0,0,0,0.008584,0.023445,0.3661,1.0,1
7,5000,3230,3,5,0,1.9972,1,16.6,9,3211,4.62,0.9388,3440.4,19,1.0,129,4,13,1239,0.001999,0.0316,45.5696,6,5.6,0.0198,0.0052,3,0,0,0,0.060827,0.015625,60,0.7431,0.3687,0.3109,52,45,32,849,1242,548,1.0,0.0,0,0,0,0.004866,0.0188,0.2588,1.0,1
8,5000,3292,2,3,0,1.9946,2,16.6,3,3277,4.63,0.9661,3407.4,15,1.0,122,5,12,1195,0.002093,0.0341,35.443,7,6.4,0.0229,0.0056,0,0,0,0,0.065693,0.015625,55,0.7622,0.4344,0.3299,50,39,33,857,1257,540,1.0,0.0,0,0,0,0.002433,0.015163,0.1605,1.0,1
9,5000,3188,1,3,0,1.9957,2,16.5,3,3177,4.59,0.9478,3363.5,11,1.0,118,5,9,1147,0.001932,0.028,29.0237,8,7.1,0.0182,0.005,0,0,0,0,0.063613,0.015625,55,0.7544,0.4904,0.3352,49,36,33,761,1297,546,1.0,0.0,0,0,0,0.0,0.01213,0.0,1.0,1
10,5000,3182,1,3,1,1.9917,2,16.5,5,3177,4.51,0.9554,3330.5,5,1.0,111,4,11,1093,0.002023,0.0254,14.8368,9,7.9,0.0174,0.0048,0,0,0,0,0.062147,0.015625,55,0.7486,0.5526,0.3427,49,32,30,805,1239,495,1.0,0.0,0,0,0,0.0,0.009925,0.0,1.0,1
