seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag
789,1,0,0,893,0,0,848,709,19.6848,1.5846,2617,A,B,A,B,0,0
789,2,0,0,220,0,0,227,692,19.3263,1.5842,685,A,B,A,B,0,1
789,3,0,0,35,0,0,23,620,16.7227,1.5538,96,A,B,A,B,3,1
789,4,0,0,13,0,0,14,671,19.3116,1.5841,40,A,B,A,B,4,1
789,5,0,0,15,1,2,12,656,19.0337,1.5656,45,A,B,A,B,3,1
789,6,1,2,12,1,2,14,658,17.343,1.581,38,A,B,A,B,4,0
789,7,1,2,12,0,0,16,687,19.1764,1.5413,50,A,B,neutral,B,4,0
789,8,0,0,18,0,0,11,677,17.9983,1.5568,44,A,B,A,B,4,0
789,9,0,0,15,0,0,8,697,20.9075,1.4748,29,A,B,A,B,4,0
789,10,0,0,9,0,0,7,648,17.4109,1.5755,25,A,B,A,B,3,1
789,11,0,0,10,0,0,11,643,17.6362,1.5534,37,A,B,A,B,4,0
789,12,0,0,10,0,0,13,658,18.9078,1.5734,33,A,B,A,B,4,0
789,13,0,0,8,0,0,11,662,17.8385,1.57,30,A,B,A,B,4,0
789,14,0,0,6,0,0,13,648,18.2451,1.5189,29,A,B,A,B,4,0
789,15,1,2,9,0,0,9,676,18.6153,1.585,27,A,B,A,B,1,1
789,16,0,0,7,0,0,12,646,17.7454,1.5382,32,A,B,A,B,4,0
789,17,0,0,7,0,0,9,666,18.4098,1.561,27,A,B,A,B,4,0
789,18,0,0,8,0,0,8,687,20.0663,1.5726,22,A,B,A,B,4,0
789,19,0,0,10,0,0,6,634,16.5033,1.5546,24,A,B,A,B,4,0
789,20,0,0,11,0,0,4,640,17.4497,1.4655,26,A,neutral,neutral,B,4,0
789,21,0,0,5,0,0,9,673,18.7474,1.5284,24,A,B,neutral,B,4,0
789,22,0,0,7,0,0,13,648,17.4424,1.5303,28,A,B,A,B,4,0
789,23,0,0,14,0,0,15,708,19.7063,1.5842,43,A,B,A,B,4,0
789,24,0,0,16,0,0,17,711,19.3717,1.5759,46,A,B,A,B,4,0
789,25,0,0,17,0,0,11,654,18.2376,1.5319,37,A,B,A,B,4,0
