seed,global_k,global_sw,div_ratio,regime,mean_bnd_links,mean_bnd_weight,concept_entropy,merge_count,split_count,corr_div_ent,A_persist,A_max_streak,A_mean_isl,B_persist,B_max_streak,B_mean_isl,r0_concept,r1_concept,r2_concept,r3_concept
1,4,41.7,0.4,long_drift,671.6,18.7779,1.5353,0,0,0.0048,0.08,1,0.08,0.04,1,0.04,A,B,A,B
10,4,37.5,0.24,short_burst,673.1,18.9159,1.5242,0,0,-0.0669,0.08,1,0.08,0.2,1,0.2,A,B,A,B
100,4,41.7,0.2,short_burst,667.6,18.4331,1.5341,0,0,-0.0276,0.0,0,0.0,0.08,1,0.12,A,B,A,B
11,4,25.0,0.96,long_drift,679.8,18.7267,1.511,0,0,-0.0153,0.12,2,0.12,0.0,0,0.0,A,B,A,B
12,4,33.3,0.4,long_drift,671.2,18.3604,1.5141,0,0,0.1051,0.04,1,0.04,0.04,1,0.04,A,B,A,B
13,4,41.7,0.4,short_burst,676.3,18.9086,1.5373,0,0,0.2275,0.08,1,0.12,0.0,0,0.0,A,B,A,B
14,4,37.5,0.44,long_drift,666.8,18.539,1.5413,0,0,0.25,0.04,1,0.04,0.16,2,0.16,A,B,A,B
15,4,54.2,0.68,long_drift,682.7,19.0615,1.5468,0,0,-0.1901,0.08,1,0.08,0.04,1,0.04,A,B,A,B
16,4,29.2,0.36,long_drift,674.4,18.9212,1.5284,0,0,-0.0533,0.0,0,0.0,0.04,1,0.04,A,B,A,B
17,4,33.3,0.36,long_drift,676.0,18.7875,1.5505,0,0,0.1981,0.04,1,0.04,0.16,2,0.16,A,B,A,B
18,4,33.3,0.28,short_burst,672.6,18.6974,1.5313,0,0,0.1554,0.04,1,0.04,0.0,0,0.0,A,B,A,B
19,4,37.5,0.6,long_drift,664.6,18.5029,1.5497,0,0,0.2431,0.0,0,0.0,0.08,1,0.08,A,B,A,B
2,4,20.8,0.24,short_burst,675.3,18.8266,1.5411,0,0,0.126,0.0,0,0.0,0.0,0,0.0,A,B,A,B
20,4,33.3,0.28,short_burst,683.0,18.9641,1.5491,0,0,0.0617,0.04,1,0.04,0.12,2,0.12,A,B,A,B
21,4,25.0,0.28,short_burst,673.0,18.6263,1.5294,0,0,0.4234,0.0,0,0.0,0.04,1,0.04,A,B,A,B
22,4,37.5,0.92,long_drift,667.6,18.499,1.5316,0,0,-0.0133,0.12,1,0.12,0.08,1,0.08,A,B,A,B
23,4,62.5,0.72,long_drift,670.6,18.7191,1.5312,0,0,0.1877,0.12,2,0.12,0.08,1,0.08,A,B,A,B
24,4,41.7,0.48,long_drift,667.6,18.6801,1.5252,0,0,0.3258,0.04,1,0.04,0.04,1,0.04,A,B,A,B
25,4,41.7,0.24,short_burst,684.0,19.0137,1.5411,0,0,0.3067,0.04,1,0.04,0.04,1,0.04,A,B,A,B
26,4,54.2,0.4,short_burst,676.6,18.6946,1.5456,0,0,-0.0765,0.04,1,0.04,0.08,1,0.12,A,B,A,B
27,3,41.7,0.96,long_drift,669.4,18.496,1.536,0,0,0.1393,0.04,1,0.04,0.16,1,0.2,A,B,A,B
28,4,20.8,0.72,long_drift,669.8,18.5254,1.5301,0,0,0.2068,0.0,0,0.0,0.0,0,0.0,A,B,A,B
29,4,50.0,0.44,short_burst,669.6,18.9313,1.531,0,0,-0.0747,0.08,1,0.08,0.0,0,0.0,A,B,A,B
3,4,54.2,0.76,long_drift,676.3,18.8395,1.531,0,0,-0.4457,0.12,1,0.12,0.0,0,0.0,A,B,A,B
