seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,r0_entropy,r1_entropy,r2_entropy,r3_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag,merge_count,split_count
21,1,0,0,908,0,0,876,732,20.9606,1.5845,0.9134,0.9183,0.9288,0.9468,2713,A,B,A,B,0,0,0,0
21,2,0,0,314,0,0,299,705,18.7245,1.5845,0.9154,0.8631,0.9094,0.9467,909,A,B,A,B,0,1,0,0
21,3,0,0,42,0,0,32,638,17.3626,1.5754,0.7219,0.971,0.9518,0.9784,114,A,B,A,B,1,1,0,0
21,4,0,0,8,0,0,7,650,17.1853,1.582,0.5436,0.971,0.7219,0.0,22,A,B,neutral,B,4,0,0,0
21,5,0,0,5,0,0,6,702,19.7332,1.5656,0.65,0.0,0.0,0.9183,15,A,B,neutral,B,4,0,0,0
21,6,0,0,13,0,0,10,716,20.5173,1.5566,0.8113,0.7219,0.8813,0.8113,31,A,B,A,B,4,0,0,0
21,7,0,0,6,0,0,7,703,19.2304,1.5813,0.8631,0.0,0.8113,1.0,20,A,B,neutral,B,4,0,0,0
21,8,0,0,13,0,0,12,682,19.2001,1.574,0.9852,0.0,1.0,1.0,41,A,B,A,B,4,0,0,0
21,9,0,0,15,0,0,9,704,19.2774,1.5546,0.9183,0.9852,0.8631,0.8631,36,A,B,A,B,3,1,0,0
21,10,0,0,11,0,0,10,691,19.1312,1.5835,0.9183,0.9852,0.971,0.8113,32,A,B,A,B,3,1,0,0
21,11,0,0,8,1,1,16,665,18.3341,1.5305,0.994,0.8113,1.0,0.0,36,A,B,A,B,3,1,0,0
21,12,0,0,11,0,0,10,602,15.7861,1.5763,0.9457,0.8813,0.5436,0.971,34,A,B,A,B,3,1,0,0
21,13,0,0,8,0,0,7,663,18.3226,1.4807,0.9183,0.0,0.0,1.0,18,A,B,A,B,4,0,0,0
21,14,0,0,10,0,0,4,649,18.7057,1.4729,1.0,0.0,0.65,0.8631,25,A,B,A,neutral,4,0,0,0
21,15,0,0,9,0,0,8,704,19.3567,1.4536,0.9183,0.9183,0.971,0.9183,37,A,B,A,B,1,1,0,0
21,16,0,0,8,0,0,8,678,18.5674,1.5301,0.8113,1.0,0.9911,0.9911,30,A,B,A,B,4,0,0,0
21,17,0,0,8,0,0,3,660,17.3852,1.3405,0.9852,0.7219,1.0,1.0,26,A,neutral,A,B,4,0,0,0
21,18,0,0,15,0,0,5,655,19.7269,1.4615,0.9183,0.8113,0.9457,0.7219,32,A,neutral,A,B,4,0,0,0
21,19,0,0,8,0,0,4,686,18.933,1.5294,0.0,0.971,0.9183,0.8113,19,A,B,A,neutral,4,0,0,0
21,20,0,0,7,0,0,13,669,17.4632,1.5303,0.971,0.0,1.0,0.7642,28,A,B,A,B,4,0,0,0
21,21,0,0,6,0,0,5,637,18.5296,1.519,0.8113,1.0,0.0,0.9183,21,A,B,neutral,B,4,0,0,0
21,22,0,0,9,0,0,13,694,19.3771,1.5682,0.5917,0.9183,0.9852,0.9457,34,A,B,A,B,4,0,0,0
21,23,0,0,12,0,0,17,616,17.0814,1.5365,0.971,0.9544,0.65,0.3912,38,A,B,A,B,4,0,0,0
21,24,0,0,20,0,0,8,671,18.3857,1.4949,0.9183,0.8113,0.65,0.9612,44,A,B,A,B,4,0,0,0
21,25,0,0,20,0,0,10,654,18.3794,1.4675,0.0,0.0,0.8454,0.9612,38,A,B,A,B,4,0,0,0
