seed,global_k,div_ratio,regime,entropy,merge,split,diffusion,flow_AB,flow_BA,flow_asym,bridges,persist_bridges,bridge_life,bridge_max_life,A_persist,B_persist,r0_concept,r1_concept,r2_concept,r3_concept
1,4,0.6,long_drift,1.5528,0,0,27739,14052,13687,0.0132,1.7,0.0,0.64,1,0.12,0.0,A,B,A,B
10,4,0.32,short_burst,1.5334,0,0,27766,14050,13716,0.012,1.6,0.0,0.68,1,0.12,0.28,A,B,A,B
11,4,0.6,long_drift,1.5394,0,0,28124,14029,14095,-0.0023,1.2,0.0,0.64,1,0.12,0.04,A,B,A,B
12,4,0.48,long_drift,1.5463,0,0,27914,14025,13889,0.0049,1.2,0.0,0.56,1,0.08,0.04,A,B,A,B
13,4,0.44,short_burst,1.5192,0,0,27213,13618,13595,0.0008,1.8,0.0,0.8,1,0.04,0.04,A,B,A,B
14,4,0.52,long_drift,1.5252,0,0,27791,13859,13932,-0.0026,1.1,0.0,0.6,1,0.16,0.0,A,B,A,B
15,4,0.56,long_drift,1.5474,0,0,27983,14088,13895,0.0069,1.2,0.0,0.72,1,0.08,0.08,A,B,A,B
16,4,0.44,short_burst,1.5465,0,0,27721,13902,13819,0.003,1.5,0.0,0.64,1,0.04,0.08,A,B,A,B
17,4,0.36,short_burst,1.5422,0,0,27636,13988,13648,0.0123,1.6,0.0,0.56,1,0.04,0.04,A,B,A,B
18,4,0.16,short_burst,1.5514,0,0,27373,13927,13446,0.0176,1.1,0.0,0.72,1,0.12,0.04,A,B,A,B
19,4,0.52,long_drift,1.5101,0,0,27810,13994,13816,0.0064,1.5,0.0,0.64,1,0.12,0.04,A,B,A,B
2,4,0.36,short_burst,1.5309,0,0,27621,13696,13925,-0.0083,1.6,0.0,0.72,1,0.08,0.08,A,B,A,B
20,4,0.56,long_drift,1.5273,0,0,27721,14095,13626,0.0169,1.6,0.0,0.6,1,0.16,0.04,A,B,A,B
3,4,0.28,short_burst,1.5553,0,0,27778,13907,13871,0.0013,1.4,0.0,0.68,1,0.08,0.12,A,B,A,B
4,4,0.48,long_drift,1.5579,0,0,27747,13807,13940,-0.0048,1.2,0.0,0.52,1,0.08,0.08,A,B,A,B
5,4,0.4,long_drift,1.5464,0,0,27964,14072,13892,0.0064,1.2,0.0,0.6,1,0.08,0.12,A,B,A,B
6,4,0.32,short_burst,1.5484,0,0,27299,13742,13557,0.0068,1.8,0.0,0.8,1,0.04,0.08,A,B,A,B
7,4,0.64,long_drift,1.5492,0,0,27739,13903,13836,0.0024,1.2,0.0,0.64,1,0.08,0.04,A,B,A,B
8,4,0.28,short_burst,1.534,0,0,27344,13915,13429,0.0178,0.9,0.0,0.6,1,0.0,0.08,A,B,A,B
9,4,0.32,long_drift,1.5513,0,0,27768,14070,13698,0.0134,1.4,0.0,0.64,1,0.04,0.08,A,B,A,B
