seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,r0_entropy,r0_concept,r1_entropy,r1_concept,r2_entropy,r2_concept,r3_entropy,r3_concept,global_k,div_flag,merge_count,split_count,n_bridges,persistent_bridges,bridge_weight,bridge_mean_life,bridge_max_life
6,1,1,2,920,0,0,847,705,21.6454,1.5841,0.9057,A,0.933,B,0.9254,A,0.9285,B,0,0,0,0,4,0,1.9498,1.0,1
6,2,0,0,213,1,1,187,696,19.0762,1.5823,0.9162,A,0.9702,B,0.9096,A,0.9183,B,0,1,0,0,2,0,0.4146,1.0,1
6,3,0,0,32,0,0,35,651,17.1867,1.5736,0.999,A,0.8936,B,0.8905,A,0.9963,B,0,1,0,0,1,0,0.2877,1.0,1
6,4,0,0,10,0,0,11,681,18.0195,1.5437,0.994,A,0.7219,B,0.9911,A,0.9957,B,4,0,0,0,1,0,0.1668,1.0,1
6,5,0,0,13,0,0,12,690,19.4654,1.5821,0.9183,A,0.7219,B,0.8813,A,0.971,B,4,0,0,0,2,0,0.4453,1.0,1
6,6,0,0,10,0,0,11,653,17.964,1.5763,0.65,A,0.0,B,0.9911,A,0.9612,B,4,0,0,0,1,0,0.2798,1.0,1
6,7,0,0,12,0,0,11,669,19.112,1.5749,0.5033,A,0.5917,B,0.9852,A,0.9911,B,4,0,0,0,1,0,0.2039,1.0,1
6,8,0,0,13,0,0,10,712,20.105,1.541,0.0,A,0.8631,B,0.9544,A,0.8631,B,4,0,0,0,3,0,0.8432,1.0,1
6,9,0,0,7,0,0,7,666,17.6124,1.585,0.971,A,0.971,B,0.9183,A,0.7219,B,3,1,0,0,0,0,0,0,0
6,10,0,0,10,0,0,9,653,18.4372,1.5535,0.8113,A,0.971,B,0.9183,A,0.0,B,4,0,0,0,1,0,0.2942,1.0,1
6,11,0,0,9,0,0,8,653,19.3619,1.5827,0.971,A,0.5917,B,0.8113,A,0.971,B,4,0,0,0,5,0,1.8142,1.0,1
6,12,0,0,9,0,0,8,672,18.9282,1.5827,0.971,A,0.65,B,0.8813,A,0.8113,B,4,1,0,0,3,0,0.9473,1.0,1
6,13,0,0,9,0,0,9,642,17.6411,1.5618,0.971,A,0.9183,B,0.9457,A,1.0,B,4,1,0,0,1,0,0.5028,1.0,1
6,14,0,0,13,0,0,10,621,17.5533,1.5734,0.9544,A,0.8631,B,0.65,A,0.65,B,4,1,0,0,1,0,0.2506,1.0,1
6,15,0,0,17,1,2,22,667,19.4792,1.5769,1.0,A,0.7219,B,0.971,A,0.65,B,4,0,0,0,3,0,1.1732,1.0,1
6,16,0,0,11,0,0,19,660,18.0933,1.5438,0.9183,A,0.896,B,0.9911,A,0.9968,B,4,0,0,0,0,0,0,0,0
6,17,0,0,5,0,0,7,721,20.829,1.4266,1.0,A,0.9911,B,0.8113,A,0.8813,neutral,4,0,0,0,2,0,1.018,1.0,1
6,18,0,0,8,0,0,5,657,18.3863,1.5157,0.8113,neutral,0.9183,B,0.7642,A,0.7219,neutral,4,0,0,0,2,0,0.6914,1.0,1
6,19,0,0,15,0,0,13,637,17.3915,1.4928,0.8631,A,0.0,B,0.7793,A,0.65,B,4,0,0,0,1,0,0.8274,1.0,1
6,20,0,0,11,0,0,8,636,16.7789,1.5157,0.9852,A,0.65,B,0.5436,A,0.0,B,4,0,0,0,0,0,0,0,0
6,21,0,0,13,0,0,7,706,19.7135,1.5378,0.9544,A,0.0,B,0.8454,A,0.9852,B,1,1,0,0,4,0,1.3661,1.0,1
6,22,0,0,13,0,0,10,651,19.6337,1.5566,0.5917,A,0.9852,B,0.8813,A,0.0,B,4,0,0,0,4,0,1.5203,1.0,1
6,23,0,0,8,0,0,9,687,19.1065,1.4577,0.7219,A,0.7219,B,0.7219,A,0.0,B,4,0,0,0,4,0,1.1064,1.0,1
6,24,0,0,10,0,0,14,690,18.8239,1.5292,1.0,A,0.5436,B,0.0,A,0.8813,B,4,0,0,0,0,0,0,0,0
6,25,0,0,7,0,0,9,673,18.1352,1.561,0.8113,neutral,0.8631,B,0.65,A,0.9183,B,3,1,0,0,0,0,0,0,0
