seed,global_k,div_ratio,entropy,merge,split,tripartite,diffusion,flow_AC,flow_BC,flow_AB,mediation_ratio,bridges,persist_bridges,bridge_life,bridge_max_life,bridges_AC,bridges_BC,bridges_AB,A_persist,B_persist,C_persist,r0_concept,r1_concept,r2_concept,r3_concept
1,4,0.12,1.5468,0,0,3,70256,24285,22834,23137,2.0365,4.2,0.0,0.92,1,1.0,1.6,1.6,0.0,0.0,0.0,A,B,A,B
10,4,0.36,1.5368,0,0,2,69520,24101,22598,22821,2.0463,4.2,0.0,0.88,1,1.8,1.2,1.2,0.08,0.04,0.0,A,B,A,B
11,4,0.52,1.5285,0,0,3,69638,23919,22702,23017,2.0255,3.9,0.0,0.84,1,1.0,1.6,1.4,0.0,0.04,0.08,A,B,A,B
12,4,0.64,1.5406,0,0,2,69437,23726,22797,22914,2.0303,4.6,0.0,0.96,1,1.5,1.7,1.4,0.0,0.0,0.0,A,B,A,B
13,4,0.8,1.5558,0,0,3,70197,24198,22954,23045,2.0461,4.5,0.0,1.0,1,1.9,1.3,1.3,0.16,0.0,0.04,A,B,A,B
14,4,0.6,1.5455,0,0,0,69836,24230,22611,22995,2.037,3.4,0.0,0.88,1,1.2,1.1,1.1,0.08,0.0,0.0,A,B,A,B
15,4,0.48,1.5493,0,0,1,70086,24011,23011,23064,2.0388,4.4,0.0,0.88,1,2.1,1.1,1.2,0.08,0.04,0.08,A,B,A,B
16,4,0.6,1.5651,0,0,0,70148,24394,22784,22970,2.0539,4.5,0.0,0.96,1,1.8,1.2,1.6,0.0,0.04,0.04,A,B,A,B
17,4,0.64,1.534,0,0,2,69645,24402,22568,22675,2.0714,3.9,0.0,0.96,1,1.3,1.0,1.6,0.04,0.04,0.08,A,B,A,B
18,4,0.6,1.5317,0,0,2,70501,24558,23015,22928,2.0749,3.1,0.0,0.8,1,1.1,1.2,0.8,0.04,0.08,0.0,A,B,A,B
19,4,0.28,1.5427,0,0,2,69755,24037,22864,22854,2.0522,4.7,0.0,0.92,1,1.7,1.2,1.8,0.08,0.04,0.12,A,B,A,B
2,4,0.6,1.5424,0,0,2,69778,24204,22688,22886,2.0489,3.2,0.0,0.8,1,1.0,1.2,1.0,0.0,0.08,0.0,A,B,A,B
20,4,0.84,1.5333,0,0,0,70178,24385,22708,23085,2.04,4.8,0.0,0.92,1,1.6,1.8,1.3,0.04,0.0,0.0,A,B,A,B
3,4,0.2,1.5333,0,0,2,70085,24342,22653,23090,2.0353,4.6,0.0,1.0,1,1.7,1.2,1.7,0.04,0.16,0.08,A,B,A,B
4,4,0.64,1.5283,0,0,1,70277,24418,22778,23081,2.0448,3.5,0.0,0.88,1,1.2,1.1,1.2,0.04,0.0,0.0,A,B,A,B
5,4,0.48,1.5407,0,0,2,70493,24541,22717,23235,2.0339,5.2,0.0,0.96,1,2.0,1.6,1.6,0.08,0.04,0.04,A,B,A,B
6,4,0.32,1.5445,0,0,1,69760,24356,22413,22991,2.0342,3.3,0.0,0.92,1,1.0,1.2,1.2,0.0,0.04,0.0,A,B,A,B
7,4,0.48,1.5474,0,0,2,70135,24316,22644,23175,2.0263,4.2,0.0,0.96,1,1.5,1.6,1.2,0.04,0.08,0.0,A,B,A,B
8,4,0.44,1.5458,0,0,4,69866,24174,22648,23044,2.0319,4.0,0.0,0.88,1,1.1,1.5,1.4,0.0,0.0,0.0,A,B,A,B
9,4,0.88,1.5576,0,0,1,70135,24350,22671,23114,2.0343,4.4,0.0,0.96,1,1.2,1.3,1.8,0.0,0.08,0.08,A,B,A,B
