seed,window,A_islands,A_nodes_in_isl,B_islands,B_nodes_in_isl,C_islands,C_nodes_in_isl,tripartite,boundary_links,boundary_weight,concept_entropy,n_bridges,persistent_bridges,bridge_mean_life,bridge_max_life,bridges_AC,bridges_AB,bridges_BC,global_k,div_flag,merge,split,r0_concept,r1_concept,r2_concept,r3_concept
17,1,0,0,0,0,0,0,0,2084,55.9353,1.5849,3,0,1.0,1,0,3,0,0,0,0,0,A,B,A,B
17,2,0,0,0,0,0,0,0,2112,58.8994,1.5834,5,0,1.0,1,2,3,0,0,1,0,0,A,B,A,B
17,3,0,0,0,0,0,0,0,2104,57.2462,1.5833,2,0,1.0,1,0,0,2,4,1,0,0,A,B,A,B
17,4,0,0,0,0,0,0,0,2053,57.2765,1.5353,3,0,1.0,1,1,2,0,4,1,0,0,A,B,A,B
17,5,1,4,0,0,1,3,0,2089,58.1031,1.5303,4,0,1.0,1,0,3,1,1,1,0,0,A,B,A,B
17,6,0,0,0,0,0,0,0,2074,58.6407,1.5787,5,0,1.0,1,2,2,1,4,1,0,0,A,B,C,B
17,7,0,0,0,0,0,0,1,2123,61.2097,1.5613,6,0,1.0,1,2,2,2,4,1,0,0,A,B,C,B
17,8,0,0,0,0,0,0,0,2027,57.4205,1.5746,8,0,1.0,1,0,6,2,4,1,0,0,A,B,A,B
17,9,0,0,0,0,0,0,0,2042,56.7665,1.585,2,0,1.0,1,2,0,0,4,1,0,0,A,B,A,B
17,10,0,0,0,0,0,0,0,2053,55.2264,1.406,2,0,1.0,1,0,2,0,4,1,0,0,A,C,C,C
17,11,0,0,0,0,0,0,0,1956,53.9843,1.5682,2,0,1.0,1,1,1,0,4,1,0,0,A,B,C,B
17,12,0,0,0,0,0,0,0,1977,54.9835,1.5277,2,0,1.0,1,0,1,1,4,1,0,0,A,B,A,B
17,13,0,0,0,0,0,0,0,2067,56.8797,1.4481,5,0,1.0,1,2,2,1,4,1,0,0,A,B,A,B
17,14,0,0,0,0,0,0,0,2075,55.6291,1.3754,2,0,1.0,1,1,1,0,4,1,0,0,A,C,A,B
17,15,0,0,0,0,0,0,0,2007,53.8906,1.4951,4,0,1.0,1,1,2,1,4,1,0,0,C,C,A,C
17,16,0,0,0,0,0,0,0,2025,55.5886,1.3996,3,0,1.0,1,1,1,1,4,0,0,0,C,B,A,C
17,17,0,0,0,0,0,0,0,2052,56.5589,1.5466,1,0,1.0,1,1,0,0,4,0,0,0,A,B,A,C
17,18,0,0,0,0,0,0,0,2083,56.1623,1.5566,5,0,1.0,1,0,1,4,4,0,0,0,A,B,A,B
17,19,0,0,2,6,0,0,1,2069,61.8465,1.5603,14,0,1.0,1,8,3,3,4,0,0,0,A,B,A,B
17,20,0,0,0,0,0,0,0,2024,55.9959,1.5721,1,0,1.0,1,1,0,0,3,1,0,0,A,B,A,B
17,21,0,0,0,0,0,0,0,2031,55.2837,1.5682,0,0,0,0,0,0,0,3,1,0,0,C,B,A,B
17,22,0,0,0,0,0,0,0,2029,56.7057,1.5462,1,0,1.0,1,0,1,0,4,0,0,0,C,B,A,B
17,23,0,0,0,0,0,0,0,1980,53.5173,1.5656,2,0,1.0,1,0,2,0,4,0,0,0,C,C,A,B
17,24,0,0,0,0,0,0,0,2081,58.0417,1.5632,5,0,1.0,1,1,0,4,4,0,0,0,C,B,A,B
17,25,0,0,0,0,1,3,0,2060,59.5657,1.5348,10,0,1.0,1,6,1,3,4,0,0,0,C,B,A,B
