seed,dampen,gk,sw100,div,entropy,merge,split,tri,diffusion,bridges,persist_br,br_life,br_max,br_AC,br_BC,br_AB,tension,retain_gain,A_persist,B_persist,C_persist,r0_c,r1_c,r2_c,r3_c
1,0.95,4,54.2,0.84,1.5641,0,0,1,69812,4.8,0.0,0.84,1,1.7,1.4,1.6,99183,-0.16,0.0,0.04,0.04,A,B,A,B
10,0.9,4,41.7,0.28,1.5565,0,0,1,70005,3.7,0.0,0.92,1,1.3,1.1,1.2,97922,-0.08,0.0,0.0,0.04,A,B,A,B
11,1.0,4,41.7,0.52,1.5285,0,0,3,69638,3.9,0.0,0.84,1,1.0,1.6,1.4,0,-0.16,0.0,0.04,0.08,A,B,A,B
12,0.9,4,16.7,0.16,1.5501,0,0,0,70489,2.9,0.0,0.72,1,1.1,0.9,0.8,75316,-0.28,0.08,0.04,0.0,A,B,A,B
13,0.95,4,37.5,0.28,1.5213,0,0,0,70242,4.1,0.0,0.92,1,1.4,1.7,1.0,90283,-0.08,0.0,0.0,0.08,A,B,A,B
14,1.0,4,45.8,0.6,1.5455,0,0,0,69836,3.4,0.0,0.88,1,1.2,1.1,1.1,0,-0.12,0.08,0.0,0.0,A,B,A,B
15,1.0,4,37.5,0.48,1.5493,0,0,1,70086,4.4,0.0,0.88,1,2.1,1.1,1.2,0,-0.12,0.08,0.04,0.08,A,B,A,B
16,0.95,4,16.7,0.12,1.5277,0,0,1,69971,3.8,0.0,0.8,1,1.3,1.1,1.4,90844,-0.2,0.12,0.04,0.08,A,B,A,B
17,0.9,4,33.3,0.96,1.5463,0,0,3,69909,3.2,0.0,0.76,1,1.3,1.0,1.0,91111,-0.24,0.04,0.0,0.04,A,B,A,B
18,1.0,4,29.2,0.6,1.5317,0,0,2,70501,3.1,0.0,0.8,1,1.1,1.2,0.8,0,-0.2,0.04,0.08,0.0,A,B,A,B
19,0.95,4,37.5,0.36,1.5254,0,0,1,70266,3.8,0.0,0.84,1,1.2,1.6,0.9,88787,-0.16,0.04,0.08,0.04,A,B,A,B
2,1.0,4,37.5,0.6,1.5424,0,0,2,69778,3.2,0.0,0.8,1,1.0,1.2,1.0,0,-0.2,0.0,0.08,0.0,A,B,A,B
20,1.0,4,54.2,0.84,1.5333,0,0,0,70178,4.8,0.0,0.92,1,1.6,1.8,1.3,0,-0.08,0.04,0.0,0.0,A,B,A,B
3,0.95,4,33.3,0.44,1.5478,0,0,2,69692,3.0,0.0,0.8,1,0.7,1.0,1.3,100431,-0.2,0.08,0.04,0.04,A,B,A,B
4,0.9,4,29.2,0.36,1.5513,0,0,2,69991,4.4,0.0,1.0,1,1.5,1.8,1.2,111805,0.0,0.12,0.04,0.0,A,B,A,B
5,1.0,4,37.5,0.48,1.5407,0,0,2,70493,5.2,0.0,0.96,1,2.0,1.6,1.6,0,-0.04,0.08,0.04,0.04,A,B,A,B
6,0.95,4,25.0,0.2,1.5486,0,0,0,70040,5.1,0.0,1.0,1,1.7,1.8,1.6,93822,0.0,0.04,0.0,0.0,A,B,A,B
7,0.95,4,25.0,0.36,1.5561,0,0,2,70389,2.8,0.0,0.68,1,1.0,1.0,0.8,87837,-0.32,0.04,0.0,0.0,A,B,A,B
8,1.0,4,45.8,0.44,1.5458,0,0,4,69866,4.0,0.0,0.88,1,1.1,1.5,1.4,0,-0.12,0.0,0.0,0.0,A,B,A,B
9,0.95,3,75.0,0.64,1.5482,0,0,2,69404,4.9,0.0,0.88,1,1.7,1.7,1.6,97084,-0.12,0.08,0.04,0.08,A,B,A,B
