seed,win,tri,bnd_links,bnd_w,ent,n_br,persist_br,br_life,br_max,br_AC,br_BC,br_AB,gk,div,merge,split,A_isl,B_isl,C_isl,r0_c,r1_c,r2_c,r3_c
5,1,0,2177,62.0459,1.5837,11,0,1.0,1,4,3,4,0,0,0,0,0,0,1,A,B,A,B
5,2,0,2003,57.49,1.5794,6,0,1.0,1,5,0,1,0,0,0,0,0,1,0,A,B,A,B
5,3,0,2084,60.6354,1.5824,9,0,1.0,1,3,3,3,0,1,0,0,0,0,0,A,B,A,B
5,4,0,2086,57.583,1.583,5,0,1.0,1,2,1,2,4,1,0,0,0,0,0,C,B,A,B
5,5,0,2128,59.8592,1.5726,10,0,1.0,1,4,1,5,4,0,0,0,0,0,0,C,C,A,B
5,6,0,2150,60.1942,1.5516,4,0,1.0,1,3,0,1,4,0,0,0,1,0,0,C,B,A,B
5,7,0,2050,55.1899,1.5801,3,0,1.0,1,2,1,0,4,0,0,0,0,0,0,A,B,A,B
5,8,0,2102,60.8459,1.5401,7,0,1.0,1,2,3,2,1,1,0,0,0,0,0,A,B,A,B
5,9,0,1998,55.3814,1.4663,3,0,1.0,1,1,1,1,4,0,0,0,0,0,0,A,B,A,B
5,10,0,2096,60.7937,1.5103,8,0,1.0,1,3,3,2,4,0,0,0,0,0,0,A,B,A,B
5,11,0,2002,54.4868,1.5816,0,0,0,0,0,0,0,4,0,0,0,0,0,0,A,B,A,B
5,12,0,1998,56.1991,1.4714,7,0,1.0,1,3,0,4,4,0,0,0,0,0,0,?,B,C,B
5,13,0,1995,57.5766,1.5395,8,0,1.0,1,3,4,1,1,1,0,0,0,0,0,C,B,A,C
5,14,0,2117,57.3308,1.5822,1,0,1.0,1,1,0,0,1,1,0,0,0,0,0,A,B,A,B
5,15,0,2070,57.422,1.5734,5,0,1.0,1,1,3,1,0,1,0,0,0,0,0,A,B,C,B
5,16,0,2083,58.2856,1.585,5,0,1.0,1,2,2,1,0,1,0,0,0,0,0,A,B,C,B
5,17,0,2062,55.7933,1.5365,4,0,1.0,1,4,0,0,4,0,0,0,1,0,0,A,B,A,B
5,18,0,2017,55.5359,1.519,3,0,1.0,1,1,1,1,4,0,0,0,0,0,0,A,B,A,B
5,19,1,2114,59.6407,1.5305,5,0,1.0,1,1,2,2,1,1,0,0,0,0,0,A,B,A,C
5,20,0,2090,58.0468,1.5789,8,0,1.0,1,2,3,3,3,1,0,0,0,0,0,A,B,A,B
5,21,0,2015,55.8295,1.585,3,0,1.0,1,0,1,2,3,1,0,0,0,0,0,A,B,A,B
5,22,0,2093,58.4357,1.4618,2,0,1.0,1,0,2,0,3,1,0,0,0,0,0,A,B,A,C
5,23,0,2117,57.5738,1.5403,2,0,1.0,1,1,0,1,3,1,0,0,0,0,0,A,B,C,B
5,24,0,2090,57.7108,1.4171,4,0,1.0,1,0,2,2,4,0,0,0,0,0,0,A,B,C,B
5,25,1,2107,59.0353,1.4655,6,0,1.0,1,1,3,2,4,0,0,0,0,0,0,A,B,C,B
