seed,win,tri,bnd_links,bnd_w,ent,n_br,persist_br,br_life,br_max,gk,div,svi,A_isl,B_isl,C_isl,r0_c,r1_c,r2_c,r3_c,isl_0.10,cisl_0.10,mix_0.10,isl_0.15,cisl_0.15,mix_0.15,isl_0.20,cisl_0.20,mix_0.20,isl_0.25,cisl_0.25,mix_0.25,isl_0.30,cisl_0.30,mix_0.30
4,1,0,2155,60.6785,1.584,7,0,1.0,1,0,0,0.0,0,0,0,A,B,A,B,2,0,1,1,0,1,1,0,1,1,0,1,1,0,1
4,2,0,2001,55.3573,1.5822,5,0,1.0,1,0,1,0.0,0,0,0,A,B,A,B,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0
4,3,0,2060,57.1024,1.5838,3,0,1.0,1,1,1,0.0,0,0,0,A,B,A,B,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
4,4,0,2040,56.2614,1.5654,1,0,1.0,1,4,1,0.0,0,0,0,A,B,A,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,0,1993,53.2079,1.5774,2,0,1.0,1,4,1,0.0,0,0,0,A,B,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,0,2103,59.8061,1.5069,11,0,1.0,1,4,1,0.0,0,0,0,C,B,A,B,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0
4,7,0,2127,56.6913,1.5284,0,0,0,0,4,1,0.0,0,0,0,A,B,C,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,0,1978,52.7768,1.5486,0,0,0,0,4,1,0.0,0,0,0,A,B,A,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,0,2005,57.7275,1.581,6,0,1.0,1,4,1,0.0,0,0,0,A,C,A,B,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
4,10,0,2065,58.2533,1.5679,6,0,1.0,1,4,1,0.0,0,0,0,A,C,A,B,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0
4,11,0,1995,56.1407,1.5052,5,0,1.0,1,3,1,0.0,0,0,0,A,B,A,B,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0
4,12,0,2139,60.7591,1.581,5,0,1.0,1,1,1,0.0,0,0,0,A,B,A,C,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
4,13,0,2082,58.1993,1.5657,5,0,1.0,1,4,1,1.2247,0,0,0,C,B,A,B,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0
4,14,0,2082,55.3749,1.5014,0,0,0,0,4,1,0.0,0,0,0,A,B,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,15,0,2060,57.245,1.558,1,0,1.0,1,4,1,0.0,0,0,0,A,B,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16,1,1997,55.9458,1.4678,2,0,1.0,1,4,1,0.0,0,0,0,A,B,A,C,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
4,17,0,1994,55.4568,1.4746,7,0,1.0,1,4,1,0.0,0,0,0,A,C,A,B,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0
4,18,0,1962,53.614,1.5486,2,0,1.0,1,4,0,0.0,0,0,0,A,B,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,19,0,2049,55.2672,1.5601,1,0,1.0,1,4,0,0.0,0,0,0,A,B,C,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,20,0,2041,57.0116,1.5726,6,0,1.0,1,4,0,0.0,0,0,0,A,B,C,B,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
4,21,0,2004,56.4086,1.5777,4,0,1.0,1,4,0,0.0,0,0,0,A,B,A,B,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
4,22,0,2040,56.1269,1.3213,2,0,1.0,1,4,0,0.0,0,0,0,A,B,A,B,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
4,23,0,2056,56.5478,1.4319,3,0,1.0,1,4,0,0.0,0,0,0,A,B,A,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,24,0,2079,56.737,1.4819,1,0,1.0,1,4,0,0.0,0,0,0,A,B,A,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,25,0,2061,57.5556,1.433,3,0,1.0,1,4,0,0.8165,1,0,0,C,B,A,C,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
