seed,win,tri,bnd_links,ent,n_br,persist_br,br_max,gk,div,A_isl,A_drift_bnd,A_drift_near,A_drift_deep,A_erosion_d,A_core_pres,A_bnd_k,B_isl,B_drift_bnd,B_drift_near,B_drift_deep,B_erosion_d,B_core_pres,B_bnd_k,C_isl,C_drift_bnd,C_drift_near,C_drift_deep,C_erosion_d,C_core_pres,C_bnd_k
3,1,1,2127,1.5848,7,0,1,0,0,0,1.580132,1.563864,1.889181,3,0.0,2.0,0,1.544662,1.56938,1.396183,3,0.0,2.01,0,1.588248,1.670756,1.64866,4,0.0,1.96
3,2,0,2074,1.584,12,0,1,0,0,1,1.579567,1.597793,0,2,1.0,1.86,1,1.608958,1.617373,2.000183,3,0.0,1.89,0,1.530521,1.528195,1.195538,4,0.0,1.91
3,3,0,2096,1.5756,2,0,1,0,1,0,1.539072,1.557346,2.053164,4,0.0,1.89,0,1.59058,1.547984,1.225505,3,0.0,1.89,1,1.581732,1.505443,1.34331,4,0.0,1.89
3,4,0,2072,1.5735,6,0,1,4,0,0,1.564824,1.579735,1.33958,4,0.0,1.94,0,1.53252,1.553004,3.097721,3,0.0,1.83,0,1.54717,1.620794,0.417931,3,0.0,1.86
3,5,0,1976,1.5721,2,0,1,1,1,0,1.576711,1.53112,1.503988,4,0.0,1.87,0,1.54707,1.602469,2.275108,4,0.0,1.82,0,1.603424,1.615402,2.047501,4,0.0,1.83
3,6,0,2122,1.5682,2,0,1,4,0,0,1.563489,1.574285,1.79562,3,0.0,1.92,0,1.536713,1.594433,1.800006,3,0.0,1.86,0,1.583965,1.594981,0.844909,4,0.0,1.89
3,7,0,2015,1.5343,1,0,1,4,0,0,1.607229,1.414604,1.242007,4,0.0,1.87,0,1.562107,1.63607,1.42836,4,0.1429,1.84,0,1.525017,1.497196,1.24712,3,0.0,1.86
3,8,0,2008,1.5751,5,0,1,4,0,0,1.567677,1.6338,1.662496,3,0.0,1.86,1,1.596115,1.62685,1.194161,3,0.0,1.81,0,1.593635,1.451139,1.886484,3,0.0,1.82
3,9,0,2020,1.5726,7,0,1,3,1,0,1.547789,1.582892,1.271538,3,0.0,1.88,0,1.575873,1.70847,2.386583,3,0.0,1.83,0,1.548452,1.487483,1.765287,4,0.0,1.88
3,10,0,2043,1.546,9,0,1,4,0,0,1.55931,1.63489,1.983987,4,0.0,1.91,0,1.581945,1.609194,2.756378,3,0.0,1.92,0,1.61909,1.490595,0.504374,3,0.3333,1.87
3,11,0,1980,1.557,5,0,1,4,0,0,1.604794,1.543394,1.646146,5,0.0,1.84,1,1.598009,1.492963,0.826928,3,0.0,1.86,0,1.483044,1.648824,0.913865,4,0.0,1.86
3,12,0,2043,1.5492,4,0,1,4,0,0,1.600132,1.586918,0.971091,3,0.0,1.85,0,1.538885,1.515444,1.805755,4,0.0,1.84,0,1.56389,1.537936,1.168646,3,0.0,1.84
3,13,0,2129,1.5462,2,0,1,4,0,0,1.554331,1.629699,1.419074,3,0.0,1.91,0,1.574787,1.624936,0.698686,3,0.0,1.91,0,1.5346,1.569602,0.797506,4,0.0,1.93
3,14,0,2106,1.5735,6,0,1,4,0,0,1.548768,1.573765,2.243935,3,0.0,1.94,0,1.597233,1.535917,1.881642,3,0.0,1.87,0,1.574811,1.565281,0.572995,3,0.0,1.93
3,15,0,2019,1.546,5,0,1,4,0,0,1.559329,1.614301,1.769083,4,0.0,1.87,0,1.573239,1.584007,1.656382,3,0.0,1.88,0,1.609895,1.549514,1.775006,4,0.0,1.88
3,16,0,2115,1.5808,4,0,1,3,1,0,1.590366,1.479446,1.013188,3,0.3333,1.89,0,1.57434,1.390598,1.770763,3,0.0,1.9,0,1.543043,1.59176,2.542118,3,0.0,1.9
3,17,0,2071,1.519,2,0,1,4,0,0,1.596603,1.633109,1.170567,4,0.0,1.86,0,1.605934,1.511509,1.963791,3,0.0,1.88,0,1.557456,1.521999,1.844008,3,0.0,1.96
3,18,0,2015,1.5505,2,0,1,4,0,0,1.576584,1.590084,1.767172,3,0.0,1.79,0,1.542743,1.714215,1.903252,3,0.0,1.93,1,1.572059,1.638887,1.466979,5,0.125,1.93
3,19,0,2082,1.5835,4,0,1,4,0,0,1.555937,1.562577,1.319085,3,0.0,1.91,0,1.587639,1.531956,1.350232,3,0.0,1.86,0,1.569186,1.636937,1.570281,3,0.0,1.85
3,20,0,2023,1.5391,3,0,1,3,1,0,1.530994,1.589635,1.756977,4,0.0,1.89,0,1.519923,1.623763,1.537919,4,0.0,1.86,0,1.581092,1.506702,1.200229,3,0.0,1.92
3,21,0,2070,1.4787,8,0,1,4,0,0,1.53103,1.513651,1.093469,3,0.0,1.91,0,1.544575,1.570697,1.94211,4,0.0,1.86,0,1.585193,1.559987,1.472773,3,0.0,1.9
3,22,0,2035,1.4531,2,0,1,4,0,0,1.575944,1.600664,1.343951,3,0.0,1.86,0,1.599018,1.572869,0.199409,3,0.0,1.9,0,1.562987,1.463321,1.624564,3,0.0,1.87
3,23,0,1990,1.183,2,0,1,4,0,0,1.565524,1.545174,2.367091,3,0.0,1.84,0,1.620308,1.543379,1.414171,3,0.0,1.88,0,1.555956,1.488032,1.89095,4,0.0,1.94
3,24,0,2062,1.4041,4,0,1,4,0,0,1.560763,1.602273,1.502261,4,0.0,1.87,0,1.54019,1.566502,1.565077,4,0.0,1.86,0,1.618696,1.652622,1.63965,4,0.0,1.9
3,25,1,2101,1.5816,10,0,1,4,0,0,1.559233,1.531025,2.382598,3,0.0,1.96,1,1.53243,1.599543,1.491154,3,0.0,1.89,0,1.559939,1.49694,2.365316,3,0.0,1.84
