seed,win,tri,ent,gk,div,nC,A_drift_bnd,A_drift_deep,A_erosion_d,A_core_pres,A_bnd_k,B_drift_bnd,B_drift_deep,B_erosion_d,B_core_pres,B_bnd_k,C_drift_bnd,C_drift_deep,C_erosion_d,C_core_pres,C_bnd_k
11,1,0,1.5841,0,0,2676,1.549855,2.288285,4,0.0,2.04,1.560284,0.959866,5,0.0,1.98,1.56845,1.85672,3,0.0,1.96
11,2,0,1.5843,0,1,1040,1.565011,2.285639,4,0.0,1.88,1.579538,0.922659,3,0.0,1.91,1.5406,1.519938,3,0.0,1.85
11,3,0,1.5836,3,1,171,1.59685,1.607831,3,0.0,1.87,1.543272,1.371731,4,0.0,1.81,1.570334,1.716897,3,0.0,1.94
11,4,1,1.5405,4,0,65,1.564218,0.337999,3,0.0,1.86,1.540778,1.601253,3,0.0,1.84,1.616638,2.239397,4,0.0,1.85
11,5,0,1.5671,4,0,32,1.565407,1.12871,3,0.0,1.93,1.597933,0.40192,3,0.0,1.86,1.585577,2.139228,3,0.0,1.81
11,6,0,1.5697,4,0,26,1.601739,0.970263,5,0.0,1.87,1.607023,1.495371,5,0.125,1.87,1.57231,0.537068,3,0.0,1.91
11,7,0,1.5756,4,0,49,1.595744,1.813413,4,0.1667,1.86,1.593636,1.184472,3,0.0,1.88,1.58903,1.307581,3,0.0,1.89
11,8,0,1.5796,4,0,43,1.608643,2.041692,3,0.0,1.85,1.568716,1.50502,4,0.0,1.92,1.560376,1.480555,4,0.0,1.86
11,9,0,1.5219,4,0,25,1.616207,1.655896,3,0.0,1.89,1.605154,2.477383,3,0.0,1.87,1.559493,2.559731,3,0.0,1.85
11,10,0,1.5535,4,0,25,1.535638,1.6866,3,0.0,1.86,1.622814,0.891237,3,0.0,1.89,1.534041,0.102207,3,0.5,1.91
11,11,0,1.5407,4,0,27,1.568898,1.479662,3,0.0,1.92,1.567728,1.649342,3,0.0,1.83,1.596675,1.744075,5,0.0,1.89
11,12,0,1.5842,3,1,44,1.536805,1.117533,5,0.2,1.96,1.550727,1.359271,3,0.3333,1.85,1.557762,1.389701,3,0.0,1.9
11,13,0,1.5363,3,1,37,1.608212,1.661041,3,0.0,1.81,1.531902,1.591079,3,0.0,1.81,1.599445,2.27492,3,0.0,1.85
11,14,0,1.5534,3,1,37,1.576354,1.864808,3,0.0,1.94,1.541472,1.108108,3,0.0,1.86,1.572649,1.913757,3,0.0,1.85
11,15,0,1.582,1,1,44,1.622427,1.403878,4,0.0,1.8,1.669655,0,2,1.0,1.86,1.58784,2.046066,4,0.0,1.89
11,16,0,1.5376,4,0,41,1.576767,1.270248,3,0.0,1.85,1.574837,2.406285,3,0.0,1.81,1.571037,0.884781,3,0.0,1.78
11,17,0,1.5779,4,0,38,1.580715,2.568469,3,0.0,1.9,1.53718,1.600917,4,0.0,1.95,1.533711,0.935803,3,0.0,1.87
11,18,1,1.5395,4,0,44,1.568744,0.109002,3,0.0,1.84,1.626692,2.731349,3,0.0,1.84,1.634949,1.067541,3,0.0,1.84
11,19,0,1.5844,4,0,50,1.577774,1.354901,3,0.0,1.9,1.627763,1.922345,3,0.0,1.83,1.615052,1.214959,5,0.0,1.87
11,20,0,1.5796,4,0,43,1.595661,1.346731,4,0.0,1.9,1.634377,1.821485,3,0.0,1.83,1.594089,1.83029,3,0.3333,1.84
11,21,0,1.5684,4,0,41,1.551616,1.520855,4,0.0,1.9,1.556438,0.38663,3,0.3333,1.87,1.604368,1.367069,4,0.0,1.88
11,22,0,1.5751,4,0,53,1.521819,1.505145,3,0.0,1.86,1.552573,3.031438,3,0.0,1.83,1.578707,0.093306,3,0.0,1.91
11,23,0,1.5578,3,1,45,1.601731,1.831853,4,0.0,1.87,1.552926,1.981732,3,0.0,1.84,1.570129,0,2,1.0,1.86
11,24,0,1.5843,4,0,47,1.573092,2.708506,3,0.0,1.91,1.551842,2.523791,3,0.0,1.83,1.536578,1.241442,3,0.0,1.9
11,25,0,1.5727,3,1,29,1.566484,1.849827,4,0.0,1.85,1.56489,2.624691,3,0.0,1.87,1.54963,1.313975,3,0.0,1.9
