seed,win,tri,ent,gk,div,nC,A_erosion_d,A_core_pres,A_core_k_var,A_sub_clust,A_core_size,A_core_mk,B_erosion_d,B_core_pres,B_core_k_var,B_sub_clust,B_core_size,B_core_mk,C_erosion_d,C_core_pres,C_core_k_var,C_sub_clust,C_core_size,C_core_mk
9,1,0,1.5833,0,0,2667,3,0.0,0.0,4,4,0.0,7,0.0,0.0,10,10,0.0,3,0.0,0.0,4,4,0.0
9,2,0,1.5817,1,1,1013,3,0.0,0.0,4,4,0.0,7,0.0,0.0,10,10,0.0,3,0.0,0.0,4,4,0.0
9,3,0,1.5845,0,1,254,3,0.0,0.0,4,4,0.0,7,0.1,0.0,10,10,0.0,3,0.0,0.0,4,4,0.0
9,4,0,1.5671,0,1,57,3,0.25,0.0,4,4,0.0,7,0.0,0.0,10,10,0.0,3,0.0,0.0,4,4,0.0
9,5,0,1.5746,1,1,43,3,0.0,0.0,4,4,0.0,3,0.0,0,0,1,0,3,0.5,0,0,2,0
9,6,0,1.5784,3,1,53,3,0.0,0.0,4,4,0.0,3,0.0,0,0,1,0,3,0.0,0,0,2,0
9,7,0,1.5091,3,1,35,3,0.0,0.0,4,4,0.0,3,0.0,0,0,1,0,3,0.0,0,0,2,0
9,8,0,1.5743,4,0,46,3,0.25,0.0,4,4,0.0,3,0.0,0,0,1,0,3,0.0,0,0,2,0
9,9,0,1.5697,0,1,52,3,0.0,0.0,4,4,0.0,3,0.0,0,0,1,0,3,0.0,0,0,2,0
9,10,1,1.4988,1,1,34,3,0.3333,0.0,3,3,0.0,3,0.0,0.0,3,3,0.0,5,0.0,0.0,7,7,0.0
9,11,0,1.5298,4,0,49,3,0.0,0.0,3,3,0.0,3,0.0,0.0,3,3,0.0,5,0.0,0.0,7,7,0.0
9,12,0,1.5622,4,1,72,3,0.0,0.0,3,3,0.0,3,0.0,0.0,3,3,0.0,5,0.0,0.0,7,7,0.0
9,13,0,1.5579,4,1,52,3,0.0,0.0,3,3,0.0,3,0.0,0.0,3,3,0.0,5,0.0,0.0,7,7,0.0
9,14,0,1.5513,3,1,55,3,0.3333,0.0,3,3,0.0,3,0.0,0.0,3,3,0.0,5,0.0,0.0,7,7,0.0
9,15,0,1.4356,4,1,30,4,0.0,0.0,4,4,0.0,3,0.0,0,0,2,0,3,0.0,0,0,2,0
9,16,0,1.584,4,1,38,4,0.0,0.0,4,4,0.0,3,0.0,0,0,2,0,3,0.0,0,0,2,0
9,17,0,1.5052,4,1,52,4,0.0,0.0,4,4,0.0,3,0.0,0,0,2,0,3,0.0,0,0,2,0
9,18,0,1.5831,4,1,56,4,0.25,0.0,4,4,0.0,3,0.0,0,0,2,0,3,0.0,0,0,2,0
9,19,0,1.5355,4,1,47,4,0.0,0.0,4,4,0.0,3,0.0,0,0,2,0,3,0.0,0,0,2,0
9,20,0,1.5129,4,1,40,3,0.0,0.0,4,4,0.0,3,0.0,0.0,3,3,0.0,4,0.0,0.0,5,5,0.0
9,21,0,1.5706,4,1,55,4,0.0,0.0,4,4,0.0,3,0.0,0.0,3,3,0.0,3,0.0,0,0,1,0
9,22,0,1.4772,4,0,48,5,0.0909,0.0,11,11,0.0,4,0.0,0.0,5,5,0.0,3,0.1429,0.0,7,7,0.0
9,23,0,1.4611,4,0,49,3,0.0,0.0,6,6,0.0,3,0.0,0.0,5,5,0.0,3,0.0,0,0,2,0
9,24,0,1.5844,4,0,53,4,0.0,0.0,8,8,0.0,3,0.0,0.0,4,4,0.0,3,0.2,0.0,5,5,0.0
9,25,0,1.5263,4,0,39,4,0.0,0.0,6,6,0.0,3,0.0,0,0,1,0,4,0.0,0.0,6,6,0.0
