seed,global_k,global_sw,div_ratio,regime,mean_bnd_links,mean_bnd_weight,concept_entropy,A_persist,A_max_streak,A_mean_isl,B_persist,B_max_streak,B_mean_isl,r0_concept,r1_concept,r2_concept,r3_concept
123,4,50.0,0.4,long_drift,673.4,18.8269,1.5522,0.04,1,0.04,0.0,0,0.0,A,B,A,B
1337,4,58.3,0.44,short_burst,672.5,18.8023,1.5384,0.12,1,0.12,0.08,1,0.08,A,B,A,B
2024,4,54.2,0.36,short_burst,673.3,18.5719,1.5556,0.08,1,0.08,0.12,1,0.12,A,B,A,B
314,4,45.8,0.32,short_burst,676.1,18.9209,1.531,0.08,1,0.08,0.0,0,0.0,A,B,A,B
42,4,33.3,0.24,short_burst,675.2,18.865,1.5289,0.08,1,0.08,0.04,1,0.04,A,B,A,B
456,4,8.3,0.32,long_drift,670.6,18.5431,1.5575,0.0,0,0.0,0.04,1,0.04,A,B,A,B
55,1,58.3,0.64,long_drift,676.8,18.8429,1.543,0.28,2,0.28,0.04,1,0.04,A,B,A,B
7,4,37.5,0.32,long_drift,672.6,18.5279,1.5244,0.04,1,0.04,0.08,1,0.08,A,B,A,B
789,4,33.3,0.24,short_burst,666.8,18.4735,1.5538,0.12,2,0.12,0.08,2,0.08,A,B,A,B
999,4,8.3,0.12,mixed,662.8,18.4373,1.5256,0.08,1,0.08,0.12,1,0.12,A,B,A,B
