seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag
999,1,0,0,912,0,0,900,675,18.5083,1.5848,2695,A,B,A,B,0,0
999,2,1,3,229,0,0,214,680,18.5732,1.5824,641,A,B,A,B,0,0
999,3,0,0,38,0,0,36,639,17.9402,1.5699,101,A,B,A,B,0,1
999,4,0,0,14,0,0,14,671,18.4347,1.5683,38,A,B,A,B,3,1
999,5,0,0,10,0,0,14,681,19.1848,1.5709,37,A,B,A,B,3,1
999,6,0,0,6,0,0,9,672,18.3847,1.543,26,A,B,A,B,4,0
999,7,0,0,9,1,1,5,700,18.8842,1.5161,25,A,B,A,B,4,0
999,8,0,0,12,0,0,10,628,16.8531,1.5746,31,A,B,A,B,4,0
999,9,0,0,8,0,0,5,658,18.7108,1.544,22,A,B,A,B,4,0
999,10,0,0,4,0,0,9,657,18.0981,1.4098,28,A,B,A,B,4,0
999,11,0,0,2,0,0,7,678,19.4518,1.2647,23,neutral,B,A,B,4,0
999,12,0,0,9,0,0,15,671,18.6092,1.5544,37,A,B,A,B,4,0
999,13,0,0,7,1,2,12,658,18.2326,1.5448,27,A,B,A,B,4,0
999,14,0,0,11,0,0,6,711,20.1939,1.5204,23,A,B,A,B,4,0
999,15,0,0,13,0,0,6,623,16.5563,1.4506,24,A,B,A,B,4,0
999,16,0,0,9,0,0,13,664,18.241,1.5544,37,A,B,A,B,4,0
999,17,0,0,12,0,0,7,642,17.2182,1.53,33,A,B,A,neutral,4,0
999,18,1,2,6,0,0,13,627,19.2708,1.5189,29,A,B,A,B,4,0
999,19,0,0,15,0,0,17,658,17.5871,1.469,38,A,B,A,B,4,0
999,20,0,0,17,0,0,16,650,17.7102,1.5813,52,A,B,A,B,4,0
999,21,0,0,16,1,2,15,683,20.8611,1.557,41,A,B,A,B,4,0
999,22,0,0,14,0,0,14,685,18.9027,1.5762,39,A,B,A,B,4,0
999,23,0,0,10,0,0,11,668,18.0707,1.581,33,A,B,A,B,4,0
999,24,0,0,9,0,0,6,639,18.4358,1.543,26,A,B,A,B,4,0
999,25,0,0,14,0,0,12,653,18.0186,1.4295,30,A,B,A,B,4,0
