seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,r0_entropy,r1_entropy,r2_entropy,r3_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag,merge_count,split_count
88,1,0,0,932,1,2,854,705,20.5812,1.5837,0.9108,0.947,0.9314,0.9214,2720,A,B,A,B,0,0,0,0
88,2,0,0,189,0,0,169,707,20.5392,1.5827,0.8845,0.971,0.9646,0.8939,550,A,B,A,B,1,1,0,0
88,3,0,0,31,1,1,27,663,17.9007,1.58,0.8997,0.9544,0.9183,0.9852,91,A,B,A,B,3,1,0,0
88,4,1,2,7,1,1,11,665,19.2842,1.5559,0.9852,0.9911,0.7219,0.8113,29,A,B,A,B,1,1,0,0
88,5,0,0,8,0,0,14,679,19.488,1.5036,0.9183,1.0,0.971,0.9457,41,A,B,A,B,4,0,0,0
88,6,0,0,15,0,0,12,635,16.8009,1.5046,0.9641,1.0,0.971,0.9968,53,A,B,A,B,3,1,0,0
88,7,0,0,10,0,0,5,688,19.5215,1.5126,0.9183,0.9183,1.0,0.8113,26,A,B,A,neutral,4,0,0,0
88,8,0,0,10,0,0,12,683,19.8814,1.5306,0.9183,0.469,0.0,0.971,28,A,B,A,B,1,1,0,0
88,9,0,0,18,0,0,15,647,20.3761,1.5721,0.9183,0.7219,0.9544,0.5436,46,A,B,A,B,4,0,0,0
88,10,0,0,19,1,3,14,652,18.2922,1.5488,0.65,0.9799,0.8113,0.5436,44,A,B,A,B,4,0,0,0
88,11,0,0,13,0,0,21,649,18.0649,1.4552,0.5917,0.7793,0.5436,0.6194,41,A,B,A,B,3,1,0,0
88,12,0,0,13,0,0,11,663,19.0205,1.5409,0.0,0.5917,0.5917,1.0,31,A,B,A,B,1,1,0,0
88,13,0,0,13,0,0,12,673,18.9946,1.5144,0.0,0.469,0.8631,1.0,31,A,B,A,B,4,0,0,0
88,14,0,0,9,0,0,6,751,21.2682,1.5653,0.8631,0.9544,0.9852,0.0,23,A,B,A,B,4,0,0,0
88,15,0,0,13,0,0,7,707,19.661,1.5175,0.8813,0.9183,0.5917,0.8113,27,A,B,A,B,4,0,0,0
88,16,0,0,10,0,0,7,639,17.2016,1.5514,0.9457,1.0,0.0,0.9852,29,A,B,A,B,4,0,0,0
88,17,0,0,6,0,0,15,655,18.566,1.4948,0.9183,0.4395,0.9183,0.9799,32,A,B,A,B,4,0,0,0
88,18,0,0,13,0,0,11,641,18.5767,1.5179,0.8631,0.8113,0.5033,0.0,30,A,B,A,B,4,0,0,0
88,19,0,0,13,0,0,11,657,18.7428,1.5807,0.9457,0.9852,0.9183,0.0,37,A,B,A,B,4,0,0,0
88,20,0,0,12,0,0,8,675,18.0783,1.5656,0.9852,0.9852,0.8454,0.7219,30,A,B,A,B,4,0,0,0
88,21,0,0,15,1,3,10,652,17.8289,1.5613,0.994,0.9911,0.8113,0.9544,40,A,B,A,B,4,0,0,0
88,22,0,0,14,0,0,14,690,19.5133,1.585,0.9183,0.9544,1.0,0.469,42,A,B,A,B,3,1,0,0
88,23,0,0,13,1,2,17,633,18.2426,1.5728,0.9183,0.8905,0.9457,0.7219,43,A,B,A,B,1,1,0,0
88,24,0,0,10,0,0,11,673,19.4784,1.5835,0.7219,0.9457,0.971,0.7219,31,A,B,A,B,3,1,0,0
88,25,1,2,13,0,0,8,655,17.5926,1.5557,0.8631,1.0,0.9183,0.8113,33,A,B,A,B,4,0,0,0
