seed,global_k,global_sw,div_ratio,regime,mean_bnd_links,mean_bnd_weight,concept_entropy,merge_count,split_count,diffusion_events,corr_div_ent,A_persist,A_max_streak,A_mean_isl,B_persist,B_max_streak,B_mean_isl,r0_concept,r1_concept,r2_concept,r3_concept
1,4,33.3,0.6,long_drift,680.2,19.0361,1.5528,0,0,27739,0.2438,0.12,1,0.12,0.0,0,0.0,A,B,A,B
10,4,37.5,0.32,short_burst,672.4,18.8121,1.5334,0,0,27766,-0.3025,0.12,1,0.12,0.28,2,0.28,A,B,A,B
11,4,37.5,0.6,long_drift,681.5,19.0263,1.5394,0,0,28124,-0.6224,0.12,1,0.12,0.04,1,0.04,A,B,A,B
12,4,37.5,0.48,long_drift,685.0,18.8466,1.5463,0,0,27914,-0.0314,0.08,1,0.08,0.04,1,0.04,A,B,A,B
13,4,50.0,0.44,short_burst,665.7,18.559,1.5192,0,0,27213,0.0197,0.04,1,0.04,0.04,1,0.04,A,B,A,B
14,4,62.5,0.52,long_drift,680.4,18.9053,1.5252,0,0,27791,-0.0809,0.16,3,0.16,0.0,0,0.0,A,B,A,B
15,4,33.3,0.56,long_drift,673.6,18.766,1.5474,0,0,27983,0.3878,0.08,1,0.08,0.08,1,0.08,A,B,A,B
16,4,66.7,0.44,short_burst,679.0,18.9126,1.5465,0,0,27721,-0.0296,0.04,1,0.04,0.08,1,0.08,A,B,A,B
17,4,50.0,0.36,short_burst,678.9,19.0737,1.5422,0,0,27636,0.0793,0.04,1,0.04,0.04,1,0.04,A,B,A,B
18,4,25.0,0.16,short_burst,665.5,18.3661,1.5514,0,0,27373,0.2811,0.12,1,0.12,0.04,1,0.04,A,B,A,B
19,4,50.0,0.52,long_drift,675.7,18.7861,1.5101,0,0,27810,0.5158,0.12,1,0.12,0.04,1,0.04,A,B,A,B
2,4,58.3,0.36,short_burst,662.8,18.4177,1.5309,0,0,27621,-0.2618,0.08,1,0.08,0.08,1,0.08,A,B,A,B
20,4,33.3,0.56,long_drift,675.5,18.9356,1.5273,0,0,27721,-0.0334,0.16,2,0.2,0.04,1,0.04,A,B,A,B
3,4,33.3,0.28,short_burst,669.1,18.6602,1.5553,0,0,27778,-0.0228,0.08,2,0.08,0.12,1,0.12,A,B,A,B
4,4,29.2,0.48,long_drift,677.6,18.7781,1.5579,0,0,27747,-0.3376,0.08,1,0.08,0.08,1,0.08,A,B,A,B
5,4,45.8,0.4,long_drift,674.3,18.7266,1.5464,0,0,27964,0.3944,0.08,1,0.12,0.12,1,0.12,A,B,A,B
6,4,25.0,0.32,short_burst,670.0,18.7392,1.5484,0,0,27299,0.2526,0.04,1,0.04,0.08,1,0.08,A,B,A,B
7,4,45.8,0.64,long_drift,676.0,18.6825,1.5492,0,0,27739,0.0838,0.08,1,0.08,0.04,1,0.04,A,B,A,B
8,4,41.7,0.28,short_burst,669.8,18.4247,1.534,0,0,27344,0.1346,0.0,0,0.0,0.08,1,0.08,A,B,A,B
9,4,29.2,0.32,long_drift,680.9,18.9177,1.5513,0,0,27768,0.1118,0.04,1,0.04,0.08,1,0.08,A,B,A,B
