seed,win,tri,bnd_links,bnd_w,ent,n_br,persist_br,br_life,br_max,br_AC,br_BC,br_AB,gk,div,merge,split,A_isl,B_isl,C_isl,r0_c,r1_c,r2_c,r3_c
17,1,0,2163,61.3217,1.5849,9,0,1.0,1,4,4,1,0,0,0,0,0,0,0,A,B,A,B
17,2,0,2079,57.9663,1.5835,2,0,1.0,1,0,0,2,3,1,0,0,0,0,0,A,B,A,B
17,3,0,2093,56.6917,1.585,0,0,0,0,0,0,0,3,1,0,0,0,0,0,A,B,A,B
17,4,0,1988,54.5384,1.5835,3,0,1.0,1,1,0,2,1,1,0,0,1,0,0,A,B,A,B
17,5,1,2110,59.0555,1.5677,4,0,1.0,1,2,1,1,1,1,0,0,0,0,0,A,B,A,B
17,6,0,2055,58.4788,1.51,5,0,1.0,1,2,1,2,3,1,0,0,0,0,0,A,B,A,B
17,7,0,2038,54.6178,1.5816,0,0,0,0,0,0,0,3,1,0,0,0,0,0,A,B,A,B
17,8,1,2116,61.4836,1.5671,8,0,1.0,1,3,4,1,1,1,0,0,0,0,0,A,B,C,B
17,9,0,2025,54.2518,1.5682,0,0,0,0,0,0,0,1,1,0,0,0,0,0,A,B,C,B
17,10,0,2088,59.86,1.5285,6,0,1.0,1,3,0,3,1,1,0,0,0,0,0,A,C,A,B
17,11,0,2052,56.3607,1.491,4,0,1.0,1,2,1,1,4,1,0,0,0,0,0,A,B,A,B
17,12,0,2067,56.563,1.5632,1,0,1.0,1,1,0,0,4,1,0,0,0,0,0,A,B,A,C
17,13,0,2009,54.1851,1.502,0,0,0,0,0,0,0,4,1,0,0,0,0,0,A,B,C,C
17,14,0,2147,59.5753,1.5613,4,0,1.0,1,0,1,3,4,1,0,0,0,0,0,A,C,A,B
17,15,1,2065,56.2881,1.5218,6,0,1.0,1,3,2,1,4,1,0,0,0,0,0,A,B,A,B
17,16,0,2010,53.6962,1.4683,1,0,1.0,1,0,1,0,3,1,0,0,0,0,0,A,B,C,B
17,17,0,1963,55.5477,1.5129,5,0,1.0,1,1,4,0,1,1,0,0,0,0,1,A,B,C,B
17,18,0,2099,56.9021,1.5601,0,0,0,0,0,0,0,4,1,0,0,0,0,0,A,B,A,B
17,19,0,2039,57.0651,1.4618,1,0,1.0,1,0,1,0,4,1,0,0,0,0,0,C,C,A,C
17,20,0,2092,56.6178,1.5762,0,0,0,0,0,0,0,4,1,0,0,0,0,0,A,B,A,B
17,21,0,2028,54.8794,1.5653,3,0,1.0,1,2,1,0,4,1,0,0,0,0,0,A,B,A,C
17,22,0,1984,56.0003,1.5727,7,0,1.0,1,3,0,4,4,1,0,0,0,0,0,A,B,A,C
17,23,0,2111,60.7903,1.547,7,0,1.0,1,3,2,2,4,1,0,0,0,0,0,A,B,A,B
17,24,0,2021,54.1465,1.5263,1,0,1.0,1,0,1,0,4,1,0,0,0,0,0,A,C,A,B
17,25,0,2074,56.7062,1.5679,4,0,1.0,1,2,0,2,4,1,0,0,0,0,0,A,B,A,B
