seed,win,tri,bnd_links,bnd_w,ent,n_br,persist_br,br_life,br_max,gk,div,svi,A_isl,B_isl,C_isl,r0_c,r1_c,r2_c,r3_c,isl_0.10,cisl_0.10,mix_0.10,isl_0.15,cisl_0.15,mix_0.15,isl_0.20,cisl_0.20,mix_0.20,isl_0.25,cisl_0.25,mix_0.25,isl_0.30,cisl_0.30,mix_0.30
8,1,0,2094,57.3027,1.5828,0,0,0,0,0,0,0.0,0,0,0,A,B,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,2126,60.2036,1.5794,4,0,1.0,1,0,0,0.0,0,0,0,A,B,A,B,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0
8,3,0,2050,56.0278,1.5639,2,0,1.0,1,0,1,0.0,0,0,0,A,C,A,B,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8,4,1,2060,59.6166,1.5831,14,0,1.0,1,1,1,0.0,0,0,0,A,B,A,B,3,0,1,3,0,1,3,0,1,3,0,1,2,0,1
8,5,0,1989,54.7485,1.5838,4,0,1.0,1,1,1,0.0,0,0,0,A,B,A,B,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
8,6,0,2002,55.0246,1.5333,5,0,1.0,1,1,1,0.0,0,0,0,C,B,A,C,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0
8,7,0,2121,59.0284,1.581,1,0,1.0,1,4,1,0.0,0,0,0,A,B,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,1,2089,59.8956,1.4548,7,0,1.0,1,4,0,1.2247,0,0,0,A,B,A,B,2,1,1,2,1,1,1,0,1,0,0,0,0,0,0
8,9,0,2091,57.2953,1.5147,4,0,1.0,1,4,0,0.0,0,0,0,A,B,A,B,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8,10,1,2078,59.245,1.5835,6,0,1.0,1,1,1,0.0,0,0,0,A,B,A,B,2,0,1,2,0,1,2,0,1,2,0,0,0,0,0
8,11,0,2066,56.1166,1.5682,1,0,1.0,1,1,1,0.0,0,0,0,C,B,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12,1,2074,59.5232,1.584,6,0,1.0,1,3,1,2.0,0,0,0,A,B,A,B,2,1,1,1,0,1,1,0,1,1,0,1,0,0,0
8,13,0,2080,56.9626,1.53,4,0,1.0,1,4,0,0.0,0,0,0,A,B,A,B,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,14,0,2046,57.6329,1.5715,1,0,1.0,1,4,0,0.0,0,0,0,A,B,C,B,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
8,15,0,1941,53.1181,1.5589,2,0,1.0,1,4,0,0.0,0,0,0,A,B,A,B,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,16,0,2053,58.8827,1.569,6,0,1.0,1,4,0,0.0,0,0,0,A,B,C,B,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
8,17,0,2050,56.4438,1.5275,4,0,1.0,1,1,1,0.0,0,0,0,A,B,C,C,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,18,0,2069,59.1605,1.5512,10,0,1.0,1,4,0,0.0,0,0,0,A,B,A,C,4,0,0,3,0,0,3,0,0,2,0,0,2,0,0
8,19,0,2114,59.0595,1.4747,6,0,1.0,1,3,1,0.0,0,0,0,A,B,A,C,2,0,1,2,0,1,1,0,0,1,0,0,1,0,0
8,20,0,2025,56.157,1.5575,6,0,1.0,1,4,0,0.0,0,0,0,A,B,A,C,2,0,0,2,0,0,2,0,0,2,0,0,1,0,0
8,21,0,2105,56.9745,1.3844,2,0,1.0,1,4,0,0.0,0,0,0,C,B,A,B,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
8,22,0,2067,55.9623,1.5622,0,0,0,0,4,0,0.0,0,0,0,A,B,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,23,0,2003,55.3121,1.5697,3,0,1.0,1,4,0,0.0,0,0,0,A,B,A,B,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,24,0,2053,55.6539,1.5052,0,0,0,0,3,1,0.0,0,0,0,C,B,C,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,25,0,1979,53.4332,1.5697,2,0,1.0,1,4,0,0.0,0,0,0,A,B,C,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
