seed,gk,sw100,div,entropy,tri,depth_mean,chains,A_drift_bnd,A_drift_near,A_drift_deep,A_erosion_d,A_core_pres,A_bnd_k,A_bnd_delta,A_deep_delta,B_drift_bnd,B_drift_near,B_drift_deep,B_erosion_d,B_core_pres,B_bnd_k,B_bnd_delta,B_deep_delta,C_drift_bnd,C_drift_near,C_drift_deep,C_erosion_d,C_core_pres,C_bnd_k,C_bnd_delta,C_deep_delta
1,4,20.8,0.12,1.5468,3,2.332,25,1.539491,1.573538,1.811167,4,0.0182,1.87,-0.084226,0.203006,1.553961,1.534222,1.790493,4,0.0,1.85,-0.015584,1.429672,1.578476,1.586232,1.020905,4,0.2,1.87,-0.043108,-2.498248
10,4,33.3,0.36,1.5368,2,2.334,22,1.558957,1.521146,1.418312,6,0.0,1.87,-0.05438,-0.803115,1.578734,1.625713,1.042628,4,0.0,1.85,-0.05609,-1.415025,1.570796,1.62136,1.84349,4,0.0,1.89,-0.024814,1.022164
11,4,41.7,0.52,1.5285,3,2.336,19,1.569725,1.601891,1.734191,3,0.0,1.87,0.024764,0.359107,1.582376,1.581017,1.138151,3,0.1,1.87,-0.029799,-0.14875,1.597143,1.597115,1.085973,5,0.2,1.86,0.027957,1.356962
12,4,54.2,0.64,1.5406,2,2.33,17,1.573446,1.551958,1.410323,4,0.0,1.87,0.028531,0.877123,1.571546,1.553054,1.859107,5,0.0,1.87,0.09725,0.295039,1.569117,1.554389,1.210721,4,0.0333,1.87,-0.0524,-0.454825
13,4,62.5,0.8,1.5558,3,2.337,25,1.562532,1.540181,1.680391,4,0.0,1.88,-0.011395,0.890431,1.569836,1.587496,0.972713,3,0.44,1.87,0.080771,-2.153439,1.568678,1.578768,1.504221,3,0.0,1.86,0.034841,0.945472
14,4,45.8,0.6,1.5455,0,2.334,19,1.568417,1.629559,1.607772,4,0.05,1.91,0.040434,0.344297,1.579282,1.640473,1.526406,4,0.05,1.82,-0.032489,-0.883641,1.573088,1.58366,1.356514,5,0.0,1.88,0.057339,-0.601701
15,4,37.5,0.48,1.5493,1,2.334,22,1.557425,1.592081,1.345928,4,0.2,1.87,-0.047556,-0.564455,1.584043,1.591156,1.161895,3,0.0,1.88,-0.059714,-0.194238,1.575246,1.583196,1.569237,4,0.0,1.86,-0.01676,0.42387
16,4,50.0,0.6,1.5651,0,2.336,23,1.581969,1.541052,1.574395,4,0.0,1.91,0.029767,-0.514501,1.552617,1.577608,1.222957,5,0.2,1.88,0.027276,0.604913,1.594235,1.563054,1.505959,4,0.0,1.9,-0.038875,1.273529
17,4,20.8,0.64,1.534,2,2.331,27,1.583843,1.588941,1.584943,4,0.1,1.86,0.000972,1.282008,1.558412,1.514207,1.322212,4,0.2,1.85,-0.070202,0.028144,1.565988,1.597358,1.643431,4,0.05,1.84,-0.037629,-0.778105
18,4,29.2,0.6,1.5317,2,2.336,19,1.543705,1.559376,1.528412,4,0.0,1.89,-0.026656,0.619739,1.568237,1.527778,1.406702,4,0.2,1.87,0.10177,0.46097,1.590521,1.57864,1.855208,4,0.0,1.88,-0.01447,-0.671806
19,4,29.2,0.28,1.5427,2,2.34,23,1.567508,1.529388,1.3819,4,0.2,1.86,-0.028581,0.448295,1.574187,1.543832,0.864808,5,0.4286,1.88,-0.009929,-2.042526,1.5699,1.610085,1.474493,4,0.1,1.9,0.006074,-0.11281
2,4,37.5,0.6,1.5424,2,2.338,24,1.571945,1.565195,1.014771,4,0.2,1.86,0.042783,-0.383825,1.572398,1.547194,1.148765,4,0.2,1.86,0.02572,0.090271,1.558247,1.576022,1.437841,4,0.0,1.86,-0.055782,1.307392
20,4,54.2,0.84,1.5333,0,2.335,27,1.547902,1.561926,1.528261,5,0.0,1.87,-0.050086,-0.359259,1.57534,1.554712,1.561631,3,0.2,1.85,-0.022609,0.909679,1.552117,1.57074,1.170857,4,0.0,1.88,-0.040433,-1.116865
3,4,37.5,0.2,1.5333,2,2.332,29,1.558499,1.558557,1.737874,4,0.0,1.89,-0.020899,0.493417,1.567304,1.570598,1.322384,4,0.0,1.88,-0.012232,0.094971,1.576554,1.53218,1.798651,4,0.0,1.89,-0.028309,0.716656
4,4,20.8,0.64,1.5283,1,2.34,19,1.567293,1.580471,1.667724,4,0.0,1.86,0.038417,-0.042059,1.585302,1.541759,2.00188,4,0.0,1.87,0.005876,0.566954,1.569992,1.606464,1.200581,4,0.2,1.87,-0.091231,-1.757583
5,4,37.5,0.48,1.5407,2,2.336,16,1.560013,1.51859,0.933238,3,0.4,1.87,-0.015931,0.126171,1.578939,1.597314,2.029343,6,0.0333,1.9,0.02823,-1.089973,1.554631,1.566756,1.558815,5,0.0,1.88,-0.014571,0.381331
6,4,41.7,0.32,1.5445,1,2.335,29,1.559912,1.603079,1.306009,4,0.0333,1.88,0.032431,-0.835903,1.548557,1.606056,1.060114,3,0.2,1.88,-0.069532,-1.322328,1.545501,1.515325,1.349972,4,0.2,1.88,-0.024895,-1.914813
7,4,54.2,0.48,1.5474,2,2.332,20,1.580844,1.570067,1.357158,5,0.0333,1.89,0.042985,0.879711,1.568058,1.633509,0.924059,3,0.4,1.88,-0.074547,-0.631308,1.575021,1.5642,1.219736,4,0.4,1.9,0.019475,0.533438
8,4,45.8,0.44,1.5458,4,2.334,27,1.573843,1.524436,1.355717,4,0.2,1.89,0.027394,-0.587065,1.582411,1.573014,1.134974,5,0.2667,1.88,0.03641,-0.519971,1.561566,1.563847,1.637051,4,0.0,1.87,0.042136,0.353973
9,4,54.2,0.88,1.5576,1,2.34,29,1.552522,1.591109,1.553951,4,0.0,1.89,-0.102774,0.947845,1.574455,1.58957,1.639114,4,0.0,1.85,0.000286,-0.142282,1.575074,1.567957,1.211358,4,0.2,1.88,0.00684,-1.052634
