seed,win,tri,bnd_links,ent,n_br,persist_br,br_max,gk,div,A_isl,A_drift_bnd,A_drift_near,A_drift_deep,A_erosion_d,A_core_pres,A_bnd_k,B_isl,B_drift_bnd,B_drift_near,B_drift_deep,B_erosion_d,B_core_pres,B_bnd_k,C_isl,C_drift_bnd,C_drift_near,C_drift_deep,C_erosion_d,C_core_pres,C_bnd_k
19,1,0,2195,1.5823,8,0,1,0,0,0,1.578918,1.528697,1.329453,3,0.0,1.99,0,1.587051,1.625696,2.042526,4,0.0,1.99,0,1.548957,1.581182,1.198428,3,0.0,2.03
19,2,0,2083,1.5812,4,0,1,3,1,0,1.553949,1.581063,1.232002,3,0.0,1.85,0,1.505453,1.594732,1.955307,3,0.0,1.85,0,1.539196,1.593073,2.485074,3,0.0,1.87
19,3,0,2103,1.5847,7,0,1,3,1,0,1.544974,1.585877,1.04986,3,0.0,1.91,0,1.557537,1.463178,1.683017,3,0.0,1.88,0,1.520568,1.583777,1.028434,3,0.0,1.93
19,4,0,2046,1.572,4,0,1,4,0,1,1.561078,1.556067,1.285378,3,0.0,1.89,0,1.562456,1.661372,2.902848,3,0.0,1.87,0,1.598745,1.620546,1.914415,3,0.0,1.93
19,5,0,2026,1.5409,3,0,1,4,0,0,1.549626,1.46038,1.216858,4,0.0,1.85,0,1.570185,1.540425,1.326958,3,0.0,1.79,0,1.555246,1.537812,2.006955,4,0.1429,1.88
19,6,0,2028,1.5575,3,0,1,4,0,0,1.568715,1.523252,2.255367,3,0.0,1.91,0,1.594998,1.462718,1.499694,3,0.0,1.87,0,1.592835,1.60419,1.755338,4,0.0,1.9
19,7,0,2045,1.5099,2,0,1,4,0,0,1.547473,1.600532,0.621567,3,0.0,1.85,0,1.569394,1.499162,1.727942,3,0.0,1.86,0,1.617813,1.564746,0.751256,3,0.0,1.83
19,8,0,2031,1.5514,8,0,1,4,0,0,1.554028,1.574083,1.920869,4,0.0,1.87,0,1.525875,1.511465,1.410778,3,0.0,1.91,0,1.601612,1.550328,1.360142,5,0.0,1.86
19,9,0,2080,1.5706,9,0,1,4,0,0,1.585031,1.579246,1.979275,3,0.0,1.91,0,1.610959,1.516063,1.757051,5,0.0,1.84,0,1.642282,1.62726,2.117549,3,0.0,1.86
19,10,0,2053,1.5803,0,0,0,4,0,0,1.595216,1.502452,1.434699,5,0.0,1.92,0,1.532603,1.560774,1.709083,3,0.0,1.87,0,1.601014,1.623962,1.545202,3,0.25,1.83
19,11,0,2075,1.5651,4,0,1,4,0,0,1.585734,1.396534,0,2,1.0,1.89,0,1.533129,1.516836,1.041937,3,0.0,1.95,0,1.570006,1.582615,1.637477,3,0.0,1.91
19,12,1,2023,1.5546,6,0,1,1,1,0,1.607821,1.553595,1.507039,4,0.2,1.87,1,1.596699,1.55917,1.080037,5,0.2,1.88,0,1.572285,1.559888,0.861297,4,0.25,1.84
19,13,1,2105,1.5818,8,0,1,3,1,0,1.560769,1.561397,2.210896,4,0.0,1.9,0,1.575619,1.698672,1.265971,3,0.0,1.88,0,1.551727,1.638245,1.761478,4,0.0,1.9
19,14,0,2091,1.5496,8,0,1,3,1,0,1.599687,1.65946,1.309454,5,0.0,1.83,0,1.589253,1.537825,2.170527,4,0.0,1.94,1,1.539649,1.582218,1.04186,3,0.0,1.87
19,15,0,1974,1.5305,5,0,1,4,0,0,1.570363,1.628621,0.28169,3,0.0,1.86,0,1.563828,1.564907,1.634981,4,0.0,1.89,0,1.558083,1.645167,1.356684,4,0.0,1.9
19,16,0,2055,1.4412,5,0,1,4,0,0,1.574751,1.55285,2.07832,3,0.0,1.85,0,1.559935,1.527369,1.639073,4,0.0,1.83,0,1.576685,1.53926,1.000275,3,0.0,1.92
19,17,0,2133,1.5544,6,0,1,4,0,0,1.540303,1.574741,2.50485,4,0.0,1.95,0,1.576943,1.417064,2.087122,3,0.0,1.9,0,1.616073,1.569839,1.74577,4,0.0,1.88
19,18,0,2076,1.5754,0,0,0,3,1,0,1.575189,1.670779,1.291215,3,0.0,1.85,0,1.604415,1.555664,2.018321,3,0.0,1.88,0,1.63489,1.602669,1.19274,3,0.5,1.89
19,19,0,2023,1.5389,9,0,1,3,1,1,1.59371,1.443718,1.552329,4,0.0,1.85,0,1.542705,1.719651,1.897282,3,0.0,1.8,0,1.533386,1.597622,1.375737,3,0.0,1.87
19,20,0,2036,1.4919,3,0,1,4,0,0,1.530054,1.495923,1.633309,4,0.0,1.84,0,1.560193,1.486516,2.808596,3,0.0,1.84,0,1.585247,1.665552,1.681796,4,0.0,1.85
19,21,0,2074,1.4824,4,0,1,4,0,0,1.609055,1.53753,1.098797,3,0.0,1.85,0,1.568631,1.47502,1.013764,4,0.0,1.92,1,1.572691,1.643354,2.261687,3,0.0,1.93
19,22,0,2049,1.5803,2,0,1,4,0,0,1.557673,1.531622,1.835306,3,0.0,1.91,0,1.597004,1.591367,1.998528,4,0.0,1.88,1,1.596416,1.550575,1.209097,4,0.1667,1.92
19,23,0,2082,1.4518,4,0,1,4,0,0,1.541732,1.41016,0,2,1.0,1.85,0,1.565472,1.477361,1.311748,5,0.1429,1.86,0,1.579228,1.659215,2.32281,3,0.0,1.93
19,24,0,2152,1.4919,2,0,1,4,0,0,1.578745,1.598831,2.197648,3,0.0,1.9,0,1.562705,1.637507,0,2,1.0,1.87,0,1.546136,1.587924,0.493253,3,0.0,1.86
19,25,0,2020,1.5462,4,0,1,4,0,0,1.550337,1.568795,1.777748,4,0.0,1.81,0,1.577122,1.537903,0,2,1.0,1.85,0,1.555031,1.609357,1.085618,3,0.3333,1.85
