seed,amp,diff_prob,gk,sw100,div,entropy,entropy_std,entropy_dev,diffusion,depth_mean,tri,collapse,A_drift_bnd,A_drift_deep,A_erosion_d,A_core_pres,A_bnd_k,B_drift_bnd,B_drift_deep,B_erosion_d,B_core_pres,B_bnd_k,C_drift_bnd,C_drift_deep,C_erosion_d,C_core_pres,C_bnd_k
10,1.0,0.005,4,33.3,0.36,1.5368,0.0555,0.0032,69520,2.333,2,0,1.558957,1.418312,6,0.0,1.87,1.578734,1.042628,4,0.0,1.85,1.570796,1.84349,4,0.0,1.89
10,2.0,0.01,4,50.0,0.32,1.5382,0.0465,0.0018,140396,2.339,1,0,1.567395,1.41687,4,0.0,1.9,1.573669,1.020272,4,0.4,1.88,1.568107,1.247053,4,0.0,1.88
10,4.0,0.02,4,29.2,0.2,1.5435,0.0375,0.0035,280307,2.335,3,0,1.574271,1.076859,4,0.08,1.87,1.575971,1.580024,4,0.0,1.87,1.578,1.698906,4,0.0,1.88
10,8.0,0.04,4,20.8,0.56,1.5475,0.0365,0.0075,559720,2.335,3,0,1.574735,1.486788,4,0.0,1.87,1.552055,0.908633,4,0.4,1.88,1.551582,1.144083,5,0.2,1.9
11,1.0,0.005,4,41.7,0.52,1.5285,0.0893,0.0115,69638,2.335,3,0,1.569725,1.734191,3,0.0,1.87,1.582376,1.138151,3,0.1,1.87,1.597143,1.085973,5,0.2,1.86
11,2.0,0.01,4,33.3,0.32,1.5654,0.019,0.0254,139404,2.337,2,0,1.562948,1.883237,4,0.0,1.88,1.555734,2.109656,3,0.0667,1.85,1.567882,0.803158,4,0.2,1.89
11,4.0,0.02,4,45.8,0.32,1.5511,0.0318,0.0111,280659,2.333,0,0,1.56918,1.2414,4,0.0,1.86,1.557833,1.747119,4,0.0,1.89,1.585924,1.060395,4,0.2,1.86
11,8.0,0.04,4,54.2,0.4,1.5484,0.0343,0.0084,561317,2.333,1,0,1.574086,1.785733,6,0.05,1.88,1.559052,0.788234,4,0.2,1.86,1.583014,1.517546,4,0.2,1.87
12,1.0,0.005,4,54.2,0.64,1.5406,0.0402,0.0006,69437,2.33,2,0,1.573446,1.410323,4,0.0,1.87,1.571546,1.859107,5,0.0,1.87,1.569117,1.210721,4,0.0333,1.87
12,2.0,0.01,4,54.2,0.36,1.5413,0.0363,0.0013,139241,2.334,1,0,1.570903,1.302764,4,0.02,1.91,1.554571,1.578432,4,0.2,1.87,1.569555,1.268733,4,0.0,1.84
12,4.0,0.02,4,45.8,0.24,1.5335,0.0663,0.0065,279556,2.333,2,0,1.580976,1.387122,4,0.2,1.87,1.567348,1.887385,4,0.0,1.9,1.586256,1.677367,4,0.0,1.88
12,8.0,0.04,4,41.7,0.24,1.5475,0.0405,0.0075,561896,2.336,2,0,1.585522,1.959008,4,0.0,1.87,1.604649,0.938818,4,0.2,1.86,1.56641,0.817166,4,0.25,1.87
13,1.0,0.005,4,62.5,0.8,1.5558,0.0293,0.0158,70197,2.337,3,0,1.562532,1.680391,4,0.0,1.88,1.569836,0.972713,3,0.44,1.87,1.568678,1.504221,3,0.0,1.86
13,2.0,0.01,4,50.0,0.56,1.5543,0.0332,0.0143,140149,2.338,1,0,1.582749,1.574473,5,0.0,1.87,1.548633,1.602396,4,0.0,1.87,1.554908,1.296297,4,0.2,1.85
13,4.0,0.02,4,33.3,0.56,1.5504,0.0272,0.0104,280397,2.337,0,0,1.583268,1.154873,4,0.0,1.88,1.578887,1.187447,4,0.25,1.88,1.579392,0.924535,4,0.2,1.88
13,8.0,0.04,4,41.7,0.32,1.5362,0.0642,0.0038,560574,2.335,2,0,1.605293,1.48071,4,0.0,1.88,1.582927,1.955783,3,0.0,1.86,1.560142,1.363467,5,0.05,1.86
14,1.0,0.005,4,45.8,0.6,1.5455,0.0406,0.0055,69836,2.333,0,0,1.568417,1.607772,4,0.05,1.91,1.579282,1.526406,4,0.05,1.82,1.573088,1.356514,5,0.0,1.88
14,2.0,0.01,4,37.5,0.2,1.5559,0.0421,0.0159,139486,2.336,1,0,1.562782,1.15568,4,0.2,1.85,1.564306,1.369681,4,0.2,1.88,1.580867,0.896321,3,0.4333,1.87
14,4.0,0.02,4,37.5,0.56,1.5518,0.0337,0.0118,279960,2.341,1,0,1.556863,1.705863,4,0.0,1.91,1.559903,1.372964,4,0.1,1.87,1.582412,1.535106,4,0.0,1.89
14,8.0,0.04,4,50.0,0.48,1.5543,0.0448,0.0143,558505,2.338,1,0,1.557877,1.752619,3,0.1,1.87,1.570955,2.148311,4,0.0,1.86,1.583416,1.268962,4,0.2,1.88
15,1.0,0.005,4,37.5,0.48,1.5493,0.0397,0.0093,70086,2.334,1,0,1.557425,1.345928,4,0.2,1.87,1.584043,1.161895,3,0.0,1.88,1.575246,1.569237,4,0.0,1.86
15,2.0,0.01,4,50.0,0.36,1.5498,0.0382,0.0098,139795,2.338,0,0,1.576102,1.568891,4,0.05,1.9,1.584342,1.340483,5,0.2,1.86,1.58274,1.163757,3,0.25,1.87
15,4.0,0.02,4,45.8,0.68,1.5483,0.0295,0.0083,278858,2.339,2,0,1.570987,1.00035,3,0.2,1.89,1.565372,1.368928,3,0.4,1.87,1.562888,1.87186,4,0.0,1.86
