seed,win,tri,ent,gk,div,nC,A_drift_bnd,A_drift_deep,A_erosion_d,A_core_pres,A_bnd_k,B_drift_bnd,B_drift_deep,B_erosion_d,B_core_pres,B_bnd_k,C_drift_bnd,C_drift_deep,C_erosion_d,C_core_pres,C_bnd_k
14,1,1,1.5833,0,0,2713,1.541778,1.022498,3,0.0,1.95,1.60544,2.137572,3,0.0,2.06,1.552948,1.762803,3,0.0,1.92
14,2,0,1.5797,3,1,1066,1.546605,1.47988,4,0.0,1.88,1.51752,0.981952,3,0.0,1.81,1.556446,1.652506,3,0.0,1.89
14,3,0,1.5841,0,0,272,1.62198,0,2,1.0,1.82,1.567473,0.89217,3,0.0,1.86,1.563728,2.532139,3,0.0,1.87
14,4,0,1.5833,1,1,87,1.590368,1.807512,3,0.25,1.89,1.574243,1.686683,4,0.0,1.96,1.556789,0,2,1.0,1.9
14,5,0,1.5784,4,1,53,1.594602,1.389951,4,0.0,1.85,1.591198,1.949339,3,0.0,1.86,1.58518,1.387284,4,0.0,1.85
14,6,0,1.5578,1,1,45,1.563836,1.467114,3,0.0,1.81,1.595636,0.708063,3,0.25,1.85,1.529751,1.99437,3,0.0,1.82
14,7,0,1.5241,4,1,30,1.539949,2.214729,3,0.0,1.91,1.584927,2.052562,3,0.0,1.89,1.573761,0.272277,3,0.0,1.95
14,8,0,1.5782,4,1,29,1.596273,2.21955,3,0.0,1.94,1.615446,1.673668,3,0.0,1.89,1.552465,2.429985,4,0.0,1.93
14,9,0,1.581,1,1,33,1.56009,1.637294,3,0.0,1.88,1.568968,1.70578,3,0.0,1.85,1.559991,2.543142,3,0.0,1.84
14,10,0,1.5632,3,1,24,1.507679,1.644266,3,0.0,1.9,1.542112,0,2,1.0,1.85,1.555626,1.77701,3,0.0,1.83
14,11,0,1.5777,3,1,37,1.562385,0,2,1.0,1.85,1.577263,2.037485,3,0.0,1.89,1.611271,1.373818,3,0.0,1.85
14,12,0,1.5664,4,0,27,1.538433,2.446465,3,0.0,1.85,1.572899,1.240367,3,0.0,1.88,1.529933,0.604173,4,0.0,1.91
14,13,0,1.5387,4,0,34,1.539788,1.718259,3,0.0,1.93,1.566224,0,2,1.0,1.88,1.548223,0,2,1.0,1.89
14,14,0,1.5656,4,0,45,1.609902,1.850005,3,0.0,1.84,1.590148,2.973106,3,0.0,1.89,1.577907,1.316543,4,0.0,1.88
14,15,0,1.5842,4,0,43,1.578604,1.458182,4,0.0,1.94,1.577148,0.991314,4,0.0,1.91,1.572675,1.478647,4,0.0,1.86
14,16,0,1.5621,4,0,35,1.545479,2.104452,3,0.0,1.84,1.580193,0.868192,3,0.0,1.9,1.602433,2.57085,3,0.0,1.85
14,17,0,1.5,4,0,16,1.630383,1.768975,3,0.0,1.89,1.598757,1.247022,3,0.0,1.87,1.598641,1.914901,3,0.0,1.86
14,18,0,1.371,4,0,20,1.567181,0.554901,3,0.0,1.91,1.585819,1.595658,3,0.0,1.88,1.592453,1.777507,3,0.0,1.85
14,19,0,1.5827,4,0,25,1.573652,1.401883,3,0.0,1.85,1.587415,1.367666,3,0.0,1.87,1.506578,2.443708,3,0.0,1.83
14,20,0,1.519,4,0,42,1.571386,2.005019,3,0.0,1.89,1.495815,1.232701,4,0.0,1.84,1.519571,1.161187,3,0.2,1.81
14,21,0,1.565,4,0,54,1.552916,2.223339,3,0.0,1.82,1.612292,2.243811,3,0.0,1.89,1.555075,1.697659,4,0.0,1.86
14,22,0,1.5766,1,1,35,1.561191,0.475137,3,0.5,1.86,1.577236,2.653301,3,0.0,1.87,1.56717,1.43563,4,0.0,1.83
14,23,0,1.5822,1,1,46,1.563989,1.817429,3,0.0,1.9,1.524384,1.604636,3,0.0,1.79,1.568741,1.468419,4,0.0,1.89
14,24,0,1.5101,3,1,35,1.542074,1.970499,3,0.0,1.88,1.578573,2.190516,4,0.0,1.87,1.625784,1.743103,3,0.0,1.92
14,25,0,1.5436,4,0,40,1.569216,2.276692,3,0.0,1.9,1.562291,2.04929,4,0.0,1.87,1.600308,0,2,1.0,1.89
