seed,amp,diff_prob,gk,sw100,div,entropy,entropy_std,entropy_dev,diffusion,tri,collapse,A_erosion_d,A_core_pres,A_k_var,A_sub_clust,A_core_size,A_core_mk,B_erosion_d,B_core_pres,B_k_var,B_sub_clust,B_core_size,B_core_mk,C_erosion_d,C_core_pres,C_k_var,C_sub_clust,C_core_size,C_core_mk
10,128.0,0.64,4,45.8,0.44,1.557,0.0398,0.017,8961979,3,0,4,0.4,0.0,2.2,3.0,0.0,4,0.2,0.0,1.4,2.0,0.0,4,0.0,0.0,3.6,4.0,0.0
10,16.0,0.08,4,54.2,0.44,1.5476,0.0431,0.0076,1117629,4,0,4,0.2,0.0,3.4,4.0,0.0,6,0.02,0.0,4.2,5.0,0.0,5,0.0,0.0,5.0,5.0,0.0
10,32.0,0.16,4,41.7,0.44,1.554,0.0274,0.014,2237395,1,0,4,0.0,0.0,3.8,4.0,0.0,4,0.0,0.0,3.8,4.0,0.0,5,0.0,0.0,3.4,4.0,0.0
10,64.0,0.32,4,37.5,0.28,1.5636,0.0197,0.0236,4479589,4,0,4,0.0,0.0,4.2,4.0,0.0,3,0.2,0.0,0.0,1.0,0.0,5,0.0,0.0,3.0,4.0,0.0
1,128.0,0.64,4,45.8,0.52,1.5541,0.0269,0.0141,8949880,1,0,4,0.2,0.0,2.6,3.0,0.0,3,0.0,0.0,0.8,2.0,0.0,3,0.0,0.0,0.6,2.0,0.0
1,16.0,0.08,4,41.7,0.36,1.5434,0.0451,0.0034,1120180,2,0,4,0.25,0.0,0.8,2.0,0.0,4,0.24,0.0,2.2,3.0,0.0,3,0.2,0.0,0.0,1.0,0.0
1,32.0,0.16,4,54.2,0.72,1.5533,0.0285,0.0133,2239471,3,0,3,0.0667,0.0,2.6,3.0,0.0,5,0.2,0.0,1.8,3.0,0.0,5,0.2,0.0,2.6,3.0,0.0
1,64.0,0.32,4,50.0,0.56,1.5571,0.0277,0.0171,4476980,2,0,4,0.0,0.0,4.0,4.0,0.0,4,0.2,0.0,1.6,2.0,0.0,4,0.0,0.0,3.0,4.0,0.0
2,128.0,0.64,1,50.0,0.76,1.5625,0.0245,0.0225,8985042,5,1,4,0.0,0.0,3.2,4.0,0.0,4,0.0,0.0,2.2,3.0,0.0,4,0.0,0.0,3.4,4.0,0.0
2,16.0,0.08,4,25.0,0.16,1.5524,0.0355,0.0124,1118783,5,0,4,0.025,0.0444,4.2,5.0,0.07,4,0.2,0.0,4.0,4.0,0.0,3,0.24,0.0,2.6,3.0,0.0
2,32.0,0.16,4,37.5,0.72,1.5532,0.0439,0.0132,2243001,3,0,4,0.0,0.0,4.6,5.0,0.0,4,0.2,0.0,2.6,3.0,0.0,4,0.2444,0.0,3.6,4.0,0.0
