seed,win,tri,ent,gk,div,nC,A_erosion_d,A_core_pres,A_core_k_var,A_sub_clust,A_core_size,A_core_mk,B_erosion_d,B_core_pres,B_core_k_var,B_sub_clust,B_core_size,B_core_mk,C_erosion_d,C_core_pres,C_core_k_var,C_sub_clust,C_core_size,C_core_mk
1,1,1,1.5839,0,0,2614,4,0.0,0.0,7,7,0.0,3,0.0,0.0,3,3,0.0,3,0.0,0.0,3,3,0.0
1,2,0,1.5848,0,1,997,4,0.0,0.0,7,7,0.0,3,0.0,0.0,3,3,0.0,3,0.0,0.0,3,3,0.0
1,3,0,1.5832,1,1,223,4,0.0,0.0,7,7,0.0,3,0.0,0.0,3,3,0.0,3,0.0,0.0,3,3,0.0
1,4,0,1.5731,3,1,76,4,0.0,0.0,7,7,0.0,3,0.0,0.0,3,3,0.0,3,0.0,0.0,3,3,0.0
1,5,0,1.4948,4,1,32,3,0.3333,0.0,3,3,0.0,3,0.0,0.0,4,4,0.0,2,1.0,0,0,0,0
1,6,0,1.5702,4,1,43,3,0.0,0.0,3,3,0.0,3,0.0,0.0,4,4,0.0,2,1.0,0,0,0,0
1,7,0,1.5514,4,1,29,3,0.0,0.0,3,3,0.0,3,0.0,0.0,4,4,0.0,2,1.0,0,0,0,0
1,8,0,1.5502,4,1,28,3,0.0,0.0,3,3,0.0,3,0.0,0.0,4,4,0.0,2,1.0,0,0,0,0
1,9,0,1.5526,4,1,54,3,0.0,0.0,3,3,0.0,3,0.0,0.0,4,4,0.0,2,1.0,0,0,0,0
1,10,0,1.5494,4,1,43,3,0.0,0.0,4,4,0.0,3,0.0,0,0,1,0,4,0.0,0.0,9,9,0.0
1,11,0,1.5798,4,1,61,3,0.0,0.0,4,4,0.0,3,0.0,0,0,1,0,4,0.0,0.0,9,9,0.0
1,12,0,1.5401,1,1,35,3,0.5,0.0,4,4,0.0,3,0.0,0,0,1,0,4,0.1111,0.0,9,9,0.0
1,13,0,1.5135,1,1,47,3,0.0,0.0,4,4,0.0,3,0.0,0,0,1,0,4,0.0,0.0,9,9,0.0
1,14,0,1.5711,2,1,52,3,0.0,0.0,4,4,0.0,3,0.0,0,0,1,0,4,0.0,0.0,9,9,0.0
1,15,0,1.546,4,1,45,3,0.0,0,0,2,0,4,0.0,0.0,9,9,0.0,2,1.0,0,0,0,0
1,16,0,1.5477,3,1,34,3,0.0,0,0,2,0,4,0.0,0.0,9,9,0.0,2,1.0,0,0,0,0
1,17,0,1.5408,4,0,45,3,0.0,0,0,2,0,4,0.0,0.0,9,9,0.0,2,1.0,0,0,0,0
1,18,1,1.5389,4,0,40,3,0.0,0,0,2,0,4,0.0,0.0,9,9,0.0,2,1.0,0,0,0,0
1,19,1,1.579,1,1,54,3,0.0,0,0,2,0,4,0.1111,0.0,9,9,0.0,2,1.0,0,0,0,0
1,20,0,1.5653,4,0,35,3,0.125,0.0,8,8,0.0,4,0.0,0.0,7,7,0.0,3,0.0,0.0,4,4,0.0
1,21,0,1.5653,4,0,23,3,0.0,0.0,5,5,0.0,5,0.0,0.0,5,5,0.0,3,0.0,0,0,2,0
1,22,0,1.5524,4,0,30,3,0.0,0,0,2,0,4,0.0,0.0,4,4,0.0,3,0.0,0,0,1,0
1,23,0,1.4607,3,1,21,3,0.0,0,0,2,0,3,0.0,0,0,2,0,5,0.0,0.0,9,9,0.0
1,24,0,1.5621,1,1,35,3,0.3333,0.0,3,3,0.0,2,1.0,0,0,0,0,2,1.0,0,0,0,0
1,25,0,1.5754,4,0,44,3,0.0,0.0,5,5,0.0,3,0.0,0,0,2,0,3,0.0,0.0,4,4,0.0
