wave_number,amplitude,reached,max_hop,severed,activated,n_clusters,cluster_births,cluster_deaths,cluster_reformations,homeostatic,proto_memory,plastic_nodes,mean_plasticity,rewire_attempts,rewire_successes,hardened_links,hardened_formed,mean_hardening,resistance_mean,resistance_max,resistance_rising,alive_links,entropy,k_star,physics_seconds
1,0.5,181,9,5,0,1,1,0,0,0,0,9,0.8,107,0,0,0,0.0,0.007,0.007,0,3341,1.9992,0,80.1
2,0.5,181,9,9,0,0,0,1,0,0,0,14,0.8,164,3,0,0,0.0,0.0,0.0,0,3040,0.0,0,118.9
3,0.5,91,9,6,0,1,1,0,0,0,0,11,0.8,125,1,1,1,0.12,0.007,0.007,0,3151,0.0,0,147.2
4,0.5,181,9,6,0,1,1,1,0,0,0,10,0.8,119,0,0,0,0.0,0.007,0.007,0,3123,0.0,0,168.2
5,0.5,181,9,6,0,1,1,1,0,0,0,9,0.8,108,0,0,0,0.0,0.007,0.007,0,3122,0.0,0,179.8
6,0.5,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,61.7
7,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.5
8,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.5
9,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.4
10,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.4
