window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,mean_cluster_size,max_cluster_size,mean_density_ratio,max_density_ratio,encap_events_total,dissolve_events_total,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,pressure_events,nodes_shielded,hardened_links_count,mean_hardening,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,3362,3,0,3,4.3,5,0.89,1.0,0,0,0,0,0,0,28,0,0,0.0,0,1.9992,1.9992,0,81.3
2,5000,3139,1,0,1,4.0,4,0.0,0.0,0,0,0,0,0,0,22,0,0,0.0,0,1.9977,-0.0015,0,120.1
3,5000,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0.0,3,1.9841,-0.0136,0,144.9
4,5000,3150,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0.0,3,1.9732,-0.0109,0,154.9
5,5000,3103,1,0,1,4.0,4,0.5,0.5,0,0,0,0,0,0,22,0,0,0.0,3,1.9568,-0.0164,1,175.4
6,5000,3062,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0.0,3,1.853,-0.1038,1,185.5
7,4994,3112,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0.0,3,1.9406,0.0877,1,191.5
8,4989,3106,2,0,2,3.5,4,0.44,0.89,0,0,0,0,0,0,26,0,0,0.0,3,1.8253,-0.1153,1,191.5
9,4981,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.0,3,1.8826,0.0573,1,198.1
10,4973,2964,1,0,1,5.0,5,0.6,0.6,0,0,0,0,0,0,24,0,0,0.0,3,1.8765,-0.0061,1,209.8
11,4964,3049,1,0,1,5.0,5,0.23,0.23,0,0,0,0,0,0,21,0,0,0.0,3,1.7461,-0.1304,1,206.1
12,4957,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0.0,3,1.9197,0.1736,2,201.1
13,4949,2928,2,0,2,4.5,5,1.04,1.12,0,0,0,0,0,0,33,0,0,0.0,3,1.8454,-0.0743,1,175.8
14,4942,3090,1,0,1,4.0,4,0.33,0.33,0,0,0,0,0,0,29,0,0,0.0,3,1.9242,0.0788,1,182.0
15,4937,3039,2,0,2,3.5,4,0.25,0.5,0,0,0,0,0,0,20,0,0,0.0,3,1.926,0.0018,2,177.0
16,4930,3055,1,0,1,3.0,3,0.67,0.67,0,0,0,0,0,0,30,0,0,0.0,3,1.9575,0.0316,2,187.3
17,4909,3065,2,0,2,3.5,4,0.83,1.0,0,0,0,0,0,0,31,0,0,0.0,3,1.935,-0.0225,2,183.9
18,4895,2929,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0.0,3,1.9351,0.0001,2,172.4
19,4886,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.0,3,1.9395,0.0044,1,174.9
20,4885,3002,2,0,2,5.0,5,1.1,1.6,0,0,0,0,0,0,19,0,0,0.0,3,1.9727,0.0332,1,183.9
