window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,mean_cluster_size,max_cluster_size,mean_density_ratio,max_density_ratio,encap_events_total,dissolve_events_total,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,pressure_events,nodes_shielded,hardened_links_count,mean_hardening,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,3322,1,0,1,5.0,5,0.0,0.0,0,0,0,0,0,0,19,0,0,0.0,0,1.9968,1.9968,0,78.8
2,5000,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0.0,3,1.9949,-0.002,0,114.8
3,5000,3155,1,0,1,5.0,5,0.34,0.34,0,0,0,0,0,0,31,0,0,0.0,3,1.9899,-0.005,0,143.3
4,5000,3029,2,0,2,5.0,5,0.43,0.69,0,0,0,0,0,0,21,0,0,0.0,1,1.9339,-0.0559,1,161.1
5,5000,3082,2,0,2,4.5,5,0.9,1.5,0,0,0,0,0,0,21,0,0,0.0,3,1.962,0.0281,2,165.9
6,5000,3037,2,0,2,4.0,5,0.62,0.8,0,0,0,0,0,0,23,0,0,0.0,3,1.9483,-0.0137,2,175.9
7,4998,3068,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.0,3,1.952,0.0037,2,188.7
8,4997,3166,1,0,1,3.0,3,0.5,0.5,0,0,0,0,0,0,30,0,0,0.0,3,1.9172,-0.0348,1,193.5
9,4991,3010,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0.0,3,1.8232,-0.094,1,202.9
10,4990,3104,1,0,1,5.0,5,0.69,0.69,0,0,0,0,0,0,23,0,0,0.0,3,1.976,0.1528,1,198.3
11,4986,3010,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0.0,3,1.835,-0.1409,1,207.7
12,4978,3063,4,0,4,4.8,5,1.26,2.0,0,0,0,0,0,0,16,0,0,0.0,3,1.9571,0.1221,1,213.7
13,4975,3102,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0.0,3,1.9761,0.0189,1,201.0
14,4968,3112,1,0,1,3.0,3,0.67,0.67,0,0,0,0,0,0,20,0,0,0.0,3,1.9589,-0.0172,1,180.4
15,4967,3032,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0.0,3,1.9017,-0.0572,1,185.1
16,4965,3044,1,0,1,5.0,5,2.0,2.0,0,0,0,0,0,0,23,0,0,0.0,3,1.9612,0.0595,1,185.4
17,4965,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0.0,3,1.9656,0.0044,1,185.7
18,4962,2999,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.0,3,1.9641,-0.0016,1,188.0
19,4960,3073,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0.0,3,1.9814,0.0173,1,187.0
20,4953,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.0,3,1.8727,-0.1087,1,182.7
21,4950,3065,2,0,2,4.5,5,2.0,2.0,0,0,0,0,0,0,23,0,0,0.0,1,1.9476,0.0749,1,189.7
22,4943,3101,1,0,1,3.0,3,0.33,0.33,0,0,0,0,0,0,28,0,0,0.0,3,1.9267,-0.0209,1,180.8
23,4932,3002,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0.0,3,1.9329,0.0062,2,188.5
24,4918,3056,1,0,1,5.0,5,0.32,0.32,0,0,0,0,0,0,21,0,0,0.0,3,1.9814,0.0485,1,182.1
25,4915,3048,2,0,2,3.5,4,0.45,0.9,0,0,0,0,0,0,25,0,0,0.0,3,1.914,-0.0674,1,179.4
26,4912,2928,1,0,1,4.0,4,0.0,0.0,0,0,0,0,0,0,15,0,0,0.0,3,1.8598,-0.0543,2,182.1
27,4909,2954,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0.0,3,1.7842,-0.0756,2,178.0
28,4908,2964,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,3,1.976,0.1918,1,181.9
29,4903,3000,1,0,1,5.0,5,1.5,1.5,0,0,0,0,0,0,19,0,0,0.0,3,1.9671,-0.0089,1,186.1
30,4898,2941,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.0,3,1.8987,-0.0684,1,185.2
31,4891,2977,1,0,1,3.0,3,1.33,1.33,0,0,0,0,0,0,22,0,0,0.0,3,1.9386,0.0399,1,181.3
32,4881,2892,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0.0,3,1.9431,0.0045,1,182.6
33,4873,3129,1,0,1,5.0,5,0.18,0.18,0,0,0,0,0,0,26,0,0,0.0,3,1.9305,-0.0126,1,176.3
34,4867,3040,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0.0,3,1.7893,-0.1413,1,183.7
35,4862,3107,2,0,2,3.0,3,0.0,0.0,0,0,0,0,0,0,21,0,0,0.0,1,1.9911,0.2018,1,183.7
36,4859,3115,1,0,1,4.0,4,0.56,0.56,0,0,0,0,0,0,27,0,0,0.0,3,1.9139,-0.0772,1,179.0
37,4857,2983,2,0,2,4.0,5,0.67,1.33,0,0,0,0,0,0,19,0,0,0.0,3,1.9035,-0.0104,2,184.3
38,4853,2973,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0.0,3,1.9948,0.0913,2,176.9
39,4848,2966,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0.0,3,1.9076,-0.0872,1,187.2
40,4837,2900,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0.0,3,1.9841,0.0765,1,178.6
41,4828,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.0,3,1.9875,0.0033,1,176.0
42,4823,2967,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0.0,3,1.9785,-0.009,1,186.3
43,4818,2903,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0.0,3,1.9589,-0.0196,1,180.7
44,4813,2906,4,0,4,3.8,5,0.5,1.2,0,0,0,0,0,0,32,0,0,0.0,3,1.9641,0.0052,1,179.9
45,4810,2906,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0.0,3,1.9893,0.0252,1,181.7
46,4809,3029,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0.0,3,1.9749,-0.0144,1,182.2
47,4804,2992,1,0,1,3.0,3,0.33,0.33,0,0,0,0,0,0,27,0,0,0.0,3,1.9756,0.0007,1,177.6
48,4791,2923,2,0,2,3.5,4,0.5,1.0,0,0,0,0,0,0,19,0,0,0.0,3,1.9038,-0.0718,1,176.9
49,4782,2917,2,0,2,3.0,3,0.33,0.67,0,0,0,0,0,0,19,0,0,0.0,3,1.9794,0.0756,2,183.9
50,4776,2836,1,0,1,5.0,5,0.53,0.53,0,0,0,0,0,0,17,0,0,0.0,3,1.9431,-0.0363,2,160.3
