window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,6163,21,0,21,5,0.75,1,0,0,0,0,0,0,0,0,1.9969,1.9969,0,17.4
2,5000,3796,1,0,1,3,1.3333,2,0,0,0,0,0,0,0,0,1.9969,0.0001,0,18.2
3,5000,3610,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,0,1.9969,0.0,0,20.3
4,5000,3384,4,0,4,5,1.2,2,0,0,0,0,0,0,0,0,1.9969,0.0,0,22.7
5,5000,3229,3,0,3,5,0.9,2,0,0,0,0,0,0,0,0,1.9969,-0.0,0,24.3
6,5000,3178,1,0,1,5,0.6667,2,0,0,0,0,0,0,0,0,1.9969,0.0,0,28.3
7,5000,3163,3,0,3,5,0.6667,1,0,0,0,0,0,0,0,0,1.9977,0.0008,2,30.5
8,5000,3123,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9956,-0.0021,2,32.4
9,5000,3101,2,0,2,5,1.6,2,0,0,0,0,0,0,0,0,1.9937,-0.0019,1,33.5
10,5000,3117,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9937,-0.0,1,36.2
11,5000,3070,2,0,2,5,1.0,1,0,0,0,0,0,0,0,0,1.9843,-0.0094,1,36.4
12,5000,3105,1,0,1,5,0.7111,2,0,0,0,0,0,0,0,3,1.9966,0.0123,1,38.3
13,5000,3018,1,0,1,5,0.8571,1,0,0,0,0,0,0,0,3,1.9758,-0.0208,2,39.7
14,5000,3105,1,0,1,5,2.0,1,0,0,0,0,0,0,0,1,1.9817,0.0059,2,40.5
15,5000,3059,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9281,-0.0536,2,40.9
16,5000,3103,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9772,0.0491,1,43.4
17,5000,3086,1,0,1,5,1.6,1,0,0,0,0,0,0,0,1,1.9575,-0.0197,1,43.7
18,5000,3176,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9574,-0.0001,1,44.2
19,5000,3042,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9174,-0.04,1,45.8
20,5000,3049,1,0,1,4,1.1429,1,0,0,0,0,0,0,0,3,1.9803,0.063,1,45.5
21,5000,3065,2,0,2,5,2.0,1,0,0,0,0,0,0,0,3,1.9785,-0.0019,1,45.7
