window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,pd_p_count,pd_d_count,pd_both_count,personalities_recorded,accretion_qualified,accretion_contacts,accretion_boosts,accretion_boosted_nodes,accretion_mean_resonance,accretion_total_boosts_cum
1,5000,6191,12,0,12,5,0.8889,1,0,0,0,0,0,0,0,0,1.9985,1.9985,0,15.9,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2,5000,3701,4,0,4,5,1.5,1,0,0,0,0,0,0,0,0,1.9985,0.0,0,17.2,1,0.0,0.0,0.0,0,0,31,33,64,0.0,0,1,0,0,0,0,0,0,0.0,0
3,5000,3409,1,0,1,3,0.0,1,0,0,0,0,0,0,0,0,1.9985,0.0,0,18.4,1,0.0,0.0,0.0,0,0,37,41,78,0.0,0,0,0,0,0,0,0,0,0.0,0
4,5000,3340,2,0,2,5,0.8571,1,0,0,0,0,0,0,0,0,1.9986,0.0,0,20.4,1,0.0,0.0,0.0,0,0,39,44,83,0.0,0,0,0,0,0,0,0,0,0.0,0
5,5000,3271,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9986,0.0,2,21.9,1,0.0,0.0,0.0,0,0,42,47,89,0.0,0,0,0,0,0,0,0,0,0.0,0
6,5000,3158,1,0,1,3,0.0,2,0,0,0,0,0,0,0,0,1.9982,-0.0003,1,23.8,2,0.0,0.0,0.0,0,0,42,47,89,0.0,0,0,0,0,0,0,0,0,0.0,0
7,5000,2977,1,0,1,4,1.5,1,0,0,0,0,0,0,0,0,1.9976,-0.0006,1,25.4,2,0.0,0.0,0.0,0,0,42,50,92,0.0,0,1,0,0,0,0,0,0,0.0,0
8,5000,3081,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9977,0.0,2,27.3,2,0.0,0.0,0.0,0,0,42,52,94,0.0,0,0,0,0,0,0,0,0,0.0,0
9,5000,3052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9962,-0.0015,1,28.4,2,0.0,0.0,0.0,0,0,42,52,94,0.0,0,0,0,0,0,0,0,0,0.0,0
10,5000,3141,2,0,2,5,1.0,1,0,0,0,0,0,0,0,0,1.9936,-0.0026,1,29.3,2,0.0,0.0,0.0,0,0,42,52,94,0.0,0,0,0,0,0,0,0,0,0.0,0
11,5000,3076,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9959,0.0023,1,30.3,2,0.0,0.0,0.0,0,0,45,59,104,0.0,0,0,0,0,0,0,0,0,0.0,0
12,5000,3031,1,0,1,5,0.3,1,0,0,0,0,0,0,0,3,1.9925,-0.0033,1,31.1,2,0.0,0.0,0.0,0,0,16,31,47,0.0,0,0,0,0,0,0,0,0,0.0,0
13,5000,3136,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,1,1.9825,-0.0101,1,32.5,2,0.0,0.0,0.0,0,0,12,25,37,0.0,0,0,0,0,0,0,0,0,0.0,0
14,5000,3122,1,0,1,4,0.3333,1,0,0,0,0,0,0,0,1,1.9578,-0.0247,2,33.6,2,0.0,0.0,0.0,0,0,12,22,34,0.0,0,0,0,0,0,0,0,0,0.0,0
15,5000,3073,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9067,-0.0511,2,33.8,2,0.0,0.0,0.0,0,0,11,23,34,0.0,0,0,0,0,0,0,0,0,0.0,0
16,5000,3085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8458,-0.0609,1,34.7,2,0.0,0.0,0.0,0,0,11,23,34,0.0,0,0,0,0,0,0,0,0,0.0,0
