phase,run_id,seed,boost,lam,n_windows,final_links,max_seen,max_lifespan,max_cluster_size,incorporations,accretion_boosts,accretion_contacts,mean_turnover,deforming_islands,personalities,pd_both,collapse,score,incorp_s,life_s,turn_s,accr_s,coll_s
WIDE,1,42,0.1,0.5,20,3114,0,2,5,0,5,8,0.0,0,0,0,0,6.5,0.0,6.0,0.0,0.5,0.0
WIDE,2,42,0.1,1.6667,20,3107,2,2,7,0,5,24,0.0,0,0,0,0,6.5,0.0,6.0,0.0,0.5,0.0
WIDE,3,42,0.1,2.8333,20,3107,2,2,7,0,3,24,0.0,0,0,0,0,6.3,0.0,6.0,0.0,0.3,0.0
WIDE,4,42,0.1,4.0,20,3107,2,2,7,0,1,24,0.0,0,0,0,0,6.1,0.0,6.0,0.0,0.1,0.0
WIDE,5,42,0.4,0.5,20,3114,0,2,5,0,5,8,0.0,0,0,0,0,6.5,0.0,6.0,0.0,0.5,0.0
WIDE,6,42,0.4,1.6667,20,3107,2,2,7,0,5,24,0.0,0,0,0,0,6.5,0.0,6.0,0.0,0.5,0.0
WIDE,7,42,0.4,2.8333,20,3107,2,2,7,0,3,24,0.0,0,0,0,0,6.3,0.0,6.0,0.0,0.3,0.0
WIDE,8,42,0.4,4.0,20,3107,2,2,7,0,1,24,0.0,0,0,0,0,6.1,0.0,6.0,0.0,0.1,0.0
WIDE,9,42,0.7,0.5,20,3114,0,2,5,0,5,8,0.0,0,0,0,0,6.5,0.0,6.0,0.0,0.5,0.0
WIDE,10,42,0.7,1.6667,20,3107,2,2,7,0,5,24,0.0,0,0,0,0,6.5,0.0,6.0,0.0,0.5,0.0
WIDE,11,42,0.7,2.8333,20,3107,2,2,7,0,3,24,0.0,0,0,0,0,6.3,0.0,6.0,0.0,0.3,0.0
WIDE,12,42,0.7,4.0,20,3107,2,2,7,0,1,24,0.0,0,0,0,0,6.1,0.0,6.0,0.0,0.1,0.0
WIDE,13,42,1.0,0.5,20,3114,0,2,5,0,5,8,0.0,0,0,0,0,6.5,0.0,6.0,0.0,0.5,0.0
WIDE,14,42,1.0,1.6667,20,3107,2,2,7,0,5,24,0.0,0,0,0,0,6.5,0.0,6.0,0.0,0.5,0.0
WIDE,15,42,1.0,2.8333,20,3107,2,2,7,0,3,24,0.0,0,0,0,0,6.3,0.0,6.0,0.0,0.3,0.0
