window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,pd_p_count,pd_d_count,pd_both_count,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,perstep_scans,perstep_contacts,perstep_boosts,perstep_boosted_pairs,perstep_total_boosts_cum
1,5000,6177,14,0,14,5,0.6,1,0,0,0,0,0,0,0,0,1.9992,1.9992,0,15.7,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,14,0,0.0,0,0,0,10,0,0,0,0
2,5000,3816,3,0,3,5,1.28,2,0,0,0,0,0,0,0,0,1.9992,0.0,0,16.8,2,0.0,0.0,0.2889,0,0,37,40,77,0.0,0,0,0,0,2,1,0,2,1,0,0.0,0,0,0,10,1223,183,81,183
3,5000,3552,4,0,4,4,0.6667,3,0,0,0,0,0,0,0,0,1.9993,0.0001,0,18.3,3,0.0,0.0,0.2407,0,0,53,49,102,0.0,1,0,0,1,3,1,0,1,3,0,0.0,0,0,0,10,420,63,26,246
4,5000,3336,2,0,2,3,0.4444,2,0,0,0,0,0,0,0,0,1.9993,0.0,0,20.3,3,0.0,0.0,0.3333,0,0,61,53,114,0.0,0,0,0,1,2,1,0,1,1,0,0.0,0,0,0,10,339,52,22,298
5,5000,3251,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9992,-0.0,0,21.7,3,0.0,0.0,0.3333,0,0,69,55,124,0.0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,10,189,26,13,324
6,5000,3273,1,0,1,4,0.0,1,0,0,0,0,0,0,0,0,1.9993,0.0001,1,23.5,3,0.0,0.0,0.3167,0,0,69,55,124,0.0,0,0,0,1,1,1,0,0,1,0,0.0,0,0,0,10,0,0,0,324
7,5000,3168,2,0,2,5,0.6667,1,0,0,0,0,0,0,0,0,1.9997,0.0003,1,25.3,3,0.0,0.0,0.2879,0,0,69,55,124,0.0,0,0,0,1,1,1,0,0,2,0,0.0,0,0,0,10,0,0,0,324
8,5000,2990,1,0,1,5,0.8,1,0,0,0,0,0,0,0,0,1.9996,-0.0,2,27.1,3,0.0,0.0,0.2754,0,0,74,57,131,0.0,0,0,0,1,1,1,0,0,1,0,0.0,0,0,0,10,230,29,15,353
9,5000,3124,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9984,-0.0012,2,28.1,3,0.0,0.0,0.2754,0,0,77,64,141,0.0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,10,190,42,12,395
10,5000,3057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9954,-0.003,1,29.5,3,0.0,0.0,0.2754,0,0,77,64,141,0.0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,395
11,5000,3120,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9907,-0.0048,1,31.1,3,0.0,0.0,0.2754,0,0,77,64,141,0.0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,395
12,5000,3070,1,0,1,5,0.0,1,0,0,0,0,0,0,0,3,1.99,-0.0007,1,31.2,3,0.0,0.0,0.5278,0,0,44,27,71,0.0,0,0,0,1,1,1,0,0,1,0,0.0,0,0,0,10,0,0,0,395
13,5000,3117,2,0,2,5,0.8,1,0,0,0,0,0,0,0,1,1.9846,-0.0054,1,32.8,3,0.0,0.0,0.3333,0,0,32,21,53,0.0,0,0,0,1,1,1,0,0,2,0,0.0,0,0,0,10,120,21,9,416
14,5000,3155,1,0,1,5,0.5333,1,0,0,0,0,0,0,0,1,1.9919,0.0073,2,33.9,2,0.0,0.0,0.2,0,0,24,18,42,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,280,31,20,447
15,5000,3111,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.995,0.0032,2,34.2,1,0.0,0.0,0.0,0,0,15,18,33,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,80,13,8,460
16,5000,3147,2,0,2,3,0.4444,1,0,0,0,0,0,0,0,3,1.9747,-0.0203,1,33.7,1,0.0,0.0,0.0,0,0,15,18,33,0.0,0,0,0,0,1,1,0,0,2,0,0.0,0,0,0,10,0,0,0,460
17,5000,3077,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9459,-0.0288,1,35.7,1,0.0,0.0,0.0,0,0,18,21,39,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,160,30,12,490
18,5000,3103,2,0,2,5,0.48,1,0,0,0,0,0,0,0,3,1.9108,-0.0351,1,36.0,1,0.0,0.0,0.0,0,0,13,19,32,0.0,0,0,0,0,1,1,0,0,2,0,0.0,0,0,0,10,0,0,0,490
19,5000,3016,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9168,0.006,1,37.2,1,0.0,0.0,0.0,0,0,19,19,38,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,300,39,17,529
20,5000,3082,2,0,2,5,1.6,1,0,0,0,0,0,0,0,3,1.9184,0.0016,1,36.7,1,0.0,0.0,0.0,0,0,19,19,38,0.0,0,1,0,0,1,1,0,0,2,0,0.0,0,0,0,10,0,0,0,529
21,5000,3077,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9928,0.0744,1,36.7,1,0.0,0.0,0.0,0,0,25,25,50,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,230,27,14,556
22,5000,2979,1,0,1,3,0.8889,1,0,0,0,0,0,0,0,3,1.9742,-0.0186,1,38.9,1,0.0,0.0,0.0,0,0,25,25,50,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,0,0,0,556
23,5000,3090,1,0,1,5,0.6,1,0,0,0,0,0,0,0,1,1.9919,0.0177,1,38.4,1,0.0,0.0,0.0,0,0,24,25,49,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,80,13,5,569
24,5000,3086,1,0,1,4,0.3,1,0,0,0,0,0,0,0,3,1.9955,0.0037,2,38.4,1,0.0,0.0,0.0,0,0,22,22,44,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,80,15,6,584
25,5000,3220,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.997,0.0014,2,39.1,1,0.0,0.0,0.0,0,0,24,22,46,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,120,16,8,600
26,5000,3031,2,0,2,4,0.6667,1,0,0,0,0,0,0,0,3,1.9957,-0.0012,1,39.6,1,0.0,0.0,0.0,0,0,24,22,46,0.0,0,0,0,0,1,1,0,0,2,0,0.0,0,0,0,10,0,0,0,600
27,4999,3042,1,0,1,4,0.0,1,0,0,0,0,0,0,0,3,1.9919,-0.0039,1,39.9,1,0.0,0.0,0.0,0,0,25,25,50,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,192,27,13,627
28,4999,3124,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9822,-0.0096,2,40.6,1,0.0,0.0,0.0,0,0,28,27,55,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,160,29,12,656
