window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned
1,5000,4643,34,0,34,4,1.3333,1,0,0,0,0,0,0,0,0,1.9992,1.9992,0,15.4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,34,0,0.0,0,0,0,1,0.9828,162904,18327,2748
2,5000,6176,40,0,40,5,0.8571,2,0,0,0,0,0,0,0,0,1.9992,0.0,0,17.5,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,2,2,26,1,13,0,0.9852,0,0,0,3,0.9203,254111,3987,2594
3,5000,7548,50,0,50,7,2.0,3,0,0,0,0,0,0,0,0,1.9993,0.0001,0,20.3,2,0.9852,1.0,0.0142,0,0,0,1,0,64,93,158,1.0,0,3,3,21,6,22,1,0.784,0,0,1,0,1.0,328466,4010,3124
4,5000,8234,58,0,58,10,1.6,4,0,0,0,0,0,0,0,3,1.9992,-0.0001,2,25.4,3,0.8846,1.0,0.1819,0,0,0,2,1,189,292,484,0.6667,23,4,4,12,16,27,3,0.4792,0,0,0,0,1.0,381439,3751,2790
5,5000,8391,74,1,73,10,1.5,5,1.0,1.0,0,0,1,0,4,3,1.9992,-0.0,3,30.8,4,0.7461,1.0,0.4238,0,0,0,4,1,390,653,1048,0.8,25,5,5,9,26,27,12,0.3149,0,0,2,7,0.8922,404747,3517,2956
6,5000,8298,59,0,59,8,1.5,6,0,0,0,0,1,0,4,3,1.9992,0.0001,2,35.7,5,0.6171,1.0,0.7031,0,0,0,6,3,659,1081,1749,0.6667,32,6,6,6,25,18,10,0.2192,0,0,0,1,0.975,398661,3567,3071
7,5000,7973,66,0,66,9,1.28,7,0,0,0,0,1,0,4,3,1.999,-0.0002,2,38.9,6,0.5338,1.0,0.883,0,0,0,9,4,977,1760,2750,0.6923,41,7,7,2,28,18,18,0.1012,0,0,0,1,0.9733,397225,3779,2828
8,5000,7474,56,1,55,8,1.6,8,0,0,0,0,2,0,7,3,1.9992,0.0001,3,34.8,7,0.4609,1.0,1.034,0,0,0,11,6,1233,2240,3490,0.6471,56,8,8,1,19,19,17,0.1355,0,0,0,1,0.9712,374114,5858,3060
9,5000,6380,40,0,40,7,0.96,9,0,0,0,0,2,0,7,3,1.9985,-0.0007,2,33.6,8,0.428,1.0,1.0352,0,0,0,14,12,1515,2722,4263,0.5385,66,9,9,0,16,12,12,0.1036,0,0,0,2,0.9444,331713,8365,2287
10,5000,5137,35,0,35,7,2.0,10,0,0,0,0,2,0,7,0,1.9993,0.0008,0,33.9,9,0.4038,1.0,1.0786,0,0,0,14,14,1750,3166,4944,0.5,73,10,10,2,7,6,20,0.2639,0,0,1,0,1.0,268664,9547,2104
11,5000,4212,24,0,24,6,0.75,7,0,0,0,0,2,0,7,0,1.9974,-0.0019,0,32.3,10,0.3981,1.0,1.0737,0,0,0,14,16,1941,3486,5457,0.4667,81,7,4,1,5,10,8,0.1667,0,0,0,0,1.0,212785,10141,2383
12,5000,3325,22,0,22,5,0.8,7,0,0,0,0,2,0,7,0,1.995,-0.0024,0,33.1,10,0.392,1.0,1.0483,0,0,0,14,16,2073,3709,5812,0.4667,87,7,7,0,3,4,15,0.2778,0,0,0,0,1.0,164651,10286,3238
13,5000,2634,11,0,11,6,0.75,9,0,0,0,0,2,0,7,0,1.9959,0.0009,0,33.2,10,0.3906,1.0,1.052,0,0,0,14,16,2164,3854,6048,0.4667,91,9,5,0,3,3,5,0.0972,0,0,0,2,0.9624,128086,10023,3348
14,5000,2247,7,0,7,5,1.3333,7,0,0,0,0,2,0,7,0,1.9942,-0.0016,0,34.1,10,0.3842,1.0,1.0531,0,0,0,14,18,2234,3974,6240,0.4375,93,7,4,0,0,1,6,0.0,0,0,0,0,1.0,99785,9666,3534
15,5000,1879,4,0,4,4,0.6667,4,0,0,0,0,2,0,7,0,1.9981,0.0038,0,33.6,10,0.3842,1.0,1.0683,0,0,0,14,18,2259,3997,6288,0.4375,94,4,3,0,0,0,4,0.0,0,0,0,1,0.9792,79708,9769,4585
16,5000,1686,4,0,4,5,0.4444,10,0,0,0,0,2,0,7,0,1.9978,-0.0003,0,34.1,10,0.3892,1.0,1.0684,0,0,0,14,17,2253,3980,6264,0.4516,95,10,6,0,0,1,3,0.0,0,0,0,0,1.0,64479,9502,4912
17,5000,1382,2,0,2,4,1.0,5,0,0,0,0,2,0,7,3,1.9948,-0.003,0,35.4,10,0.3852,1.0,1.091,0,0,0,14,17,2152,3786,5969,0.4516,93,5,4,0,1,0,1,0.75,0,0,0,0,1.0,49245,9434,6432
18,5000,1162,2,0,2,3,0.6667,6,0,0,0,0,2,0,7,3,1.9928,-0.002,0,36.4,10,0.3645,1.0,1.1127,0,0,0,12,17,2012,3504,5545,0.4138,88,6,5,1,1,0,0,0.875,0,0,0,0,1.0,32197,9475,7640
19,5000,1039,3,0,3,4,0.6667,7,0,0,0,0,2,0,7,3,1.9796,-0.0132,0,36.0,10,0.3774,1.0,1.09,0,0,0,8,14,1660,2922,4604,0.3636,71,7,6,2,0,0,1,1.0,0,0,0,0,1.0,23879,8810,9885
20,4997,1116,2,0,2,3,0.0,8,0,0,0,0,2,0,7,1,1.9596,-0.02,0,36.5,10,0.4043,1.0,1.078,0,0,0,6,12,1441,2478,3937,0.3333,61,8,7,2,0,0,0,1.0,0,0,0,0,1.0,17977,8292,11372
21,4972,1030,2,0,2,3,0.3333,8,0,0,0,0,2,0,7,1,1.9456,-0.014,2,37.1,10,0.3785,1.0,1.2089,0,0,0,5,9,1166,1990,3170,0.3571,51,8,7,1,0,0,1,1.0,0,0,0,0,1.0,13120,8493,14082
22,4920,991,1,0,1,3,0.0,9,0,0,0,0,2,0,7,3,1.926,-0.0197,2,36.1,10,0.3038,1.0,1.1779,0,0,0,3,3,804,1359,2169,0.5,34,9,8,1,0,0,0,1.0,0,0,0,0,1.0,7506,7728,15196
23,4874,1086,0,0,0,0,0,0,0,0,0,0,2,0,7,3,1.8248,-0.1012,0,36.8,10,0.3803,1.0,1.1437,0,0,0,2,3,614,1037,1656,0.4,24,0,0,0,0,0,0,0.0,0,0,0,0,1.0,5005,7218,16959
24,4824,1151,0,0,0,0,0,0,0,0,0,0,2,0,7,3,1.9878,0.163,1,37.7,10,0.4028,1.0,1.281,0,0,0,2,3,398,571,974,0.4,16,0,0,0,0,0,0,0.0,0,0,0,0,1.0,4642,6565,20798
25,4785,1288,0,0,0,0,0,0,0,0,0,0,2,0,7,3,1.971,-0.0168,1,36.8,10,0.489,1.0,1.5046,0,0,0,2,1,313,434,750,0.6667,12,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3599,6071,24287
26,4750,1325,0,0,0,0,0,0,0,0,0,0,2,0,7,3,1.9183,-0.0527,1,37.5,10,0.5625,1.0,1.3788,0,0,0,2,1,189,265,457,0.6667,8,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2849,5682,25830
27,4715,1435,0,0,0,0,0,0,0,0,0,0,2,0,7,3,1.9183,0.0,1,38.1,10,0.5747,1.0,1.619,0,0,0,2,1,133,191,327,0.6667,5,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1450,5327,29262
28,4661,1555,0,0,0,0,0,0,0,0,0,0,2,0,7,3,1.9183,0.0,1,38.4,9,0.6538,1.0,1.5833,0,0,0,0,0,73,94,167,0.0,3,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1422,4871,29773
29,4610,1595,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0.9183,-1.0,1,36.8,9,0.6538,1.0,1.5833,0,0,0,0,0,73,94,167,0.0,3,0,0,0,0,0,0,0.0,0,0,0,0,1.0,935,4502,33754
30,4577,1649,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0.9183,0.0,1,35.2,9,0.6538,1.0,1.5833,0,0,0,0,0,73,94,167,0.0,3,0,0,0,0,0,0,0.0,0,0,0,0,1.0,519,4031,36486
31,4540,1755,1,0,1,3,0.3333,1,0,0,0,0,2,0,7,3,0.971,0.0527,1,32.8,9,0.7727,1.0,1.3333,0,0,0,0,0,51,62,113,0.0,2,1,1,0,0,1,0,0.0,0,0,0,0,1.0,754,3752,38382
32,4507,1813,1,0,1,3,0.0,1,0,0,0,0,2,0,7,3,0.971,0.0,1,33.8,9,0.7917,1.0,0.6667,0,0,0,0,0,24,27,51,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,946,3657,38629
33,4475,1888,1,0,1,5,0.48,1,0,0,0,0,2,0,7,3,0.971,0.0,2,32.9,9,0.7917,1.0,0.6667,0,0,0,0,0,19,21,40,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1235,3165,41046
34,4448,1894,0,0,0,0,0,0,0,0,0,0,2,0,7,3,1.3788,0.4078,2,32.9,1,0.0,0.0,0.0,0,0,0,0,0,2,5,7,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1668,2875,45258
35,4423,1977,1,0,1,3,0.4444,1,0,0,0,0,2,0,7,3,1.5219,0.1431,1,33.5,1,0.0,0.0,0.0,0,0,0,0,0,4,8,12,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1078,3002,43670
36,4399,1923,0,0,0,0,0,0,0,0,0,0,2,0,7,0,1.5,-0.0219,1,33.0,1,0.0,0.0,0.0,0,0,0,0,0,4,8,12,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,553,2548,43694
37,4384,2017,2,0,2,5,0.75,1,0,0,0,0,2,0,7,0,1.5,0.0,1,33.8,1,0.0,0.0,0.0,0,0,0,0,0,5,10,15,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,825,2397,43788
38,4360,2024,1,0,1,5,1.6,1,0,0,0,0,2,0,7,0,-0.0,-1.5,1,32.5,1,0.0,0.0,0.0,0,0,0,0,0,5,10,15,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,781,2414,46730
39,4339,2100,0,0,0,0,0,0,0,0,0,0,2,0,7,0,-0.0,0.0,2,32.8,1,0.0,0.0,0.0,0,0,0,0,0,10,16,26,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,688,2246,47214
40,4318,2065,1,0,1,3,0.0,1,0,0,0,0,2,0,7,3,1.4591,1.4591,1,33.5,1,0.0,0.0,0.0,0,0,0,0,0,10,17,27,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,520,2084,49402
41,4298,2212,1,0,1,3,0.5,1,0,0,0,0,2,0,7,3,1.4591,0.0,1,32.5,1,0.0,0.0,0.0,0,0,0,0,0,10,17,27,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,954,1789,50225
42,4280,2231,1,0,1,5,0.8,1,0,0,0,0,2,0,7,0,1.5,0.0409,2,33.7,1,0.0,0.0,0.0,0,0,0,0,0,12,20,32,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1210,1664,50025
43,4260,2218,2,0,2,5,1.5,1,0,0,0,0,2,0,7,0,0.9183,-0.5817,2,32.8,1,0.0,0.0,0.0,0,0,0,0,0,11,18,29,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,885,1527,51461
44,4235,2303,0,0,0,0,0,0,0,0,0,0,2,0,7,3,1.585,0.6667,2,33.9,1,0.0,0.0,0.0,0,0,0,0,0,12,19,31,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,603,1443,51220
45,4216,2315,0,0,0,0,0,0,0,0,0,0,2,0,7,3,1.5219,-0.063,1,32.5,1,0.0,0.0,0.0,0,0,0,0,0,12,18,30,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,917,1106,54860
46,4196,2304,1,0,1,5,0.0,2,0,0,0,0,2,0,7,3,1.2516,-0.2703,1,32.7,1,0.0,0.0,0.0,0,0,0,0,0,12,18,30,0.0,0,2,2,0,0,0,1,0.0,0,0,0,0,1.0,771,1193,52978
47,4183,2267,1,0,1,5,0.0,1,0,0,0,0,2,0,7,3,1.5488,0.2972,1,33.5,2,0.0,0.0,0.0,0,0,0,0,0,11,16,27,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1116,970,53388
48,4170,2398,2,0,2,4,0.3333,1,0,0,0,0,2,0,7,3,1.8911,0.3423,2,32.4,2,0.0,0.0,0.0,0,0,0,0,0,13,19,32,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1480,977,55303
49,4155,2394,0,0,0,0,0,0,0,0,0,0,2,0,7,3,1.8955,0.0044,2,33.2,2,0.0,0.0,0.0,0,0,0,0,0,9,17,26,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2027,856,54925
50,4143,2337,0,0,0,0,0,0,0,0,0,0,2,0,7,3,1.8464,-0.049,1,32.2,2,0.0,0.0,0.0,0,0,0,0,0,15,20,35,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2054,851,56237
51,4126,2489,1,0,1,5,0.6857,1,0,0,0,0,2,0,7,3,1.8366,-0.0098,1,33.3,2,0.0,0.0,0.0,0,0,0,0,0,15,20,35,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2190,719,56433
52,4122,2371,1,0,1,4,0.2857,1,0,0,0,0,2,0,7,3,1.8424,0.0058,1,32.2,2,0.0,0.0,0.0,0,0,0,0,0,13,17,30,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1808,789,56263
53,4115,2377,0,0,0,0,0,0,0,0,0,0,2,0,7,3,1.5219,-0.3204,2,33.0,2,0.0,0.0,0.0,0,0,0,0,0,15,19,34,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1363,672,56644
54,4108,2366,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1.0,-0.5219,1,32.2,2,0.0,0.0,0.0,0,0,0,0,0,17,21,38,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1016,581,54284
55,4098,2320,3,0,3,5,1.5,1,0,0,0,0,2,0,4,3,1.4591,0.4591,1,32.0,2,0.0,0.0,0.0,0,0,0,0,0,15,19,34,0.0,0,1,1,0,0,3,0,0.0,0,0,0,0,1.0,1345,557,53734
56,4087,2346,1,0,1,5,0.6667,1,0,0,0,0,2,0,4,3,1.9056,0.4465,1,33.0,2,0.0,0.0,0.0,0,0,0,0,0,15,19,34,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1723,499,54181
57,4078,2397,2,0,2,3,1.3333,1,0,0,0,0,2,0,1,3,1.8911,-0.0146,2,32.1,2,0.0,0.0,0.0,0,0,0,0,0,19,28,47,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1314,434,56766
58,4072,2446,1,0,1,5,0.6,1,0,0,0,0,2,0,1,3,1.9056,0.0146,2,33.1,1,0.0,0.0,0.0,0,0,0,0,0,20,34,54,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1657,465,55960
59,4061,2374,2,0,2,5,0.6,1,0,0,0,0,2,0,1,3,1.8231,-0.0826,2,32.4,1,0.0,0.0,0.0,0,0,0,0,0,19,33,52,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,2541,441,56155
60,4056,2446,1,0,1,4,0.6,1,0,0,0,0,2,0,1,3,1.9056,0.0826,2,33.5,1,0.0,0.0,0.0,0,0,0,0,0,16,34,50,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2253,440,55673
61,4045,2457,1,0,1,5,0.32,1,0,0,0,0,2,0,1,3,1.7296,-0.1761,2,32.6,1,0.0,0.0,0.0,0,0,0,0,0,19,41,60,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2017,433,58200
62,4041,2406,1,0,1,3,0.6667,1,0,0,0,0,2,0,1,3,1.922,0.1924,2,32.8,1,0.0,0.0,0.0,0,0,0,0,0,19,46,65,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2031,322,53894
63,4031,2321,1,0,1,4,1.125,1,0,0,0,0,2,0,1,3,1.9749,0.0529,2,32.0,1,0.0,0.0,0.0,0,0,0,0,0,17,51,68,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2080,392,56020
64,4018,2312,1,0,1,3,0.6667,1,0,0,0,0,2,0,1,3,1.9502,-0.0247,2,32.8,1,0.0,0.0,0.0,0,0,0,0,0,15,48,63,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1995,340,53190
65,4010,2409,3,0,3,3,0.6667,1,0,0,0,0,2,0,1,3,1.9502,0.0,2,32.4,1,0.0,0.0,0.0,0,0,0,0,0,15,52,67,0.0,0,1,1,0,0,3,0,0.0,0,0,0,0,1.0,2033,378,55349
66,3995,2376,4,0,4,5,1.6,2,0,0,0,0,2,0,1,3,1.8464,-0.1038,2,32.6,1,0.0,0.0,0.0,0,0,0,0,0,15,53,68,0.0,0,2,2,0,1,2,1,0.0,0,0,0,0,1.0,1895,308,56508
