window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied
1,5000,4619,36,0,36,5,1.3333,1,0,0,0,0,0,0,0,0,1.9985,1.9985,0,15.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,36,0,0.0,0,0,0,1,0.9688,160469,18125,3274,0.5,0.02,0,0,0
2,5000,6160,43,0,43,6,1.3333,2,0,0,0,0,0,0,0,0,1.9985,-0.0,0,17.3,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,2,2,26,4,13,0,0.9233,0,0,0,2,0.9417,253543,4025,3345,0.5,0.02,1541,-6,0
3,5000,7318,57,0,57,10,1.5,3,0,0,0,0,0,0,0,0,1.9985,0.0,0,20.5,2,0.9233,1.0,0.0776,0,0,0,2,0,73,96,171,1.0,0,3,3,17,15,22,3,0.5771,0,0,0,3,0.9286,325844,3833,3237,0.499901,0.02,2699,1,1
4,5000,8242,53,0,53,9,2.0,4,0,0,0,0,0,0,0,0,1.9983,-0.0001,2,24.9,3,0.7446,1.0,0.4901,0,0,0,2,1,201,295,499,0.6667,26,4,4,8,15,27,3,0.4,1,0,0,5,0.8623,374407,3894,3274,0.499901,0.02,924,-2,0
5,5000,8349,63,0,63,11,0.7111,5,0,0,0,0,0,0,0,3,1.9983,0.0,2,30.6,4,0.6514,1.0,0.6306,0,0,0,3,3,418,684,1108,0.5,29,5,5,8,26,18,11,0.2833,0,0,0,2,0.9598,397650,3857,3167,0.499901,0.02,1031,-22,0
6,5000,8320,70,0,70,11,0.75,6,0,0,0,0,0,0,0,3,1.9983,-0.0,2,35.6,5,0.5462,1.0,0.9169,0,0,0,11,10,648,1114,1783,0.5238,34,6,6,4,20,28,18,0.2609,0,0,0,2,0.9667,402732,3588,3227,0.499825,0.020004,1002,-19,1
7,5000,8142,64,0,64,11,1.3333,7,0,0,0,0,0,0,0,3,1.9982,-0.0001,2,37.1,6,0.4983,1.0,0.8461,0,0,0,12,14,946,1625,2597,0.4615,44,7,7,2,29,20,13,0.1207,0,0,0,2,0.9412,401609,3785,2980,0.499825,0.020004,-178,16,0
8,5000,7337,54,0,54,7,2.0,8,0,0,0,0,0,0,0,3,1.9986,0.0004,2,35.9,7,0.431,1.0,1.0006,0,0,0,13,18,1305,2163,3499,0.4194,58,8,6,1,25,15,13,0.0718,0,0,1,2,0.9643,373353,5871,2023,0.499825,0.020004,-983,44,0
9,5000,6229,41,0,41,7,1.0,7,0,0,0,0,0,0,0,0,1.9992,0.0007,0,34.1,8,0.3843,1.0,1.0511,0,0,0,13,22,1599,2705,4339,0.3714,65,7,6,1,16,9,15,0.0824,0,0,0,2,0.963,325613,8216,2399,0.499922,0.019987,-2091,83,1
10,5000,4980,23,0,23,8,0.75,8,0,0,0,0,0,0,0,0,1.9986,-0.0006,0,33.0,8,0.3607,1.0,1.0925,0,0,0,13,23,1824,3025,4885,0.3611,72,8,4,0,8,5,10,0.1594,0,0,0,0,1.0,260682,10085,2906,0.499922,0.019987,-1249,19,0
