window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,compound_restore,delta_L
1,5000,4643,34,0,34,4,1.3333,1,0,0,0,0,0,0,0,0,1.9992,1.9992,0,15.2,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,34,0,0.0,0,0,0,1,0.9828,162904,18327,2748,0.5,0
2,5000,6176,40,0,40,5,0.8571,2,0,0,0,0,0,0,0,0,1.9992,0.0,0,17.3,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,2,2,26,1,13,0,0.9852,0,0,0,3,0.9203,254111,3987,2594,0.499909,1533
3,5000,7548,50,0,50,7,2.0,3,0,0,0,0,0,0,0,0,1.9993,0.0001,0,20.0,2,0.9852,1.0,0.0142,0,0,0,1,0,64,93,158,1.0,0,3,3,21,6,22,1,0.784,0,0,1,0,1.0,328466,4010,3124,0.499821,1372
4,5000,8234,58,0,58,10,1.6,4,0,0,0,0,0,0,0,3,1.9992,-0.0001,2,24.4,3,0.8846,1.0,0.1819,0,0,0,2,1,189,292,484,0.6667,23,4,4,12,16,27,3,0.4792,0,0,0,0,1.0,381441,3751,2790,0.499761,686
5,5000,8391,74,1,73,10,1.5,5,1.0,1.0,0,0,1,0,4,3,1.9992,-0.0,3,28.7,4,0.7461,1.0,0.4238,0,0,0,4,1,390,653,1048,0.8,25,5,5,9,26,27,12,0.3149,0,0,2,7,0.8922,404714,3517,2956,0.499746,157
6,5000,8309,65,0,65,7,1.3333,6,0,0,0,0,1,0,4,3,1.9993,0.0001,2,33.1,5,0.6171,1.0,0.7031,0,0,0,6,3,659,1081,1749,0.6667,32,6,6,4,24,26,11,0.1661,0,0,0,3,0.9167,400219,3629,3188,0.499754,-82
7,5000,8033,60,0,60,10,1.3333,7,0,0,0,0,1,0,4,3,1.9993,-0.0,2,35.8,6,0.53,1.0,0.8103,0,0,0,10,5,976,1760,2751,0.6667,39,7,7,0,24,22,14,0.0455,0,0,0,2,0.9583,395362,3750,3103,0.499781,-276
8,5000,7468,52,0,52,8,0.6667,8,0,0,0,0,1,0,4,3,1.999,-0.0002,2,33.1,7,0.4612,1.0,0.8814,0,0,0,13,7,1244,2289,3553,0.65,52,8,5,0,17,17,18,0.0353,0,0,0,0,1.0,369792,6021,2405,0.499832,-565
9,5000,6240,35,0,35,8,1.3333,9,0,0,0,0,1,0,4,0,1.9984,-0.0007,0,31.6,8,0.4223,1.0,0.9288,0,0,0,13,8,1522,2770,4313,0.619,62,9,7,1,7,7,20,0.1389,0,0,0,0,1.0,325016,8522,3439,0.499916,-1228
10,5000,4817,23,0,23,9,1.0,9,0,0,0,0,1,0,4,0,1.999,0.0006,0,31.2,9,0.4106,1.0,0.9588,0,0,0,13,8,1765,3173,4959,0.619,67,9,8,1,12,2,8,0.0989,0,0,0,3,0.9306,253072,10248,3202,0.500005,-1423
