window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied
1,5000,4643,34,0,34,4,1.3333,1,0,0,0,0,0,0,0,0,1.9992,1.9992,0,15.6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,34,0,0.0,0,0,0,1,0.9828,162904,18327,2748,0.0001,0.5,0.02,0,0,0
2,5000,6176,40,0,40,5,0.8571,2,0,0,0,0,0,0,0,0,1.9992,0.0,0,17.7,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,2,2,26,1,13,0,0.9852,0,0,0,3,0.9203,254111,3987,2594,0.009209,0.5,0.02,1533,2,0
3,5000,7548,50,0,50,7,2.0,3,0,0,0,0,0,0,0,0,1.9993,0.0001,0,20.4,2,0.9852,1.0,0.0142,0,0,0,1,0,64,93,158,1.0,0,3,3,21,6,22,1,0.784,0,0,1,0,1.0,328466,4010,3124,0.01004,0.49002,0.019759,2905,12,1
4,5000,8119,57,0,57,8,1.6,4,0,0,0,0,0,0,0,3,1.9993,-0.0,2,25.2,3,0.8846,1.0,0.1819,0,0,0,2,1,189,292,484,0.6667,23,4,4,10,13,31,3,0.4679,0,0,0,2,0.9444,380102,3803,2833,0.005261,0.49002,0.019759,571,-16,0
5,5000,8276,74,0,74,9,1.28,5,0,0,0,0,0,0,0,3,1.9993,0.0,2,30.9,4,0.7601,1.0,0.4167,0,0,0,5,2,389,652,1048,0.7143,24,5,5,3,27,32,12,0.1787,0,0,0,3,0.951,399836,3447,2520,0.006318,0.49002,0.019759,728,-13,0
6,5000,8308,74,1,73,9,1.5,6,0,0,0,0,1,0,6,3,1.9993,0.0001,3,34.9,5,0.5971,1.0,0.6462,0,0,0,5,4,636,1095,1740,0.5556,31,6,5,2,31,25,16,0.1933,0,0,0,2,0.9352,398170,3564,2590,0.006511,0.485846,0.019863,760,-8,1
7,5000,8002,53,0,53,8,2.0,7,0,0,0,0,1,0,6,3,1.9991,-0.0002,2,38.5,6,0.5019,1.0,0.7782,0,0,0,10,9,977,1794,2790,0.5263,44,7,5,1,29,10,13,0.0896,0,0,1,2,0.9514,393559,3843,3115,0.003068,0.485846,0.019863,-306,-9,0
8,5000,7531,56,0,56,10,1.6,8,0,0,0,0,1,0,6,3,1.9991,0.0,2,35.5,7,0.4292,1.0,0.9128,0,0,0,11,10,1342,2412,3775,0.5238,60,8,6,0,21,11,24,0.0163,0,0,0,1,0.9808,375348,5466,2631,0.00661,0.485846,0.019863,-777,29,0
9,5000,6450,44,1,43,12,2.0,7,0,0,0,0,2,0,14,3,1.9992,0.0,3,34.9,8,0.3838,1.0,1.0183,0,0,0,12,12,1572,2812,4408,0.5,73,7,5,0,14,9,21,0.0191,0,0,2,1,0.9773,329471,8032,2973,0.009625,0.495014,0.01898,-1858,46,1
10,5000,5098,35,0,35,7,1.3333,9,0,0,0,0,2,1,14,0,1.9983,-0.0008,0,33.6,8,0.3589,1.0,1.0408,0,0,0,12,14,1872,3311,5209,0.4615,83,9,6,0,9,7,19,0.0833,0,0,0,0,1.0,268351,10988,2753,0.008845,0.495014,0.01898,-1352,75,0
