window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied,mean_h_age,max_h_age,mean_h_res,max_h_res,mean_h_str,max_h_str,mature_links,rigid_links,brittle_links,hist_matured,hist_snapped,hist_suppressed,avalanche_events,cascade_links,void_mean_V,void_max_V,void_active_nodes,void_boosted_pairs,void_consumed,void_deposited,void_gamma,void_induced_births
1,5000,4619,36,0,36,5,1.3333,1,0,0,0,0,0,0,0,0,1.9985,1.9985,0,15.6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,36,0,0.0,0,0,0,1,0.9688,160469,18125,3274,0.0001,0.5,0.02,0,0,0,0.0747,0.1,0.011,0.15,0.1479,0.25,0,0,0,2460,0,0,0,0,0.0,0.0,0,0,0,0.0,1.0,0
2,5000,6187,42,0,42,6,0.6667,2,0,0,0,0,0,0,0,0,1.9984,-0.0,0,17.7,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,2,2,22,7,13,0,0.8167,0,0,0,3,0.9127,254173,3934,3276,0.009267,0.5,0.02,1568,-9,0,0.1329,0.2,0.0148,0.3,0.2969,0.5,0,0,0,164546,0,245,0,0,0.0,0.0,0,0,0,0.0,1.0,0
3,5000,6129,47,0,47,7,0.8333,3,0,0,0,0,0,0,0,0,1.9985,0.0001,0,20.6,2,0.8167,1.0,0.2354,0,0,0,1,1,74,95,171,0.5,0,3,3,20,12,14,1,0.6554,0,0,0,2,0.9444,320761,3808,2908,0.009169,0.491684,0.019963,1510,2,1,0.1619,0.3,0.0176,0.45,0.3633,0.7,0,0,108,231608,1421,237,0,0,0.0038,0.438,182,0,84,401.836,1.008155,2
4,5000,5371,37,0,37,5,1.3333,4,0,0,0,0,0,0,0,0,1.9984,-0.0001,2,22.1,3,0.732,1.0,0.5394,0,0,0,6,1,220,312,539,0.8571,23,4,4,18,7,9,3,0.7813,0,0,1,1,0.971,267767,3678,2939,0.006499,0.491684,0.019963,-758,-9,0,0.1393,0.4,0.0183,0.6,0.3145,0.7,0,101,30,176789,2404,199,0,0,0.0055,0.28,218,0,401,717.75,1.008155,12
5,5000,5492,29,0,29,5,1.3333,5,0,0,0,0,0,0,0,0,1.9984,0.0,0,23.8,4,0.7464,1.0,0.5291,0,0,0,6,2,374,555,937,0.75,29,5,5,14,5,5,5,0.8658,0,0,0,1,0.9762,260121,3758,3406,0.005729,0.491684,0.019963,-637,-14,0,0.141,0.5,0.0172,0.75,0.3197,0.7,114,84,30,164677,1523,164,0,0,0.0043,0.194,178,0,311,436.972,1.008155,10
6,5000,5543,31,0,31,6,1.3333,6,0,0,0,0,0,0,0,0,1.9985,0.0001,0,25.8,5,0.768,1.0,0.5337,0,0,0,6,2,494,725,1227,0.75,36,6,6,11,8,4,8,0.7307,1,0,0,0,1.0,265569,3521,3383,0.00537,0.494514,0.020124,-586,-15,1,0.1424,0.6,0.0162,0.9,0.3253,0.7,83,79,32,169931,1599,121,0,0,0.0048,0.298,187,0,296,466.42,1.013525,6
7,5000,4403,24,0,24,5,1.6,7,0,0,0,0,0,0,0,0,1.9982,-0.0003,2,27.6,6,0.7623,1.0,0.6325,0,0,0,6,4,582,861,1453,0.6,36,7,7,5,8,9,2,0.5667,0,0,0,0,1.0,243270,6598,3408,0.008244,0.494514,0.020124,-1140,97,0,0.1421,0.7,0.0164,1.0,0.3227,0.7,55,55,31,157818,1607,90,0,0,0.0051,0.28,215,0,317,465.95,1.013525,9
8,5000,2857,10,0,10,5,1.3333,8,0,0,0,0,0,0,0,0,1.9985,0.0003,0,27.8,7,0.7437,1.0,0.6433,0,0,0,7,5,688,1021,1721,0.5833,38,8,8,6,1,2,1,0.8571,0,0,0,0,1.0,159216,10400,3104,0.010008,0.494514,0.020124,-2686,82,0,0.143,0.8,0.0172,1.0,0.3194,0.7,32,31,11,107603,1014,60,0,0,0.0047,0.28,187,0,317,293.398,1.013525,6
9,5000,1854,8,0,8,5,1.3333,9,0,0,0,0,0,0,0,0,1.9983,-0.0002,0,28.0,8,0.7492,1.0,0.6467,0,0,0,7,5,761,1111,1884,0.5833,39,9,9,4,1,0,3,0.8286,0,0,0,0,1.0,96007,10234,3530,0.010088,0.504589,0.018017,-3689,106,1,0.1366,0.9,0.0196,1.0,0.2972,0.7,24,26,13,66344,667,48,0,0,0.0043,0.249,177,0,277,196.718,1.023583,11
10,5000,1333,2,0,2,5,1.28,10,0,0,0,0,0,0,0,0,1.9957,-0.0026,0,28.9,9,0.7519,1.0,0.6648,0,0,0,7,7,785,1143,1942,0.5,41,10,10,1,0,1,0,1.0,0,0,0,0,1.0,55304,12879,3887,0.004885,0.504589,0.018017,-521,55,0,0.1144,1.0,0.0093,1.0,0.2626,0.7,7,8,4,39025,371,18,0,0,0.0027,0.492,102,0,231,111.488,1.023583,3
11,5000,999,1,0,1,5,0.0,2,0,0,0,0,0,0,0,0,1.9831,-0.0126,0,29.9,10,0.7535,1.0,0.6577,0,0,0,7,7,803,1166,1983,0.5,41,2,2,1,0,0,0,1.0,0,0,0,0,1.0,31373,12587,4986,0.007037,0.504589,0.018017,-855,57,0,0.0865,1.0,0.0036,1.0,0.2076,0.7,1,1,4,21010,250,9,0,0,0.0023,0.222,84,0,182,74.822,1.023583,2
12,5000,848,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9674,-0.0158,0,30.5,10,0.7552,1.0,0.6577,0,0,0,7,7,807,1172,1993,0.5,41,0,0,0,0,0,0,0.0,0,0,0,0,1.0,19192,12302,7164,0.007741,0.510504,0.017909,-1006,7,1,0.0764,0.49,0.0026,0.36,0.1872,0.695,0,0,0,12761,128,5,0,0,0.002,0.222,71,0,92,37.238,1.028467,1
13,5000,860,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9769,0.0095,0,31.3,10,0.7552,1.0,0.6872,0,0,0,7,7,799,1167,1980,0.5,41,0,0,0,0,0,0,0.0,0,0,0,0,1.0,13980,11761,7931,0.00022,0.510504,0.017909,12,-2,0,0.064,0.316,0.0001,0.03,0.1593,0.7,0,0,3,9184,104,0,0,0,0.0015,0.28,55,0,97,30.25,1.028467,1
14,5000,961,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9366,-0.0403,0,32.8,10,0.7689,1.0,0.6294,0,0,0,6,7,761,1130,1904,0.4615,41,0,0,0,0,0,0,0.0,0,0,0,0,1.0,10002,11253,11090,0.001225,0.510504,0.017909,113,21,0,0.0534,0.322,0.0,0.03,0.1332,0.69,0,0,0,6409,76,0,0,0,0.0011,0.197,40,0,70,21.432,1.028467,1
