window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied,mean_h_age,max_h_age,mean_h_res,max_h_res,mean_h_str,max_h_str,mature_links,rigid_links,brittle_links,hist_matured,hist_snapped,hist_suppressed,avalanche_events,cascade_links,void_mean_V,void_max_V,void_active_nodes,gen_births,gen_candidates,gen_max_p,void_consumed,void_deposited,proliferation_pi,void_induced_births,void_total_mass,void_variance,void_isolated_high,void_active_neighbor_high,void_diffusion_events,void_to_active,void_c_diff,cascade_splashes
1,5000,4643,34,0,34,4,1.3333,1,0,0,0,0,0,0,0,0,1.9992,1.9992,0,14.9,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,34,0,0.0,0,0,0,1,0.9828,162904,18327,2748,0.0001,0.5,0.02,0,0,0,0.0764,0.1,0.0116,0.15,0.1527,0.25,0,0,0,2533,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
2,5000,6171,44,0,44,8,1.0,2,0,0,0,0,0,0,0,0,1.9993,0.0,0,17.1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,2,2,25,4,15,0,0.875,0,0,0,0,1.0,253853,3801,2492,0.009201,0.5,0.02,1528,-2,0,0.1337,0.2,0.015,0.3,0.2992,0.5,0,0,0,167519,0,245,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
3,5000,6047,49,0,49,6,1.5,3,0,0,0,0,0,0,0,0,1.9993,0.0001,0,20.0,2,0.875,1.0,0.165,0,0,0,1,0,64,93,158,1.0,0,3,3,26,4,19,0,0.901,0,0,0,2,0.9386,314860,4064,2730,0.008962,0.492058,0.019928,1404,4,1,0.1605,0.3,0.0184,0.45,0.3587,0.7,0,0,116,229244,1480,252,0,0,0.0035,0.2545,273,0,0,0.0,117,418.394,4.799535,5,17.6478,0.00031,176,97,9979,7594,0.0179,0
4,5000,5266,40,0,40,6,0.7692,4,0,0,0,0,0,0,0,0,1.9993,0.0,2,22.0,3,0.8882,1.0,0.201,0,0,0,1,2,203,322,528,0.3333,23,4,4,21,10,8,1,0.7175,0,0,0,2,0.9533,260869,3767,3133,0.006633,0.492058,0.019928,-781,-11,0,0.1397,0.4,0.02,0.6,0.312,0.7,0,116,27,170154,2245,215,0,0,0.0029,0.1314,258,828,194484,0.102849,1501,669.906,8.044822,217,14.2556,0.000143,5,253,47519,46654,0.0019,0
5,5000,5481,34,0,34,9,2.0,5,0,0,0,0,0,0,0,0,1.9994,0.0001,0,22.6,4,0.8294,1.0,0.3761,0,0,0,2,5,368,622,997,0.2857,28,5,5,21,4,6,3,0.84,0,0,1,0,1.0,253571,3666,3170,0.005224,0.492058,0.019928,-566,3,0,0.1434,0.5,0.0198,0.75,0.3218,0.7,128,113,19,162320,1451,194,0,0,0.0034,0.1545,333,1085,186730,0.136405,1370,417.446,5.174337,191,17.2463,0.000181,6,327,36163,35565,0.0018,0
6,5000,5531,26,1,25,6,2.0,6,0,0,0,0,1,0,8,0,1.9995,0.0,3,24.6,5,0.8317,1.0,0.4543,0,0,0,2,5,491,808,1306,0.2857,30,6,6,13,6,4,3,0.7807,0,0,1,2,0.9649,262121,3739,3285,0.004846,0.494358,0.019977,-516,-5,1,0.1427,0.6,0.018,0.9,0.3232,0.7,97,97,36,170110,1607,144,0,0,0.0034,0.1924,309,642,153731,0.098802,1193,466.56,5.652712,113,16.9471,0.000192,8,301,34932,34355,0.0022,0
7,5000,4532,28,0,28,6,0.9143,7,0,0,0,0,1,0,8,0,1.9995,0.0001,2,26.0,6,0.8245,1.0,0.4952,0,0,0,2,6,601,960,1569,0.25,34,7,7,12,3,7,6,0.8333,0,0,0,0,1.0,245735,6605,3393,0.007712,0.494358,0.019977,-999,89,0,0.1416,0.7,0.0193,1.0,0.3172,0.7,74,74,21,156237,1601,108,0,0,0.0031,0.1536,315,691,160037,0.135755,1282,464.9,6.78537,139,15.5622,0.000159,12,303,34611,33873,0.0029,0
8,5000,3015,9,0,9,5,0.6667,8,0,0,0,0,1,0,8,0,1.9994,-0.0001,0,26.1,7,0.8254,1.0,0.4866,0,0,0,3,7,683,1097,1790,0.3,35,8,8,6,2,0,1,0.8482,0,0,0,0,1.0,163342,10563,3731,0.00997,0.494358,0.019977,-2516,108,0,0.1445,0.8,0.0217,1.0,0.3145,0.7,50,50,17,110792,991,86,0,0,0.0024,0.1475,211,899,132086,0.204438,1086,287.538,6.346862,107,11.9763,0.000126,11,200,20670,19420,0.0027,0
9,5000,1995,9,0,9,5,1.0,9,0,0,0,0,1,0,8,0,1.9989,-0.0005,0,26.2,8,0.8265,1.0,0.5,0,0,0,4,7,769,1214,1994,0.3636,36,9,9,5,0,2,2,1.0,0,0,1,0,1.0,100675,10547,4325,0.010083,0.504424,0.018142,-3536,92,1,0.1361,0.9,0.0202,1.0,0.2929,0.7,30,29,16,69802,681,51,0,0,0.0025,0.4232,220,759,102235,0.218356,876,203.474,6.573702,69,12.3579,0.000165,27,193,14320,11695,0.0044,0
10,5000,1385,4,0,4,3,0.6667,10,0,0,0,0,1,0,8,0,1.9999,0.001,0,26.8,9,0.8319,1.0,0.4895,0,0,0,4,7,795,1264,2070,0.3636,37,10,10,4,0,0,0,1.0,0,0,0,0,1.0,58610,12788,5139,0.005541,0.504424,0.018142,-610,65,0,0.1208,1.0,0.0201,1.0,0.2511,0.7,24,24,7,41024,413,37,0,0,0.0017,0.3658,132,734,83820,0.168266,854,123.488,5.793197,50,8.5214,0.000136,23,109,10736,7600,0.0033,0
