window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied,mean_h_age,max_h_age,mean_h_res,max_h_res,mean_h_str,max_h_str,mature_links,rigid_links,brittle_links,hist_matured,hist_snapped,hist_suppressed,avalanche_events,cascade_links,void_mean_V,void_max_V,void_active_nodes,gen_births,gen_candidates,gen_max_T,gen_max_delta,void_consumed,void_deposited,proliferation_pi,void_induced_births,void_total_mass,void_variance,void_isolated_high,void_active_neighbor_high,void_diffusion_events,void_to_active,void_c_diff,cascade_splashes,circ_proximity_restored,circ_proximity_restore_total,circ_heat_events,circ_heat_total,circ_capture_events,circ_capture_total,circ_dynamic_bg_prob,circ_pi_tension_snap,circ_pi_tension_entropy,circ_pi_tension_energy
1,5000,4764,39,0,39,4,1.3333,1,0,0,0,0,0,0,0,0,1.9992,1.9992,0,16.6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,39,0,0.0,0,0,0,0,1.0,163066,23002,3054,0.0001,0.5,0.02,0,0,0,0.0759,0.1,0.0112,0.15,0.1435,0.25,0,0,0,2556,0,0,0,0,0.0043,0.0496,647,0,0,0.0,0.0,2449,0.0,5.537449,839,21.6914,3.7e-05,276,6,223922,189231,0.0297,0,138760,273.8592,22551,6.8943,184132,1310.2385,0.003,0.0,0.0,0.284292
2,5000,6422,47,0,47,6,0.6061,2,0,0,0,0,0,0,0,0,1.9993,0.0,0,19.4,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,2,2,26,5,16,0,0.8952,0,0,0,1,0.9792,256269,4840,4677,0.009399,0.5,0.02,1658,3,0,0.1342,0.2,0.0143,0.3,0.294,0.5,0,0,0,174872,0,239,0,0,0.0038,0.4504,404,1848,1848,0.202327,0.182168,3316,0.0,19.688497,2490,19.1532,0.000234,0,138,77639,76496,0.0038,0,154844,73.2993,14277,2.5564,239747,276.4469,0.003831,0.0,1.999244,0.42446
3,5000,6303,66,0,66,9,1.3333,3,0,0,0,0,0,0,0,0,1.9993,0.0,0,23.1,2,0.8952,1.0,0.1212,0,0,0,0,2,76,129,207,0.0,0,3,3,18,14,31,3,0.6797,0,0,0,0,1.0,316431,5002,4967,0.00922,0.491592,0.01976,1539,13,1,0.1613,0.3,0.0173,0.45,0.3549,0.7,0,0,56,236989,1306,231,0,0,0.014,0.2456,1525,2783,2783,0.647453,0.647453,3401,367.598,12.283178,2778,69.9352,0.000687,0,1482,92898,92175,0.004,0,148781,89.3506,15714,2.0984,291075,337.1249,0.005953,0.207203,1.1e-05,0.508358
4,5000,5484,50,1,49,8,1.6,4,0.9183,0.9183,0,0,1,0,4,0,1.9992,-0.0001,3,24.5,3,0.7857,1.0,0.3353,0,0,0,1,3,223,390,617,0.25,27,4,4,19,12,14,5,0.7042,0,0,1,1,0.9697,270396,4610,4673,0.006845,0.491592,0.01976,-819,-22,0,0.1429,0.4,0.0201,0.6,0.3121,0.7,0,108,35,182656,2339,206,0,0,0.0106,0.2252,1184,1764,1764,0.431229,0.279721,3403,706.008,15.277056,2826,52.9605,0.000522,0,1109,115064,113994,0.0044,0,138722,102.7824,10625,1.6736,279807,337.7931,0.004842,0.426513,3.9e-05,0.578847
5,5000,5687,46,0,46,6,0.8889,5,0,0,0,0,1,0,4,0,1.9991,-0.0001,0,25.0,4,0.7588,1.0,0.445,0,0,0,3,5,433,767,1208,0.375,32,5,5,14,16,11,5,0.6014,0,0,0,3,0.9444,257710,4243,5012,0.005583,0.491592,0.01976,-616,-11,0,0.1439,0.5,0.0189,0.75,0.3176,0.7,127,99,31,169738,1476,184,0,0,0.0095,0.2143,1140,1843,1843,0.435937,0.357586,3391,433.372,14.234195,2741,47.3125,0.000391,0,1024,95402,94491,0.0042,0,117920,74.5539,7820,1.293,247889,301.472,0.005292,0.259539,9.6e-05,0.631004
6,5000,5856,32,1,31,6,2.0,6,0,0,0,0,2,0,10,0,1.9991,-0.0,3,26.8,5,0.7208,1.0,0.5743,0,0,0,4,10,606,1034,1654,0.2857,42,6,6,9,10,5,8,0.5368,0,0,1,3,0.94,267108,4341,5712,0.004294,0.493393,0.019692,-447,8,1,0.1423,0.6,0.0163,0.9,0.3191,0.7,92,86,41,177513,1583,123,0,0,0.0108,0.2533,1223,1741,1741,0.557379,0.491831,3544,467.686,14.705811,2838,54.0849,0.00054,1,1131,95793,94999,0.0037,0,113425,64.7922,6797,1.0995,249292,301.5198,0.005135,0.270321,7.6e-05,0.669752
7,5000,5518,31,0,31,9,1.1429,7,0,0,0,0,2,0,10,0,1.9988,-0.0002,2,28.5,6,0.6963,1.0,0.6983,0,0,0,4,10,757,1266,2037,0.2857,45,7,7,10,8,5,8,0.6861,0,0,0,2,0.9583,263280,5316,5935,0.003357,0.493393,0.019692,-338,-11,0,0.141,0.7,0.0159,1.0,0.3177,0.705,72,71,37,171367,1661,101,0,0,0.0105,0.2704,1211,1838,1838,0.544293,0.35557,3413,488.498,15.140451,2770,52.3726,0.000483,0,1138,99669,98680,0.0056,0,106834,67.1991,6698,1.0326,238141,312.4881,0.005206,0.301015,4.8e-05,0.688141
8,5000,4706,31,0,31,7,1.4286,8,0,0,0,0,2,0,10,0,1.9984,-0.0004,2,29.2,7,0.6952,1.0,0.7225,0,0,0,5,12,858,1414,2289,0.2941,50,8,8,7,11,4,9,0.5146,0,0,0,3,0.9295,231437,7824,5560,0.008278,0.493393,0.019692,-1150,37,0,0.1429,0.8,0.0168,1.0,0.3191,0.7,55,55,18,155387,1395,97,0,0,0.0097,0.2037,1161,3053,3053,0.518055,0.415799,3445,407.344,15.204441,2884,48.4476,0.000418,0,1111,97118,94945,0.0069,0,91872,62.151,6670,1.1235,218525,369.9799,0.005271,0.29643,0.000232,0.700079
9,5000,3766,22,0,22,5,1.1429,9,0,0,0,0,2,0,10,0,1.9982,-0.0002,0,29.7,8,0.677,1.0,0.8273,0,0,0,5,14,966,1596,2581,0.2632,57,9,9,10,4,3,5,0.8122,0,0,1,0,1.0,186528,9585,5682,0.009799,0.502897,0.018812,-2090,45,1,0.146,0.9,0.0192,1.0,0.3169,0.7,49,49,25,128403,1228,91,0,0,0.0091,0.2621,1105,5180,5180,0.505887,0.371911,3528,356.154,15.585623,3014,45.3295,0.000414,0,1082,88007,83774,0.0085,0,77717,61.0696,4987,0.9966,183845,392.8964,0.005281,0.326075,0.000448,0.717014
10,5000,3000,20,0,20,5,1.125,10,0,0,0,0,2,0,10,0,1.9987,0.0005,0,29.3,9,0.6868,1.0,0.8079,0,0,0,5,14,1053,1748,2820,0.2632,57,10,10,11,2,2,5,0.9654,0,0,0,0,1.0,139430,10427,5829,0.006546,0.502897,0.018812,-766,26,0,0.1428,1.0,0.0192,1.0,0.3065,0.7,41,43,16,98055,938,72,0,0,0.0085,0.4253,1084,7316,7316,0.578105,0.395328,3530,279.714,15.612689,3044,42.5326,0.000412,0,1054,72802,66638,0.0096,0,56975,45.5504,4201,1.1944,123542,392.7445,0.005338,0.312667,0.000217,0.734109
