window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied,mean_h_age,max_h_age,mean_h_res,max_h_res,mean_h_str,max_h_str,mature_links,rigid_links,brittle_links,hist_matured,hist_snapped,hist_suppressed,avalanche_events,cascade_links,void_mean_V,void_max_V,void_active_nodes,gen_births,gen_candidates,gen_max_T,gen_max_delta,void_consumed,void_deposited,proliferation_pi,void_induced_births,void_total_mass,void_variance,void_isolated_high,void_active_neighbor_high,void_diffusion_events,void_to_active,void_c_diff,cascade_splashes,echo_deposits,echo_latent_total,r0_to_rplus,rplus_to_r0,total_rplus,total_r0,amplified_pairs,active_scars,reformations,reforms_alive,mean_reform_latency,max_reform_latency
1,5000,4644,37,0,37,4,0.8889,1,0,0,0,0,0,0,0,0,1.9993,1.9993,0,15.6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,37,0,0.0,0,0,0,1,0.977,162238,18318,2889,0.0001,0.5,0.02,0,0,0,0.0764,0.1,0.0121,0.15,0.1532,0.25,0,0,0,2522,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,1405,592,283,4361,797862,0,0,0,0.0,0
2,5000,6210,46,0,46,8,1.5,2,0,0,0,0,0,0,0,0,1.9993,-0.0,0,17.8,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,2,2,27,6,13,0,0.9038,0,0,0,2,0.942,254526,3917,3001,0.009264,0.5,0.02,1566,8,0,0.134,0.2,0.016,0.3,0.3004,0.5,0,0,0,167984,0,265,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,131,46,332,5878,805212,0,0,0,0.0,0
3,5000,6036,57,0,57,7,0.8,3,0,0,0,0,0,0,0,0,1.9993,0.0001,0,20.7,2,0.9038,1.0,0.1317,0,0,0,1,3,79,92,175,0.25,0,3,3,23,11,21,2,0.7473,0,0,0,3,0.9389,317432,4016,2731,0.008936,0.492104,0.019803,1392,11,1,0.161,0.3,0.0193,0.45,0.3603,0.7,0,0,123,231319,1479,259,0,0,0.0033,0.2628,249,0,0,0.0,0.0,99,401.872,4.804819,5,16.7447,0.000313,143,106,8888,6899,0.0152,0,58,6.6175,344,240,261,5775,810138,58,0,0,0.0,0
4,5000,5227,38,0,38,6,1.1429,4,0,0,0,0,0,0,0,0,1.9993,0.0,2,21.7,3,0.8244,1.0,0.331,0,0,0,5,5,204,325,539,0.5,25,4,4,18,8,11,1,0.7981,0,0,0,0,1.0,263300,3812,2908,0.00679,0.492104,0.019803,-809,-15,0,0.1415,0.4,0.0208,0.6,0.3161,0.7,0,108,32,171153,2275,245,0,0,0.003,0.2363,252,426,426,0.109393,0.061188,1363,671.93,8.193824,187,15.0276,0.000169,3,249,44823,44448,0.0017,0,21,2.5164,212,196,156,5071,827186,79,0,0,0.0,0
5,5000,5442,43,0,43,6,1.25,5,0,0,0,0,0,0,0,0,1.9993,-0.0,0,22.9,4,0.817,1.0,0.375,0,0,0,5,6,388,654,1053,0.4545,30,5,5,21,8,8,6,0.7444,0,0,0,0,1.0,255259,3646,3056,0.005428,0.492104,0.019803,-594,2,0,0.1441,0.5,0.0201,0.75,0.3229,0.7,129,102,26,163518,1449,208,0,0,0.0038,0.191,379,248,248,0.177575,0.063948,1384,412.692,5.202872,182,18.9982,0.000222,2,377,33693,33456,0.0016,0,10,1.5774,224,134,167,5275,834860,89,0,0,0.0,0
6,5000,5548,35,0,35,7,1.0,6,0,0,0,0,0,0,0,0,1.9993,-0.0,2,24.2,5,0.7998,1.0,0.4954,0,0,0,6,9,499,814,1328,0.4,36,6,6,20,7,4,4,0.8069,0,0,0,0,1.0,260333,3760,3079,0.004626,0.494198,0.019739,-488,7,1,0.1416,0.6,0.0173,0.9,0.3215,0.7,90,90,35,168020,1623,142,0,0,0.0032,0.233,272,233,233,0.129492,0.054692,1189,474.074,5.689379,119,16.1211,0.000193,2,270,33946,33741,0.0015,0,3,0.3159,156,101,147,5401,841136,92,0,0,0.0,0
7,5000,4603,27,0,27,5,1.5,7,0,0,0,0,0,0,0,0,1.9998,0.0005,2,26.3,6,0.8011,1.0,0.5711,0,0,0,8,11,657,1038,1714,0.4211,45,7,7,13,4,4,6,0.7843,0,0,0,0,1.0,247686,6796,3077,0.007475,0.494198,0.019739,-945,59,0,0.1427,0.7,0.0171,1.0,0.3235,0.7,64,63,27,159262,1582,97,0,0,0.0029,0.2607,277,321,321,0.165619,0.082163,1175,457.304,6.615334,106,14.4386,0.000178,1,276,33154,32902,0.0019,0,6,0.6074,177,138,106,4497,847500,98,0,0,0.0,0
8,5000,2815,13,0,13,5,1.5,8,0,0,0,0,0,0,0,0,1.9998,0.0,0,26.0,7,0.7993,1.0,0.6007,0,0,0,9,11,794,1244,2058,0.45,48,8,8,3,2,3,5,0.75,0,0,0,0,1.0,164623,11330,3773,0.010016,0.494198,0.019739,-2733,74,0,0.1431,0.8,0.0162,1.0,0.3222,0.7,33,32,17,112834,1059,59,0,0,0.0024,0.1451,234,661,661,0.192372,0.080983,960,307.154,7.188038,76,11.8991,0.000135,1,233,18552,18147,0.0018,0,2,0.2586,96,85,60,2755,854806,100,0,0,0.0,0
9,5000,1930,3,0,3,3,0.0,9,0,0,0,0,0,0,0,0,1.9992,-0.0006,0,26.1,8,0.7979,1.0,0.6084,0,0,0,10,11,879,1367,2267,0.4762,51,9,9,2,1,0,0,0.9167,0,0,0,0,1.0,94790,10507,3881,0.010086,0.504269,0.018356,-3618,69,1,0.1317,0.9,0.0145,1.0,0.2947,0.7,19,21,9,65571,669,36,0,0,0.0019,0.1554,178,760,760,0.15356,0.088351,720,195.02,6.667707,47,9.3168,0.000114,0,178,8658,8171,0.0019,0,1,0.102,5,36,18,1912,865622,101,0,0,0.0,0
10,5000,1480,2,0,2,3,0.0,10,0,0,0,0,0,0,0,0,1.9991,-0.0001,0,26.7,9,0.8,1.0,0.6084,0,0,0,10,11,905,1417,2343,0.4762,51,10,10,2,0,0,0,1.0,0,0,0,0,1.0,59168,12303,5437,0.004319,0.504269,0.018356,-450,61,0,0.1148,1.0,0.0102,1.0,0.2621,0.7,11,11,8,40630,428,19,0,0,0.0013,0.1833,104,833,833,0.241919,0.072033,484,128.492,5.627767,12,6.5091,9.5e-05,1,103,4594,4104,0.0015,0,1,0.1202,7,9,8,1472,878366,102,0,0,0.0,0
