window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied,mean_h_age,max_h_age,mean_h_res,max_h_res,mean_h_str,max_h_str,mature_links,rigid_links,brittle_links,hist_matured,hist_snapped,hist_suppressed,avalanche_events,cascade_links,void_mean_V,void_max_V,void_active_nodes,gen_births,gen_candidates,gen_max_T,gen_max_delta,void_consumed,void_deposited,proliferation_pi,void_induced_births,void_total_mass,void_variance,void_isolated_high,void_active_neighbor_high,void_diffusion_events,void_to_active,void_c_diff,cascade_splashes,r0_to_rplus,rplus_to_r0,total_rplus,total_r0,amplified_pairs,mem_size,mem_mean,mem_max,mem_deposits,mem_total,mem_reforms,mem_bonus_total,floor_applied,active_nodes_mean
1,5000,4643,37,0,37,4,0.8889,1,0,0,0,0,0,0,0,0,1.9993,1.9993,0,15.9,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,37,0,0.0,0,0,0,1,0.977,162227,18315,2889,0.0001,0.5,0.02,0,0,0,0.0764,0.1,0.0121,0.15,0.1532,0.25,0,0,0,2522,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1405,592,283,4360,523782,0,0,0,0,0.0,0,0.0,0,4001.7
2,5000,6208,46,0,46,8,1.5,2,0,0,0,0,0,0,0,0,1.9993,-0.0,0,18.2,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,2,2,27,6,13,0,0.9038,0,0,0,2,0.942,254470,3914,3001,0.009262,0.5,0.02,1565,8,0,0.1341,0.2,0.016,0.3,0.3004,0.5,0,0,0,167972,0,265,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,131,46,332,5876,335746,0,0,0,0,0.0,0,0.0,0,3225.0
3,5000,5982,62,0,62,6,2.0,3,0,0,0,0,0,0,0,0,1.9993,0.0,0,21.0,2,0.9038,1.0,0.1317,0,0,0,1,3,79,92,175,0.25,0,3,3,22,15,23,2,0.6914,0,0,1,1,0.9778,316441,4087,2630,0.008814,0.492319,0.019894,1339,6,1,0.1624,0.3,0.0195,0.45,0.3634,0.7,0,0,123,231645,1475,260,0,0,0.0035,0.258,252,0,0,0.0,0.0,107,417.054,4.833892,1,17.4238,0.000332,148,104,9072,6990,0.0158,0,323,236,252,5730,226704,60,0.0866,0.2164,60,6.8976,0,0.0,114,2639.1
4,5000,5248,42,0,42,7,1.2,4,0,0,0,0,0,0,0,0,1.9993,-0.0,2,22.3,3,0.7915,1.0,0.3779,0,0,0,4,4,205,326,539,0.5,27,4,4,16,11,14,1,0.7435,1,0,0,0,1.0,262571,3744,2954,0.006355,0.492319,0.019894,-734,-11,0,0.141,0.4,0.0205,0.6,0.3159,0.7,0,105,30,171835,2314,245,0,0,0.003,0.2381,262,449,449,0.104963,0.064234,1400,691.154,8.288298,181,15.1936,0.000167,3,259,46431,46029,0.0017,0,206,192,167,5081,162026,89,0.0556,0.1599,29,3.6609,0,0.0,481,2209.4
5,5000,5549,36,0,36,6,0.8889,5,0,0,0,0,0,0,0,0,1.9992,-0.0,0,23.0,4,0.7782,1.0,0.4464,0,0,0,4,8,396,650,1058,0.3333,33,5,5,16,9,8,3,0.7116,0,0,0,0,1.0,255704,3648,2914,0.004178,0.492319,0.019894,-433,3,0,0.1423,0.5,0.0191,0.75,0.3204,0.7,125,96,28,163551,1512,211,0,0,0.004,0.2082,383,244,244,0.176408,0.096862,1471,435.256,5.318648,196,20.2004,0.000248,2,381,35960,35735,0.0015,0,153,134,131,5418,116446,102,0.0492,0.3121,13,1.9474,0,0.0,513,1864.9
6,5000,5652,33,0,33,7,0.9143,6,0,0,0,0,0,0,0,0,1.9993,0.0001,2,24.8,5,0.7645,1.0,0.4982,0,0,0,4,8,532,851,1395,0.3333,38,6,6,16,7,4,6,0.7474,0,0,0,3,0.9333,267717,3762,3112,0.003285,0.493365,0.019763,-330,20,1,0.1423,0.6,0.0169,0.9,0.3247,0.7,92,91,38,172269,1631,149,0,0,0.0033,0.2293,293,183,183,0.121378,0.061421,1190,475.494,5.61637,116,16.4493,0.000193,3,290,35074,34906,0.0017,0,195,109,146,5506,85804,107,0.0378,0.222,5,0.6671,0,0.0,531,1595.7
7,5000,4558,26,0,26,5,1.0,7,0,0,0,0,0,0,0,0,1.9992,-0.0002,2,26.4,6,0.7618,1.0,0.5648,0,0,0,5,10,661,1017,1693,0.3333,43,7,7,12,4,5,5,0.825,0,0,0,0,1.0,247459,7235,2978,0.008083,0.493365,0.019763,-1094,61,0,0.1428,0.7,0.0172,1.0,0.3236,0.7,60,61,30,160157,1612,99,0,0,0.0032,0.3032,295,310,310,0.155921,0.079641,1151,471.43,6.792417,131,16.239,0.000197,3,292,34285,34044,0.0018,0,203,138,125,4433,69696,115,0.0277,0.1435,8,0.8869,0,0.0,558,1438.7
8,5000,2834,14,0,14,7,1.1429,8,0,0,0,0,0,0,0,0,2.0,0.0008,0,26.6,7,0.7681,1.0,0.5864,0,0,0,5,10,787,1182,1984,0.3333,46,8,8,7,2,3,2,0.8476,0,0,0,2,0.9551,160984,10625,3549,0.010029,0.493365,0.019763,-2818,42,0,0.1418,0.8,0.0179,1.0,0.3158,0.7,31,34,13,109990,1060,73,0,0,0.0022,0.1883,211,704,704,0.204031,0.129995,970,308.36,7.150227,84,10.896,0.000125,0,211,19207,18779,0.0015,0,119,110,62,2772,64242,119,0.0222,0.2687,5,1.0327,0,0.0,553,1377.7
9,5000,1982,7,0,7,4,0.4286,9,0,0,0,0,0,0,0,0,1.9999,-0.0001,0,26.6,8,0.7723,1.0,0.5949,0,0,0,7,10,882,1312,2211,0.4118,48,9,9,4,1,0,2,0.8857,0,0,0,1,0.975,99269,10331,4187,0.010087,0.503439,0.018938,-3670,41,1,0.1342,0.9,0.0176,1.0,0.2955,0.7,23,26,10,66985,665,51,0,0,0.0022,0.3799,191,749,749,0.136068,0.10354,705,196.592,6.469434,40,10.8193,0.00018,0,191,8553,8112,0.0013,0,24,44,23,1959,54850,122,0.0169,0.1785,4,0.4719,0,0.0,551,1267.6
10,5000,1348,3,0,3,3,0.0,10,0,0,0,0,0,0,0,0,1.9992,-0.0006,0,27.0,9,0.7755,1.0,0.5949,0,0,0,7,10,922,1351,2290,0.4118,49,10,8,3,0,0,0,1.0,0,0,0,1,0.9792,59024,10226,4779,0.005708,0.503439,0.018938,-634,19,0,0.1205,1.0,0.0136,1.0,0.2667,0.7,12,15,8,41351,414,23,0,0,0.0012,0.1849,95,725,725,0.124576,0.081448,471,122.856,5.956326,12,6.1448,9.1e-05,2,93,4580,4113,0.0015,0,0,4,13,1335,45776,122,0.0117,0.1237,0,0.0,0,0.0,563,1151.9
