window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied,mean_h_age,max_h_age,mean_h_res,max_h_res,mean_h_str,max_h_str,mature_links,rigid_links,brittle_links,hist_matured,hist_snapped,hist_suppressed,avalanche_events,cascade_links,void_mean_V,void_max_V,void_active_nodes,gen_births,gen_candidates,gen_max_T,gen_max_delta,void_consumed,void_deposited,proliferation_pi,void_induced_births,void_total_mass,void_variance,void_isolated_high,void_active_neighbor_high,void_diffusion_events,void_to_active,void_c_diff,cascade_splashes,r0_to_rplus,rplus_to_r0,total_rplus,total_r0,amplified_pairs,echo_deposits,echo_latent_total,reforms_alive,reformations,v_energy,v_recurrence_n,v_motifs,v_labels,v_born,v_died,v_torque_n,v_torque_mean,v_torque_success
1,5000,4644,37,0,37,4,0.8889,1,0,0,0,0,0,0,0,0,1.9993,1.9993,0,15.6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,37,0,0.0,0,0,0,1,0.977,162238,18318,2889,0.0001,0.5,0.02,0,0,0,0.0764,0.1,0.0121,0.15,0.1532,0.25,0,0,0,2522,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1405,592,283,4361,797862,0,0.0,0,0,328.0776,283,74,74,74,0,275,0.517437,49.0761
2,5000,6211,46,0,46,8,1.5,2,0,0,0,0,0,0,0,0,1.9993,-0.0,0,17.7,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,2,2,27,6,13,0,0.9038,0,0,0,2,0.942,254571,3917,2956,0.009265,0.5,0.02,1567,8,0,0.134,0.2,0.016,0.3,0.3004,0.5,0,0,0,167984,0,265,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,131,46,332,5879,805212,0,0.0,0,0,347.2143,332,81,87,13,0,325,0.588836,7.8911
3,5000,6037,57,0,57,7,0.8,3,0,0,0,0,0,0,0,0,1.9993,0.0001,0,20.5,2,0.9038,1.0,0.1317,0,0,0,1,3,79,92,175,0.25,0,3,3,23,11,21,2,0.7473,0,0,0,3,0.9389,317485,4016,2728,0.008938,0.4921,0.019803,1393,11,1,0.161,0.3,0.0193,0.45,0.3603,0.7,0,0,123,231365,1479,259,0,0,0.0033,0.2629,249,0,0,0.0,0.0,99,401.872,4.804054,5,16.6604,0.00031,142,107,8886,6897,0.0151,0,344,240,261,5776,810138,58,6.6175,0,0,470.9252,398,66,113,26,0,426,0.592104,30.6146
4,5000,5227,38,0,38,6,1.1429,4,0,0,0,0,0,0,0,0,1.9993,0.0,2,21.7,3,0.8244,1.0,0.331,0,0,0,3,7,208,321,539,0.3,25,4,4,18,8,11,1,0.7981,0,0,0,0,1.0,263335,3812,2918,0.006796,0.4921,0.019803,-810,-15,0,0.1415,0.4,0.0208,0.6,0.3161,0.7,0,108,32,171198,2276,245,0,0,0.003,0.2363,252,424,424,0.106686,0.061492,1365,672.21,8.197008,187,15.0383,0.000169,3,249,44836,44462,0.0017,0,212,196,156,5071,827088,21,2.5164,0,0,502.7082,353,41,123,10,0,463,0.619167,27.9327
5,5000,5442,43,0,43,6,1.25,5,0,0,0,0,0,0,0,0,1.9993,-0.0,0,22.7,4,0.817,1.0,0.375,0,0,0,3,8,404,638,1053,0.2727,30,5,5,21,8,8,6,0.7444,0,0,0,0,1.0,255259,3646,3068,0.005435,0.4921,0.019803,-595,2,0,0.1441,0.5,0.0201,0.75,0.3229,0.7,129,102,26,163486,1449,208,0,0,0.0038,0.1911,379,248,248,0.178465,0.095282,1385,412.692,5.202872,182,19.004,0.000222,2,377,33693,33456,0.0016,0,224,134,167,5275,834760,10,1.5774,0,0,555.8777,396,42,137,14,0,519,0.626757,29.4571
6,5000,5548,35,0,35,7,1.0,6,0,0,0,0,0,0,0,0,1.9993,0.0,2,24.0,5,0.7998,1.0,0.4954,0,0,0,6,9,522,791,1328,0.4,36,6,6,20,7,4,4,0.8069,0,0,0,0,1.0,260297,3759,3117,0.004634,0.494201,0.019748,-489,6,1,0.1416,0.6,0.0173,0.9,0.3215,0.7,90,90,35,168020,1623,142,0,0,0.0032,0.233,272,233,233,0.125841,0.05914,1189,474.074,5.689379,119,16.1293,0.000193,2,270,33969,33764,0.0015,0,156,101,147,5401,841036,3,0.3159,0,0,604.1854,395,38,151,14,0,569,0.619622,26.8341
7,5000,4755,28,0,28,5,1.5,7,0,0,0,0,0,0,0,0,1.9997,0.0004,2,25.8,6,0.8011,1.0,0.5711,0,0,0,8,11,682,1014,1715,0.4211,45,7,7,14,4,3,7,0.7963,0,0,0,1,0.9783,249694,6469,3046,0.006701,0.494201,0.019748,-793,59,0,0.143,0.7,0.0172,1.0,0.3241,0.7,67,68,29,160333,1587,104,0,0,0.0031,0.2607,299,303,303,0.169144,0.067712,1176,458.704,6.437796,100,15.5191,0.000195,1,298,33020,32782,0.002,0,172,134,119,4636,847412,6,0.6074,0,0,651.7328,398,30,164,13,0,613,0.627489,32.7518
8,5000,3013,15,0,15,5,1.0,8,0,0,0,0,0,0,0,0,1.9993,-0.0004,0,26.5,7,0.8005,1.0,0.5862,0,0,0,9,11,824,1216,2060,0.45,48,8,8,6,1,2,6,0.9429,0,0,0,0,1.0,172255,11212,3723,0.009975,0.494201,0.019748,-2535,88,0,0.1441,0.8,0.0165,1.0,0.3246,0.7,35,35,20,117704,1093,58,0,0,0.0026,0.1607,250,632,632,0.19563,0.084054,962,315.174,6.95288,64,12.7969,0.000148,1,249,19268,18888,0.0014,0,107,98,65,2948,855968,8,1.1861,0,0,673.0142,371,16,169,5,0,635,0.634217,33.2242
9,5000,1970,1,0,1,3,0.0,6,0,0,0,0,0,0,0,0,1.9981,-0.0012,0,26.0,8,0.8063,1.0,0.5784,0,0,0,9,11,910,1372,2302,0.45,53,6,6,1,0,0,0,1.0,0,0,0,0,1.0,98963,10846,4065,0.010084,0.50427,0.018089,-3578,83,1,0.1287,0.9,0.0126,1.0,0.2921,0.7,14,16,6,67707,718,35,0,0,0.0015,0.1792,137,831,831,0.170964,0.083773,752,209.188,6.982852,58,7.452,9e-05,0,137,9525,9017,0.0011,0,27,41,20,1950,867570,1,0.1857,0,0,666.5169,345,5,169,0,0,635,0.652201,29.6519
10,5000,1573,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9952,-0.0029,0,26.4,8,0.8074,1.0,0.5784,0,0,0,9,11,950,1430,2400,0.45,53,0,0,0,0,0,0,0.0,0,0,0,0,1.0,61470,12077,4898,0.003874,0.50427,0.018089,-397,70,0,0.109,1.0,0.0059,1.0,0.2579,0.7,3,3,10,41701,428,15,0,0,0.0013,0.2141,109,670,670,0.15908,0.074621,492,127.586,5.311399,15,6.5222,9.5e-05,0,109,4336,3938,0.0013,0,11,14,3,1570,879218,2,0.238,0,0,655.6372,345,1,169,0,0,635,0.629489,31.468
