window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,total_rplus,v_energy,v_recurrence_n,v_motifs,v_labels,v_born,v_died,v_torque_n,v_torque_mean,v_torque_success
1,5000,6177,14,0,14,5,0.6,0,0,0,0,0,0,0,0,0,1.9992,1.9992,0,15.3,0,0,0,0,0,0,0,0,0,0
2,5000,3746,2,0,2,5,1.0,0,0,0,0,0,0,0,0,0,1.9992,0.0,0,16.6,0,0,0,0,0,0,0,0,0,0
3,5000,3511,4,0,4,5,1.0,0,0,0,0,0,0,0,0,0,1.9992,0.0,0,17.8,0,0,0,0,0,0,0,0,0,0
4,5000,3340,1,0,1,3,0.0,0,0,0,0,0,0,0,0,0,1.9993,0.0001,0,19.0,0,0,0,0,0,0,0,0,0,0
5,5000,3222,2,0,2,5,0.4,0,0,0,0,0,0,0,0,0,1.9993,0.0,0,19.7,0,0,0,0,0,0,0,0,0,0
6,5000,3203,1,0,1,5,0.72,0,0,0,0,0,0,0,0,0,1.9995,0.0001,2,22.0,0,0,0,0,0,0,0,0,0,0
7,5000,3095,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9975,-0.002,2,23.1,0,0,0,0,0,0,0,0,0,0
8,5000,3040,1,0,1,5,1.25,0,0,0,0,0,0,0,0,0,1.9976,0.0001,1,25.1,0,0,0,0,0,0,0,0,0,0
9,5000,3125,1,0,1,5,1.6,0,0,0,0,0,0,0,0,1,1.9899,-0.0077,1,25.7,0,0,0,0,0,0,0,0,0,0
10,5000,3083,1,0,1,3,0.33,0,0,0,0,0,0,0,0,0,1.994,0.0041,2,27.3,0,0,0,0,0,0,0,0,0,0
11,5000,3136,1,0,1,5,0.6,0,0,0,0,0,0,0,0,0,1.9868,-0.0072,2,28.2,0,0,0,0,0,0,0,0,0,0
12,5000,3061,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9892,0.0024,2,28.6,0,0,0,0,0,0,0,0,0,0
13,5000,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9952,0.006,1,29.6,0,0,0,0,0,0,0,0,0,0
14,5000,3088,1,0,1,3,0.33,0,0,0,0,0,0,0,0,0,1.9992,0.004,1,30.4,0,0,0,0,0,0,0,0,0,0
15,5000,3137,1,0,1,4,0.64,0,0,0,0,0,0,0,0,1,1.9855,-0.0138,1,31.0,0,0,0,0,0,0,0,0,0,0
16,5000,3133,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9569,-0.0286,2,31.8,0,0,0,0,0,0,0,0,0,0
17,5000,3104,1,0,1,3,0.33,0,0,0,0,0,0,0,0,3,1.9778,0.0209,1,33.0,0,0,0,0,0,0,0,0,0,0
