window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,total_rplus,v_energy,v_recurrence_n,v_motifs,v_labels,v_born,v_died,v_torque_n,v_torque_mean,v_torque_success
1,5000,6177,14,0,14,5,0.6,0,0,0,0,0,0,0,0,0,1.9992,1.9992,0,15.2,665,54.1459,14,14,14,14,0,204,0.3486,9.1882
2,5000,3746,2,0,2,5,1.0,0,0,0,0,0,0,0,0,0,1.9992,0.0,0,16.4,530,60.1053,2,2,16,2,0,245,0.395928,2.7803
3,5000,3511,4,0,4,5,1.0,0,0,0,0,0,0,0,0,0,1.9992,0.0,0,17.7,405,75.2395,4,4,20,4,0,327,0.368978,3.705
4,5000,3340,1,0,1,3,0.0,0,0,0,0,0,0,0,0,0,1.9993,0.0001,0,19.4,290,73.3118,1,1,20,0,0,327,0.39626,5.1012
5,5000,3222,2,0,2,5,0.4,0,0,0,0,0,0,0,0,0,1.9993,0.0,0,20.4,214,84.7424,3,2,22,2,0,377,0.405639,4.6921
6,5000,3203,1,0,1,5,0.72,0,0,0,0,0,0,0,0,0,1.9994,0.0001,2,21.7,73,86.5534,2,1,23,1,0,396,0.390776,3.5826
7,5000,3108,3,0,3,5,1.6,0,0,0,0,0,0,0,0,0,1.9975,-0.0019,2,23.4,47,100.9358,4,3,26,3,0,459,0.396468,5.9709
8,5000,3075,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.996,-0.0016,2,24.6,24,102.0459,1,0,26,0,0,459,0.379236,6.2721
9,5000,3128,1,0,1,5,2.0,0,0,0,0,0,0,0,0,0,1.9891,-0.0069,1,26.2,22,105.1207,2,1,27,1,0,483,0.396543,5.119
10,5000,3134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9861,-0.003,1,27.1,6,100.2763,1,0,27,0,0,483,0.384936,3.1852
11,5000,3074,1,0,1,3,0.0,0,0,0,0,0,0,0,0,3,1.9854,-0.0006,1,27.1,8,104.5851,2,1,28,1,0,493,0.377442,6.3178
12,5000,3101,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9953,0.0099,1,28.5,3,103.4566,1,0,28,0,0,493,0.35691,5.1492
13,5000,3086,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9932,-0.0021,1,29.5,3,98.3506,1,0,28,0,0,493,0.368382,3.703
14,5000,3107,2,0,2,4,0.67,0,0,0,0,0,0,0,0,1,1.9527,-0.0405,1,30.1,13,108.5264,3,2,30,2,0,526,0.373263,7.3248
15,5000,3101,1,0,1,3,0.33,0,0,0,0,0,0,0,0,1,1.9359,-0.0169,1,31.0,12,110.9512,2,1,31,1,0,540,0.372996,5.4406
16,5000,3131,1,0,1,4,0.6,0,0,0,0,0,0,0,0,3,1.9408,0.005,2,30.6,13,110.7622,2,1,32,1,0,556,0.369581,5.4319
17,5000,3082,1,0,1,5,0.0,0,0,0,0,0,0,0,0,3,1.9764,0.0356,2,32.6,22,116.855,2,1,33,1,0,576,0.373465,8.4864
18,5000,3080,1,0,1,4,1.5,0,0,0,0,0,0,0,0,0,1.992,0.0156,2,32.6,10,121.2205,2,1,34,1,0,594,0.38013,6.927
19,5000,3053,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9373,-0.0547,2,34.1,7,120.3891,1,0,34,0,0,594,0.372205,7.1718
20,5000,3114,1,0,1,5,0.44,0,0,0,0,0,0,0,0,3,1.9575,0.0202,1,33.7,8,123.5631,2,1,34,1,1,614,0.366435,6.3795
21,5000,3123,2,0,2,5,0.48,0,0,0,0,0,0,0,0,3,1.9766,0.0191,1,34.7,13,131.2866,3,2,36,2,0,653,0.370114,7.9737
22,5000,2990,1,0,1,5,1.6,0,0,0,0,0,0,0,0,3,1.9542,-0.0224,2,34.9,24,134.3264,2,1,36,1,1,667,0.384957,6.0389
23,5000,3177,3,0,3,5,0.5,0,0,0,0,0,0,0,0,3,1.9257,-0.0286,2,34.7,27,149.1922,4,3,39,3,0,731,0.383625,8.8852
24,5000,3035,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9544,0.0287,2,35.1,14,149.6433,1,0,39,0,0,731,0.370104,7.2884
25,5000,3183,1,0,1,3,0.44,0,0,0,0,0,0,0,0,3,1.957,0.0027,1,35.4,14,146.4253,2,1,40,1,0,744,0.378967,5.2287
26,4998,3143,3,0,3,5,0.8,0,0,0,0,0,0,0,0,3,1.9761,0.019,1,36.1,14,159.6844,4,3,43,3,0,786,0.384825,11.414
27,4997,3111,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.978,0.0019,2,36.2,18,156.2084,1,0,43,0,0,786,0.373424,8.6387
