window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,k_star,entropy,entropy_delta,milestone,physics_seconds,stressed,calcified,suppressed,mean_omega,total_rplus,v_energy,v_labels,v_born,v_died,v_torque_n,v_torque_mean
1,5000,5775,4,0,4,5,0.67,0,0,0,0,0,1.9992,1.9992,0,15.2,2854,3243,0,6.64,663,0,0,0,0,0,0
2,5000,3527,4,0,4,4,0.67,0,0,0,0,0,1.9991,-0.0001,0,16.3,1299,2444,0,5.2,483,0,0,0,0,0,0
3,5000,3142,1,0,1,5,0.0,0,0,0,0,0,1.9991,0.0,0,17.6,1582,1806,0,4.75,228,0,0,0,0,0,0
4,5000,2884,0,0,0,0,0,0,0,0,0,1,1.9991,0.0,0,18.7,1481,1658,0,4.61,61,0,0,0,0,0,0
5,5000,2769,1,0,1,3,0.67,0,0,0,0,0,1.9991,0.0,0,19.7,1342,1684,0,4.43,14,0,0,0,0,0,0
6,5000,2886,1,0,1,3,0.67,0,0,0,0,0,1.9993,0.0002,0,21.5,1454,1699,0,4.54,5,0,0,0,0,0,0
7,5000,2832,2,0,2,5,0.8,0,0,0,0,0,1.9997,0.0004,2,23.2,1433,1645,0,4.51,10,0,0,0,0,0,0
8,5000,2723,0,0,0,0,0,0,0,0,0,3,1.9982,-0.0015,2,24.9,1327,1665,0,4.42,0,0,0,0,0,0,0
9,5000,2864,1,0,1,3,0.67,0,0,0,0,0,1.998,-0.0002,1,25.6,1413,1713,0,4.47,3,0,0,0,0,0,0
10,5000,2828,1,0,1,5,0.64,0,0,0,0,1,1.9977,-0.0003,1,27.4,1378,1733,0,4.5,5,0,0,0,0,0,0
11,5000,2847,1,0,1,5,0.4,0,0,0,0,0,1.995,-0.0027,2,27.9,1453,1657,0,4.56,14,0,0,0,0,0,0
12,5000,2807,0,0,0,0,0,0,0,0,0,3,1.9643,-0.0307,2,28.8,1340,1727,0,4.43,15,0,0,0,0,0,0
13,5000,2775,0,0,0,0,0,0,0,0,0,3,1.9422,-0.0221,1,29.7,1414,1650,0,4.5,9,0,0,0,0,0,0
14,5000,2885,1,0,1,3,0.89,0,0,0,0,1,1.9837,0.0414,1,30.4,1526,1637,0,4.6,7,0,0,0,0,0,0
15,5000,2831,0,0,0,0,0,0,0,0,0,1,1.9369,-0.0467,1,30.3,1354,1732,0,4.46,5,0,0,0,0,0,0
16,5000,2836,0,0,0,0,0,0,0,0,0,0,1.9841,0.0472,1,32.1,1465,1670,0,4.61,4,0,0,0,0,0,0
17,5000,2753,1,0,1,5,0.32,0,0,0,0,0,1.9919,0.0077,1,32.0,1351,1682,0,4.48,8,0,0,0,0,0,0
18,5000,2816,3,0,3,5,1.6,0,0,0,0,1,1.9964,0.0045,1,32.6,1389,1694,0,4.51,8,0,0,0,0,0,0
19,5000,2749,0,0,0,0,0,0,0,0,0,1,1.9646,-0.0318,2,33.5,1283,1741,0,4.37,1,0,0,0,0,0,0
20,5000,2815,0,0,0,0,0,0,0,0,0,0,1.9871,0.0225,1,33.1,1367,1731,0,4.47,0,0,0,0,0,0,0
21,5000,2765,0,0,0,0,0,0,0,0,0,0,1.9797,-0.0073,1,33.7,1315,1715,0,4.38,2,0,0,0,0,0,0
22,5000,2715,1,0,1,5,0.4,0,0,0,0,0,1.9772,-0.0025,1,34.5,1245,1720,0,4.37,5,0,0,0,0,0,0
23,5000,2820,1,0,1,3,0.4,0,0,0,0,3,1.9492,-0.028,1,34.7,1432,1659,0,4.55,10,0,0,0,0,0,0
24,5000,2863,1,0,1,5,1.2,0,0,0,0,3,1.9716,0.0223,2,35.7,1444,1691,0,4.54,15,0,0,0,0,0,0
25,5000,2801,0,0,0,0,0,0,0,0,0,3,1.9664,-0.0051,2,35.7,1440,1638,0,4.51,5,0,0,0,0,0,0
26,5000,2771,0,0,0,0,0,0,0,0,0,3,1.9875,0.021,1,36.3,1347,1708,0,4.49,0,0,0,0,0,0,0
