window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,k_star,entropy,entropy_delta,milestone,physics_seconds,stressed,calcified,suppressed,mean_omega,stress_intensity,link_ema,total_rplus,v_energy,v_labels,v_born,v_died,v_torque_n,v_torque_mean
1,5000,6177,14,0,14,5,0.6,0,0,0,0,0,1.9992,1.9992,0,15.2,0,0,0,6.64,1.0,6177.0,665,722.7783,282,637,355,2239,0.309141
2,5000,3699,1,0,1,4,1.0,0,0,0,0,0,1.9992,0.0,0,16.4,491,3216,0,5.24,0.8222,4556.3,483,480.503,284,21,19,2055,0.346476
3,5000,3410,2,0,2,3,0.33,0,0,0,0,0,1.9992,0.0,0,17.7,272,3151,0,4.84,0.8594,3994.7,259,428.0084,283,10,11,2056,0.343836
4,5000,3122,1,0,1,4,0.5,0,0,0,0,0,1.9993,0.0,0,19.0,61,3092,0,4.53,0.8619,3658.0,30,375.8327,278,2,7,2048,0.322879
5,5000,3030,1,0,1,5,0.32,0,0,0,0,0,1.9992,-0.0,0,19.9,5,3020,0,4.42,0.8786,3448.7,10,357.0451,273,2,7,2032,0.302691
6,5000,3137,0,0,0,0,0,0,0,0,0,1,1.9994,0.0002,0,21.9,4,3133,0,4.47,0.9337,3359.6,4,318.907,268,0,5,2023,0.294047
7,5000,3109,2,0,2,5,1.07,0,0,0,0,0,1.9951,-0.0043,1,23.4,9,3095,0,4.55,0.943,3297.0,14,313.5543,260,2,10,2011,0.287685
8,5000,3094,1,0,1,5,1.11,0,0,0,0,0,1.9923,-0.0028,1,24.6,5,3089,0,4.48,0.9515,3251.9,5,303.2467,255,1,6,1999,0.282584
9,5000,3115,1,0,1,4,1.0,0,0,0,0,0,1.9973,0.005,2,26.0,4,3111,0,4.45,0.966,3224.5,4,299.005,245,1,11,1963,0.285371
10,5000,3070,0,0,0,0,0,0,0,0,0,1,1.9869,-0.0105,2,26.3,3,3067,0,4.49,0.9605,3196.4,3,288.2934,243,3,5,1963,0.272903
11,5000,3150,1,0,1,5,0.6,0,0,0,0,0,1.9816,-0.0053,1,27.7,4,3141,0,4.55,0.9879,3188.7,9,291.797,236,5,12,1960,0.275193
12,5000,3080,1,0,1,5,0.48,0,0,0,0,0,1.9548,-0.0268,1,28.5,7,3068,0,4.45,0.971,3171.9,12,300.5791,229,4,11,1938,0.281613
13,5000,3083,6,0,6,8,1.6,0,0,0,0,1,1.9879,0.0331,2,29.8,18,3052,0,4.52,0.9759,3159.2,31,307.0101,212,6,23,1937,0.291427
14,5000,3155,4,0,4,5,0.33,0,0,0,0,3,1.9265,-0.0613,2,30.5,1,3129,0,4.53,0.9988,3158.7,26,319.6233,207,8,13,1944,0.299051
15,5000,3167,3,0,3,5,0.8,0,0,0,0,0,1.9055,-0.021,2,30.6,3139,0,0,4.58,1.0023,3159.7,28,320.8861,199,3,11,1942,0.295662
16,5000,3147,1,0,1,4,0.64,0,0,0,0,3,1.9391,0.0336,2,32.2,4,3128,0,4.63,0.9964,3158.2,19,319.2455,194,1,6,1904,0.302402
17,5000,3110,1,0,1,3,0.33,0,0,0,0,3,1.9526,0.0134,2,32.6,4,3106,0,4.51,0.9864,3152.9,4,309.5578,185,2,11,1844,0.314968
18,5000,3101,0,0,0,0,0,0,0,0,0,3,1.968,0.0154,2,33.6,3,3098,0,4.55,0.9853,3147.4,3,305.9265,178,0,7,1804,0.309766
19,5000,3088,2,0,2,5,0.8,0,0,0,0,3,1.9904,0.0224,1,33.8,4,3074,0,4.43,0.983,3141.5,14,315.3052,174,6,10,1806,0.309198
20,5000,3106,1,0,1,4,1.0,0,0,0,0,3,1.7641,-0.2263,1,34.0,3,3094,0,4.47,0.9898,3138.1,12,310.689,169,2,7,1793,0.317753
21,5000,3073,1,0,1,5,0.53,0,0,0,0,3,1.8335,0.0694,2,34.0,4,3054,0,4.45,0.9812,3131.9,19,312.8547,164,7,12,1779,0.316339
22,5000,3012,1,0,1,5,0.6,0,0,0,0,3,1.9098,0.0764,2,34.2,0,2997,0,4.34,0.9652,3120.5,15,310.1282,162,1,3,1770,0.324157
23,5000,3215,4,0,4,5,0.67,0,0,0,0,1,1.9297,0.0198,2,35.8,3205,0,0,4.65,1.0305,3130.5,21,315.7014,161,6,7,1776,0.323303
24,5000,3119,2,0,2,5,2.0,0,0,0,0,1,1.9621,0.0324,2,35.8,4,3096,0,4.52,0.9967,3129.4,23,303.3203,160,2,3,1791,0.317123
25,4999,3064,0,0,0,0,0,0,0,0,0,1,1.9713,0.0092,2,35.9,4,3055,0,4.49,0.981,3123.2,9,300.7447,153,0,7,1747,0.324606
26,4999,3121,1,0,1,3,0.44,0,0,0,0,3,1.9785,0.0073,1,35.7,7,3109,0,4.51,0.9994,3123.0,12,298.1377,156,6,3,1763,0.319007
27,4999,3076,2,0,2,4,0.67,0,0,0,0,1,1.968,-0.0105,1,36.4,11,3061,0,4.42,0.9864,3118.5,15,289.6874,152,3,7,1747,0.314843
28,4998,3146,0,0,0,0,0,0,0,0,0,3,1.8788,-0.0892,2,36.3,3132,0,0,4.56,1.008,3121.1,14,288.1136,145,0,7,1692,0.3189
29,4995,3004,0,0,0,0,0,0,0,0,0,3,1.8516,-0.0272,1,36.9,10,2994,0,4.36,0.9659,3110.0,10,283.1759,142,0,3,1668,0.320899
30,4995,3077,0,0,0,0,0,0,0,0,0,3,1.8567,0.005,1,37.0,14,3063,0,4.5,0.9904,3106.8,14,283.6667,141,4,5,1666,0.314432
31,4994,3037,1,0,1,5,0.89,0,0,0,0,3,1.8652,0.0086,1,37.3,7,3025,0,4.47,0.9796,3100.2,12,280.8647,139,2,4,1664,0.321011
