window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate
1,5000,6177,14,5,0,1.9992,0,15.3,0,0,6.64,1.0,6177.0,665,1.0,419,637,218,2239,0.000861,0.0057,412.2753
2,5000,3699,1,4,0,1.9992,0,16.4,491,3216,5.24,0.8222,4556.3,483,1.0,396,21,44,2289,0.001041,0.0053,375.2914
3,5000,3410,2,3,0,1.9992,0,17.7,272,3151,4.84,0.8594,3994.7,259,1.0,321,10,85,2214,0.001158,0.007,257.2283
4,5000,3122,1,4,0,1.9992,0,19.0,61,3092,4.53,0.8619,3658.0,30,1.0,198,2,125,1921,0.001568,0.0159,44.6571
5,5000,3030,1,5,0,1.9992,0,20.0,5,3020,4.42,0.8786,3448.7,10,1.0,137,2,63,1480,0.002312,0.0214,19.6078
6,5000,3137,0,0,1,1.9994,0,22.1,4,3133,4.47,0.9337,3359.6,4,1.0,99,0,38,1154,0.003119,0.0262,11.6279
7,5000,3082,2,5,0,1.9943,1,23.6,9,3068,4.48,0.9367,3290.2,14,1.0,82,2,19,961,0.003876,0.0405,47.4576
8,5000,3073,0,0,1,1.9911,1,24.8,0,3073,4.46,0.9479,3241.9,0,1.0,52,0,30,741,0.005313,0.0569,0.0
9,5000,3144,1,4,0,1.992,1,26.4,6,3138,4.46,0.9757,3222.4,6,1.0,45,3,10,606,0.006489,0.0514,30.8642
10,5000,3051,1,5,0,1.9816,1,27.3,7,3044,4.47,0.9561,3191.2,7,1.0,43,3,5,556,0.007479,0.0582,38.0435
11,5000,3081,0,0,1,1.9952,2,28.0,5,3076,4.46,0.9711,3172.8,5,1.0,38,0,5,522,0.008059,0.0779,33.557
12,5000,3103,0,0,0,1.9776,1,28.6,5,3098,4.46,0.9813,3162.1,5,1.0,26,0,12,401,0.011172,0.0976,42.735
13,5000,3149,0,0,0,1.9712,1,29.5,0,3149,4.48,0.9964,3160.2,0,1.0,18,0,8,337,0.013081,0.12,0.0
14,5000,3097,0,0,0,1.974,1,30.2,0,3097,4.43,0.9826,3151.8,0,1.0,14,0,4,244,0.018588,0.1,0.0
15,5000,3085,1,5,1,1.9252,1,30.9,5,3080,4.52,0.9814,3143.4,5,1.0,11,1,4,243,0.020542,0.1714,76.9231
16,5000,3157,1,5,3,1.8967,1,32.0,3148,0,4.56,1.0038,3145.0,9,1.0,12,1,0,228,0.021943,0.1528,125.0
17,5000,3084,0,0,3,1.9583,2,31.7,11,3073,4.46,0.9827,3138.3,11,1.0,12,6,6,270,0.016676,0.1667,149.2537
18,5000,3160,1,5,3,1.9778,1,32.8,3152,0,4.58,1.0062,3140.5,8,1.0,12,4,4,240,0.017245,0.1444,83.3333
19,5000,3067,0,0,3,1.9958,1,32.9,2,3065,4.39,0.9789,3133.2,2,1.0,8,2,6,211,0.022447,0.1639,39.2157
20,5000,3133,1,4,3,1.9785,1,34.6,0,3129,4.49,0.9999,3133.2,4,1.0,10,2,0,178,0.023878,0.1887,78.4314
21,5000,3088,0,0,3,1.9907,1,34.4,1,3087,4.42,0.9869,3128.9,1,1.0,7,1,4,188,0.026204,0.25,0.0
22,5000,2994,1,5,3,1.9439,1,34.5,0,2989,4.33,0.9608,3116.0,5,1.0,8,1,0,157,0.031609,0.1842,131.5789
23,5000,3165,0,0,3,1.9617,1,35.1,3164,0,4.61,1.0142,3120.7,1,1.0,6,1,3,167,0.028861,0.2292,0.0
24,5000,3114,0,0,3,1.9491,1,35.9,0,3114,4.49,0.9981,3120.1,0,1.0,3,0,3,125,0.04359,0.2963,0.0
25,5000,3092,1,3,3,1.9553,1,35.6,1,3086,4.52,0.9919,3117.4,6,1.0,5,5,3,104,0.036458,0.32,250.0
26,5000,3061,0,0,3,1.966,1,36.2,0,3056,4.49,0.9836,3112.0,5,1.0,5,0,0,69,0.064468,0.3182,263.1579
27,5000,3011,0,0,3,1.906,1,36.2,7,2999,4.43,0.9705,3102.4,12,1.0,9,7,3,114,0.031404,0.1765,255.814
