seed,cid,n_core,v14_q0,lifespan,n_cognition,n_consciousness,n_skip,n_ingestions,c_max,C_at_run_end,final_state,n_con_bin
0,0,5,33,25000.0,80,9,13,9,71.0,71,hosted,5-9
0,2,5,32,25000.0,63,5,42,5,58.0,58,hosted,5-9
0,10,4,25,25000.0,57,9,47,9,48.0,48,hosted,5-9
0,19,5,35,25000.0,69,7,41,7,62.0,62,hosted,5-9
0,41,5,34,25000.0,76,12,33,12,64.0,64,hosted,10-19
0,42,5,32,25000.0,95,10,6,10,85.0,85,hosted,10-19
0,44,4,25,25000.0,61,6,42,6,55.0,55,hosted,5-9
0,86,5,32,21500.0,67,10,17,10,58.0,57,hosted,10-19
0,107,5,33,18500.0,79,8,5,8,71.0,71,hosted,5-9
0,126,4,26,17000.0,55,6,31,6,49.0,49,hosted,5-9
0,128,5,33,16500.0,42,6,67,6,36.0,36,hosted,5-9
0,178,5,33,11500.0,59,5,31,5,54.0,54,hosted,5-9
1,20,4,25,25000.0,67,10,15,10,57.0,57,hosted,10-19
1,58,5,33,25000.0,79,9,21,9,70.0,70,hosted,5-9
1,76,5,34,25000.0,58,5,48,5,53.0,0,reaped,5-9
1,88,5,33,24500.0,71,10,38,10,61.0,61,hosted,10-19
1,139,5,33,16500.0,70,6,41,6,64.0,64,hosted,5-9
1,147,5,33,15500.0,57,7,55,7,50.0,50,hosted,5-9
2,11,5,33,25000.0,76,6,44,6,70.0,0,reaped,5-9
2,22,5,32,25000.0,64,6,50,6,58.0,58,hosted,5-9
2,25,5,33,25000.0,57,6,76,6,51.0,51,hosted,5-9
2,34,5,33,25000.0,66,7,43,7,59.0,59,hosted,5-9
2,35,4,25,25000.0,53,5,67,5,48.0,48,hosted,5-9
2,40,5,35,25000.0,72,8,52,8,64.0,64,hosted,5-9
2,67,5,32,25000.0,62,7,61,7,55.0,55,hosted,5-9
2,69,5,34,25000.0,56,5,64,5,51.0,51,hosted,5-9
2,76,5,33,25000.0,78,10,47,10,69.0,68,hosted,10-19
2,97,5,34,24000.0,50,5,89,5,45.0,45,hosted,5-9
2,98,5,33,24000.0,55,8,67,8,47.0,47,hosted,5-9
2,103,5,33,23500.0,57,6,70,6,51.0,51,hosted,5-9
2,114,5,33,22500.0,44,6,77,6,38.0,38,hosted,5-9
2,154,4,26,18500.0,40,5,85,5,35.0,35,hosted,5-9
2,175,5,33,15500.0,38,5,92,5,33.0,33,hosted,5-9
3,17,5,33,25000.0,64,8,48,8,56.0,56,hosted,5-9
3,53,5,32,25000.0,73,7,55,7,66.0,66,hosted,5-9
3,63,5,34,25000.0,65,6,59,6,59.0,59,hosted,5-9
3,68,4,25,25000.0,71,8,31,8,63.0,63,hosted,5-9
3,90,4,26,25000.0,53,7,38,7,46.0,46,hosted,5-9
3,96,5,33,25000.0,70,10,51,10,60.0,60,hosted,10-19
3,101,5,36,25000.0,53,9,63,9,45.0,44,hosted,5-9
3,102,5,34,25000.0,69,9,43,9,60.0,60,hosted,5-9
3,122,5,33,23000.0,83,9,35,9,74.0,74,hosted,5-9
3,133,5,34,22000.0,48,5,76,5,43.0,43,hosted,5-9
3,160,5,33,18000.0,57,7,60,7,50.0,50,hosted,5-9
4,0,5,33,25000.0,60,5,57,5,55.0,55,hosted,5-9
4,1,5,32,19500.0,70,5,18,5,63.0,0,reaped,5-9
4,11,5,33,25000.0,52,5,70,5,47.0,47,hosted,5-9
4,27,5,34,18500.0,63,8,7,8,55.0,0,reaped,5-9
4,62,5,35,25000.0,61,6,61,6,55.0,55,hosted,5-9
4,64,5,33,25000.0,66,7,45,7,59.0,59,hosted,5-9
4,82,4,25,18500.0,46,5,9,5,41.0,0,reaped,5-9
4,114,5,34,18500.0,50,5,33,5,45.0,0,reaped,5-9
