N,threshold,comp_size,n_components_observed
500,50,2,36
500,50,3,366
500,50,4,270
500,50,5,542
500,50,6,15
500,50,7,22
500,50,8,9
500,50,9,3
500,50,10,0
500,50,11+,1
500,100,2,49
500,100,3,286
500,100,4,147
500,100,5,266
500,100,6,5
500,100,7,4
500,100,8,1
500,100,9,0
500,100,10,0
500,100,11+,0
500,200,2,29
500,200,3,110
500,200,4,17
500,200,5,5
500,200,6,0
500,200,7,0
500,200,8,0
500,200,9,0
500,200,10,0
500,200,11+,0
500,300,2,3
500,300,3,14
500,300,4,1
500,300,5,0
500,300,6,0
500,300,7,0
500,300,8,0
500,300,9,0
500,300,10,0
500,300,11+,0
1000,50,2,24
1000,50,3,419
1000,50,4,319
1000,50,5,597
1000,50,6,10
1000,50,7,17
1000,50,8,3
1000,50,9,0
1000,50,10,2
1000,50,11+,0
1000,100,2,27
1000,100,3,324
1000,100,4,202
1000,100,5,305
1000,100,6,3
1000,100,7,6
1000,100,8,0
1000,100,9,0
1000,100,10,0
1000,100,11+,0
1000,200,2,27
1000,200,3,142
1000,200,4,19
1000,200,5,1
1000,200,6,0
1000,200,7,0
1000,200,8,0
1000,200,9,0
1000,200,10,0
1000,200,11+,0
1000,300,2,5
1000,300,3,19
1000,300,4,0
1000,300,5,0
1000,300,6,0
1000,300,7,0
1000,300,8,0
1000,300,9,0
1000,300,10,0
1000,300,11+,0
2500,50,2,13
2500,50,3,401
2500,50,4,293
2500,50,5,621
2500,50,6,4
2500,50,7,7
2500,50,8,1
2500,50,9,1
2500,50,10,0
2500,50,11+,0
2500,100,2,14
2500,100,3,309
2500,100,4,179
2500,100,5,315
2500,100,6,1
2500,100,7,3
2500,100,8,0
2500,100,9,0
2500,100,10,0
2500,100,11+,0
2500,200,2,10
2500,200,3,135
2500,200,4,18
2500,200,5,5
2500,200,6,0
2500,200,7,0
2500,200,8,0
2500,200,9,0
2500,200,10,0
2500,200,11+,0
2500,300,2,3
2500,300,3,14
2500,300,4,0
2500,300,5,0
2500,300,6,0
2500,300,7,0
2500,300,8,0
2500,300,9,0
2500,300,10,0
2500,300,11+,0
2500,400,2,0
2500,400,3,1
2500,400,4,0
2500,400,5,0
2500,400,6,0
2500,400,7,0
2500,400,8,0
2500,400,9,0
2500,400,10,0
2500,400,11+,0
5000,50,2,12
5000,50,3,387
5000,50,4,312
5000,50,5,550
5000,50,6,2
5000,50,7,0
5000,50,8,1
5000,50,9,1
5000,50,10,0
5000,50,11+,0
5000,100,2,14
5000,100,3,302
5000,100,4,212
5000,100,5,294
5000,100,6,1
5000,100,7,0
5000,100,8,1
5000,100,9,0
5000,100,10,0
5000,100,11+,0
5000,200,2,8
5000,200,3,144
5000,200,4,15
5000,200,5,0
5000,200,6,0
5000,200,7,0
5000,200,8,0
5000,200,9,0
5000,200,10,0
5000,200,11+,0
5000,300,2,2
5000,300,3,12
5000,300,4,0
5000,300,5,0
5000,300,6,0
5000,300,7,0
5000,300,8,0
5000,300,9,0
5000,300,10,0
5000,300,11+,0
10000,50,2,14
10000,50,3,358
10000,50,4,279
10000,50,5,597
10000,50,6,1
10000,50,7,0
10000,50,8,1
10000,50,9,0
10000,50,10,0
10000,50,11+,0
10000,100,2,14
10000,100,3,281
10000,100,4,180
10000,100,5,333
10000,100,6,0
10000,100,7,0
10000,100,8,1
10000,100,9,0
10000,100,10,0
10000,100,11+,0
10000,200,2,8
10000,200,3,115
10000,200,4,26
10000,200,5,0
10000,200,6,0
10000,200,7,0
10000,200,8,0
10000,200,9,0
10000,200,10,0
10000,200,11+,0
10000,300,2,5
10000,300,3,14
10000,300,4,0
10000,300,5,0
10000,300,6,0
10000,300,7,0
10000,300,8,0
10000,300,9,0
10000,300,10,0
10000,300,11+,0
