N,n_core,n_cid,lifespan_median,lifespan_p25,lifespan_p75,lifespan_max,n_activated,activation_rate,n_repeated_5plus,repeated_5plus_rate,n_ingestions_median,n_ingestions_mean,n_consciousness_median,n_consciousness_mean,C_at_run_end_mean
500,2,4405,500.0,500.0,1000.0,23000.0,110,0.024971623155505107,0,0.0,0.0,0.027468785471055617,0.0,0.027468785471055617,0.17888762769580022
500,5,923,7500.0,2500.0,18500.0,25000.0,129,0.13976164680390032,0,0.0,0.0,0.20260021668472372,0.0,0.20260021668472372,18.196099674972913
1000,2,4367,500.0,500.0,1500.0,25000.0,217,0.049690863292878404,0,0.0,0.0,0.05930844973666132,0.0,0.05930844973666132,0.24181360201511334
1000,5,607,12500.0,3500.0,22500.0,25000.0,258,0.42504118616144976,21,0.03459637561779242,0.0,0.9835255354200988,0.0,0.9835255354200988,21.43822075782537
2500,2,4200,500.0,500.0,1500.0,17000.0,384,0.09142857142857143,2,0.0004761904761904762,0.0,0.11333333333333333,0.0,0.11333333333333333,0.2557142857142857
2500,5,649,13000.0,4500.0,24000.0,25000.0,432,0.6656394453004623,137,0.2110939907550077,2.0,2.4422187981510017,2.0,2.4422187981510017,25.545454545454547
5000,2,3968,500.0,500.0,1500.0,20000.0,401,0.10105846774193548,3,0.0007560483870967742,0.0,0.1310483870967742,0.0,0.1310483870967742,0.20690524193548387
5000,5,638,12500.0,4500.0,23000.0,25000.0,467,0.731974921630094,217,0.3401253918495298,2.0,3.2539184952978055,2.0,3.2539184952978055,28.786833855799372
10000,2,3942,500.0,500.0,1500.0,25000.0,387,0.09817351598173515,1,0.0002536783358701167,0.0,0.11846778285134449,0.0,0.11846778285134449,0.16666666666666666
10000,5,687,13500.0,5000.0,22500.0,25000.0,543,0.7903930131004366,246,0.35807860262008734,3.0,3.524017467248908,3.0,3.524017467248908,29.806404657933044
